"Numer RSPO";"REGON";"NIP";"Typ";"Nazwa";"Kod terytorialny województwo";"Kod terytorialny powiat";"Kod terytorialny gmina";"Kod terytorialny miejscowość";"Kod terytorialny ulica";"Województwo";"Powiat";"Gmina";"Miejscowość";"Rodzaj miejscowości";"Ulica";"Numer budynku";"Numer lokalu";"Kod pocztowy";"Poczta";"Telefon";"Faks";"E-mail";"Strona www";"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Data założenia";"Data rozpoczęcia działalności";"Data likwidacji";"Typ organu prowadzącego";"Nazwa organu prowadzącego";"REGON organu prowadzącego";"NIP organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego";"Miejsce w strukturze";"RSPO podmiotu nadrzędnego";"Typ podmiotu nadrzędnego";"Nazwa podmiotu nadrzędnego";"Liczba uczniów";"Tereny sportowe";"Języki nauczane";"Czy zatrudnia logopedę";"Czy zatrudnia psychologa";"Czy zatrudnia pedagoga";"Oddziały podstawowe wg specyfiki";"Oddziały dodatkowe";"Zawód";"Zawód artystyczny";"Zawód w KPSS";"Dziedzina BCU"
"69787";"=""146414205""";"";"Szkoła podstawowa";"""STRUMIENIE"" SZKOŁA PODSTAWOWA STOWARZYSZENIA STERNIK";"=""14""";"=""1417""";"=""1417011""";"=""0920404""";"=""11937""";"MAZOWIECKIE";"otwocki";"Józefów";"Józefów";"miasto";"ul. 3 Maja";"=""129""";"";"=""05-420""";"Józefów";"=""223980810""";"=""223980805""";"szkola.strumienie@sternik.edu.pl";"www.sternik.edu.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"EWA KORBA";"2011.09.05";"2011.09.05";"";"Stowarzyszenia";"STOWARZYSZENIE WSPIERANIA EDUKACJI I RODZINY ""STERNIK""";"=""015624022""";"";"MAZOWIECKIE";"Warszawa";"Wawer";"samodzielna";"";"";"";"426";"";"angielski";"Nie";"Tak";"Tak";"ogólnodostępny, integracyjny";"";"";"";"";""
"9837";"=""200724536""";"";"Szkoła podstawowa";"""ŚWIAT UCZNIA"" PRYWATNA SZKOŁA PODSTAWOWA W BIAŁYMSTOKU";"=""20""";"=""2061""";"=""2061011""";"=""0922410""";"=""06637""";"PODLASKIE";"Białystok";"Białystok";"Białystok";"miasto";"ul. Hetmańska";"=""8""";"";"=""15-727""";"Białystok";"=""663001150""";"";"pspnwsp@gmail.com";"www.pspswiatucznia.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ADAM JAKONIUK";"2011.12.12";"2015.09.01";"";"Osoba fizyczna";"Jakoniuk Adam";"";"";"PODLASKIE";"Białystok";"Białystok";"samodzielna";"";"";"";"159";"";"angielski, hiszpański";"Tak";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"129265";"=""362533233""";"";"Szkoła podstawowa";"""SZKOŁA Z PASJĄ"" NIEPUBLICZNA SZKOŁA PODSTAWOWA";"=""32""";"=""3262""";"=""3262011""";"=""0977976""";"=""01915""";"ZACHODNIOPOMORSKIE";"Szczecin";"Szczecin";"Szczecin";"miasto";"ul. św. Jana Bosko";"=""1""";"";"=""71-125""";"Szczecin";"=""505864674""";"";"szkolazpasjaszczecin@gmail.com";"www.szkolazpasja.szczecin.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"KAROLINA ZAWADZKA";"2015.09.17";"2015.09.21";"";"Spółki Handlowe";"SYNERGIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""388175121""";"=""8522670347""";"ZACHODNIOPOMORSKIE";"Szczecin";"Szczecin";"samodzielna";"";"";"";"106";"";"angielski, niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"80253";"=""146407620""";"";"Szkoła podstawowa";"""WONDERFUL YEARS SCHOOL"" PRYWATNA SZKOŁA PODSTAWOWA";"=""14""";"=""1465""";"=""1465078""";"=""0918838""";"=""04738""";"MAZOWIECKIE";"Warszawa";"Praga-Południe";"Praga-Południe";"dzielnica m.st. Warszawy";"ul. Egipska";"=""7""";"";"=""03-979""";"Warszawa";"=""226720807""";"";"edukacjawys@op.pl";"www.wonderfulyearsschool.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ANNA KÜNSTLE";"2012.10.16";"2012.10.16";"";"Osoba fizyczna";"Künstle Anna";"";"";"ŁÓDZKIE";"brzeziński";"Brzeziny";"samodzielna";"";"";"";"101";"";"angielski, hiszpański";"Nie";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"52988";"=""146405732""";"=""5262759065""";"Szkoła podstawowa";"""ŻAGLE"" SZKOŁA PODSTAWOWA STOWARZYSZENIA STERNIK";"=""14""";"=""1465""";"=""1465148""";"=""0988840""";"=""17409""";"MAZOWIECKIE";"Warszawa";"Wawer";"Wawer";"dzielnica m.st. Warszawy";"ul. Mieczysława Pożaryskiego";"=""28""";"";"=""04-703""";"Warszawa";"=""+48513061401""";"=""223980555""";"szkola.zagle@sternik.edu.pl";"zagle.sternik.edu.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"DARIUSZ JUSTYNIARSKI";"2004.09.01";"2004.09.01";"";"Stowarzyszenia";"STOWARZYSZENIE WSPIERANIA EDUKACJI I RODZINY ""STERNIK""";"=""015624022""";"";"MAZOWIECKIE";"Warszawa";"Wawer";"samodzielna";"";"";"";"442";"";"angielski, hiszpański, niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny, integracyjny";"";"";"";"";""
"41385";"=""260645994""";"=""6641904862""";"Szkoła podstawowa";"„MAŁA SZKOŁA” PUBLICZNA SZKOŁA PODSTAWOWA W RUDNIKU";"=""26""";"=""2611""";"=""2611022""";"=""0231290""";"=""15388""";"ŚWIĘTOKRZYSKIE";"starachowicki";"Brody";"Rudnik";"wieś";"ul. Ostrowiecka";"=""42""";"";"=""27-230""";"Brody";"=""660816418""";"";"bo.ka@wp.pl";"";"publiczna";"Dzieci lub młodzież";"brak specyfiki";"BOŻENA KANIA";"2000.09.30";"2000.09.30";"";"Stowarzyszenia";"STOWARZYSZENIE NA RZECZ EKOROZWOJU WSI RUDNIK";"=""291211903""";"";"ŚWIĘTOKRZYSKIE";"starachowicki";"Brody";"samodzielna";"";"";"";"26";"boiska uniwersalne/wielozadaniowe";"angielski";"Nie";"Nie";"Nie";"ogólnodostępny";"";"";"";"";""
"124470";"=""123196775""";"=""6812057594""";"Szkoła podstawowa";"1. NIEPUBLICZNA SZKOŁA PODSTAWOWA NEO MONTESSORI SCHOOL W MYŚLENICACH";"=""12""";"=""1209""";"=""1209034""";"=""0951617""";"=""22411""";"MAŁOPOLSKIE";"myślenicki";"Myślenice";"Myślenice";"miasto";"ul. Andrzeja Średniawskiego";"=""27""";"";"=""32-400""";"Myślenice";"=""690950022""";"";"montessori@neoschool.pl";"www.podstawowa.neoschool.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ANNA GAĆ";"2014.08.27";"2014.09.01";"";"Przedsiębiorstwa Osób Fizycznych";"NEO MONTESSORI SCHOOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""123104767""";"";"MAŁOPOLSKIE";"myślenicki";"Myślenice";"samodzielna";"";"";"";"95";"";"angielski";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"131659";"=""365324688""";"=""6342868118""";"Szkoła podstawowa";"AACADEMY NIEPUBLICZNA SPECJALNA SZKOŁA PODSTAWOWA";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""26102""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Zielonogórska";"=""1""";"";"=""40-710""";"Katowice";"=""601290441""";"";"a.nowinska@terapiairozwoj.com";"";"niepubliczna";"Dzieci lub młodzież";"specjalna";"AGNIESZKA NOWIŃSKA";"2016.08.29";"2016.09.01";"";"Spółki Handlowe";"AACADEMY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""364828381""";"";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"72";"inne urządzenia sportowe";"angielski";"Tak";"Tak";"Tak";"specjalny";"";"";"";"";""
"53017";"=""146373239""";"";"Szkoła podstawowa";"ACADEMY INTERNATIONAL KAROLKOWA 49 NIEPUBLICZNA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI DWUJĘZYCZNYMI NR 81";"=""14""";"=""1465""";"=""1465188""";"=""0919884""";"=""08090""";"MAZOWIECKIE";"Warszawa";"Wola";"Wola";"dzielnica m.st. Warszawy";"ul. Karolkowa";"=""49""";"";"=""01-203""";"Warszawa";"=""515000025""";"";"szkola@academyinternational.pl";"www.academyinternational.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"Katarzyna Goryluk-Gierszewska";"2009.11.25";"2009.11.25";"";"Spółki Handlowe";"ACADEMY INTERNATIONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""014992717""";"=""5252136670""";"MAZOWIECKIE";"Warszawa";"Wola";"samodzielna";"";"";"";"169";"";"angielski, hiszpański";"Tak";"Tak";"Tak";"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum";"";"";"";"";""
"269062";"=""381351000""";"";"Szkoła podstawowa";"ACADEMY INTERNATIONAL WAWER NIEPUBLICZNA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI DWUJĘZYCZNYMI";"=""14""";"=""1465""";"=""1465148""";"=""0988840""";"=""06226""";"MAZOWIECKIE";"Warszawa";"Wawer";"Wawer";"dzielnica m.st. Warszawy";"ul. 27 Grudnia";"=""52""";"";"=""04-655""";"Warszawa";"=""503756717""";"";"dyrektor.wawer@academyinternational.pl";"www.academyinternational.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"MARTYNA KARBOWIAK";"2018.09.19";"2018.09.19";"";"Spółki Handlowe";"ACADEMY INTERNATIONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""014992717""";"=""5252136670""";"MAZOWIECKIE";"Warszawa";"Wola";"samodzielna";"";"";"";"215";"";"angielski, hiszpański";"Nie";"Nie";"Nie";"ogólnodostępny";"";"";"";"";""
"263311";"=""368179991""";"";"Szkoła podstawowa";"AKADEMIA NAJMŁODSZYCH KRZYSZTOF GOŁAŚ NIEPUBLICZNA SZKOŁA PODSTAWOWA W KADZIDLE";"=""14""";"=""1415""";"=""1415052""";"=""0511195""";"=""02276""";"MAZOWIECKIE";"ostrołęcki";"Kadzidło";"Kadzidło";"wieś";"ul. Brzozowa";"=""2""";"";"=""07-420""";"Kadzidło";"=""668135423""";"";"radosnyzakatek@gmail.com";"http://radosnyzakatek.pl/index.php/kontakt";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"KRZYSZTOF GOŁAŚ";"2017.08.30";"2017.09.01";"";"Przedsiębiorstwa Osób Fizycznych";"Akademia Najmłodszych Krzysztof Gołaś";"=""551195913""";"";"MAZOWIECKIE";"ostrołęcki";"Myszyniec";"samodzielna";"";"";"";"40";"";"angielski";"Nie";"Nie";"Nie";"ogólnodostępny";"";"";"";"";""
"128726";"=""362392169""";"";"Szkoła podstawowa";"AKADEMIA ODKRYWCÓW DWUJĘZYCZNA NIEPUBLICZNA SZKOŁA PODSTAWOWA";"=""30""";"=""3063""";"=""3063011""";"=""0954225""";"=""06860""";"WIELKOPOLSKIE";"Leszno";"Leszno";"Leszno";"miasto";"ul. Iglasta";"=""4""";"";"=""64-100""";"Leszno";"=""655208899""";"";"sekretariat@akademiaodkrywcow.leszno.pl";"www.akademiaodkrywcow.leszno.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"Paweł Kuropka";"2015.08.31";"2015.09.01";"";"Osoba fizyczna";"KUROPKA PAWEŁ";"";"";"WIELKOPOLSKIE";"leszczyński";"Osieczna";"samodzielna";"";"";"";"81";"";"angielski, hiszpański";"Tak";"Tak";"Nie";"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum";"";"";"";"";""
"5908";"=""146272308""";"";"Szkoła podstawowa";"AKADEMIA PRYMUSA NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 IM. LEONARDA DA VINCI W SOCHACZEWIE";"=""14""";"=""1428""";"=""1428011""";"=""0977120""";"=""20793""";"MAZOWIECKIE";"sochaczewski";"Sochaczew";"Sochaczew";"miasto";"ul. Stadionowa";"=""4""";"";"=""96-500""";"Sochaczew";"=""665348384""";"";"info@akademiaprymusa.edu.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"AGNIESZKA WIĘCEK";"2012.08.28";"2012.09.01";"";"Osoba fizyczna";"WIĘCEK AGNIESZKA";"";"";"MAZOWIECKIE";"sochaczewski";"Sochaczew";"samodzielna";"";"";"";"170";"skocznie, boiska uniwersalne/wielozadaniowe";"angielski, hiszpański, niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny, integracyjny";"";"";"";"";""
"15740";"=""200727919""";"";"Szkoła podstawowa";"AKADEMIA SUKCESU ""NASZA SZKOŁA"" PRYWATNA SZKOŁA PODSTAWOWA NR 8 IM. MARII KONOPNICKIEJ W BIAŁYMSTOKU";"=""20""";"=""2061""";"=""2061011""";"=""0922410""";"=""54656""";"PODLASKIE";"Białystok";"Białystok";"Białystok";"miasto";"ul. Ks. Arcybiskupa Edwarda Kisiela";"=""8""";"";"=""15-361""";"Białystok";"=""857423457""";"=""857423457""";"sekretariat@naszaszkola.com.pl";"www.naszaszkola.com.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"SŁAWOMIR RADECKI";"1995.06.13";"1995.09.01";"";"Osoba fizyczna";"Suchocka Ewa";"";"";"PODLASKIE";"białostocki";"Turośń Kościelna";"samodzielna";"";"";"";"430";"boiska uniwersalne/wielozadaniowe";"angielski, hiszpański";"Nie";"Nie";"Nie";"ogólnodostępny, integracyjny";"";"";"";"";""
"262359";"=""367990248""";"";"Szkoła podstawowa";"AKADEMIA SUKCESU ""NASZA SZKOŁA"" SPOŁECZNA SZKOŁA PODSTAWOWA";"=""22""";"=""2202""";"=""2202044""";"=""0928920""";"=""21970""";"POMORSKIE";"chojnicki";"Czersk";"Czersk";"miasto";"ul. Szkolna";"=""3""";"";"=""89-650""";"Czersk";"=""602299149""";"";"hieronim.kucharski@gmail.com";"czasczersk.ehost.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"HIERONIM KUCHARSKI";"2017.07.24";"2017.09.01";"";"Stowarzyszenia";"SPOŁECZNE TOWARZYSTWO EDUKACYJNE";"=""002500540""";"";"KUJAWSKO-POMORSKIE";"Bydgoszcz";"Bydgoszcz";"samodzielna";"";"";"";"101";"";"angielski, niemiecki";"Tak";"Tak";"Tak";"ogólnodostępny";"Grupa nauczania języka mniejszości";"";"";"";""
"478547";"=""522897747""";"";"Szkoła podstawowa";"AKADEMIA ŚW. STANISŁAWA PAPCZYŃSKIEGO - SZKOŁA PODSTAWOWA";"=""14""";"=""1418""";"=""1418014""";"=""0920321""";"=""19169""";"MAZOWIECKIE";"piaseczyński";"Góra Kalwaria";"Góra Kalwaria";"miasto";"ul. Rybie";"=""4""";"";"=""05-530""";"Góra Kalwaria";"=""725320201""";"";"biuro@assp.edu.pl";"assp.edu.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"JUDYTA MACHNICKA-MDOMA";"2022.08.16";"2022.09.01";"";"Spółki Handlowe";"ASSP.EDU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""522523053""";"=""1231515420""";"MAZOWIECKIE";"piaseczyński";"Góra Kalwaria";"samodzielna";"";"";"";"49";"";"angielski, francuski, hiszpański, niemiecki, rosyjski, włoski";"Tak";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"133636";"=""367511012""";"";"Szkoła podstawowa";"AKADEMICKA SZKOŁA PODSTAWOWA MENEDŻERSKIEJ AKADEMII NAUK STOSOWANYCH W WARSZAWIE";"=""14""";"=""1465""";"=""1465088""";"=""0919298""";"=""08227""";"MAZOWIECKIE";"Warszawa";"Praga-Północ";"Praga-Północ";"dzielnica m.st. Warszawy";"ul. Kawęczyńska";"=""36""";"";"=""03-772""";"Warszawa";"=""228188302""";"";"akademickieliceum@mans.org.pl";"https://liceum.wsm.warszawa.pl/";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"Marek Drozdowski";"2017.04.10";"2017.09.01";"";"Uczelnia Niepubliczna";"MENEDŻERSKA AKADEMIA NAUK STOSOWANYCH W WARSZAWIE";"=""011146123""";"=""1130121889""";"MAZOWIECKIE";"Warszawa";"Praga-Północ";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
