DEPARTAMENTO,SECRETARIA,MUNICIPIO,CODIGO_DANE,NOMBRE_ESTABLECIMIENTO,SECTOR,CARACTER,CALENDARIO,DIRECCION,BARRIO_VEREDA,TELEFONO,EMAIL,RECTOR,TOTAL_MATRICULA,CANTIDAD_SEDES
Antioquia,MEDELLIN,Medellín,105001000132,INSTITUCION EDUCATIVA JOSE MARIA BERNAL,OFICIAL,Técnico/Academico,A,KR 70 A 13 A 19,LAS PLAYAS.,3432086/3454793,ie.josemariabernal@medellin.gov.co,VICTOR RICARDO HERRERA CASTILLO.,850,1.0
Antioquia,MEDELLIN,Medellín,105001000795,INSTITUCION EDUCATIVA ALFREDO COCK ARANGO,OFICIAL,Técnico,A,KR 72 99 55,CASTILLA,4712592,rectoria@ieaca.edu.co,EDIER MARDUCK GIRALDO SEPULVEDA.,717,1.0
Antioquia,ANTIOQUIA,Angostura,205038000161,C. E. R. SANTA ANA,OFICIAL,No Aplica,A,VDA. SANTA ANA,VDA. SANTA ANA,,cersantaana.direccion@gmail.com,DELGADO MORENO PEDRO ALEJANDRO,141,11.0
Antioquia,APARTADO,Apartadó,105045010780,INSTITUCIÓN EDUCATIVA SAN JUAN BOSCO,OFICIAL,Académico,A,IND KR 77 100 B 02,POLICARPA,824 0990,iesanjbosco@gmail.com,ALEXANDER VARILLA VELASQUEZ,1 005,1.0
Antioquia,ANTIOQUIA,El Bagre,205250000104,I. E. R. LA ARENOSA,OFICIAL,Académico,A,VDA LA ARENOSA,VDA. LA ARENOSA,,ierlaarenosa20@gmail.com,MARIN ORDOÑEZ WILMAN ALEXANDER,657,19.0
Antioquia,ANTIOQUIA,Cáceres,105120000345,INSTITUCION EDUCATIVA MONSEÑOR GERARDO PATIÑO,OFICIAL,Académico,A,CL 49 49 49,CL 49 49 49,8362035,iemonsgerardopatino@gmail.com,HENAO OJEDA JAVIER DE JESUS,1 399,3.0
Antioquia,MEDELLIN,Medellín,105001000809,INSTITUCION EDUCATIVA PERPETUO SOCORRO,OFICIAL,Técnico/Academico,A,KR 92 34 D 53,BELENCITO,3147739411,claesva@yahoo.es,CLARA ESTER VALENCIA GARCIA,914,1.0
Antioquia,MEDELLIN,Medellín,105001012700,INSTITUCION EDUCATIVA SAN PABLO,OFICIAL,Técnico/Academico,A,CL 98 B 37 38,POPULAR,5213098 - 5213099,iesanpablo811@gmail.com,OMAR CUESTA PALACIO.,2 422,3.0
Antioquia,ANTIOQUIA,Abejorral,105002000055,I. E. MANUEL CANUTO RESTREPO,OFICIAL,Técnico/Academico,A,CL 51 56 139,CALLE BOLÍVAR,864 73 86,iemacare9@hotmail.com,ASTRID ELENA GONZALEZ VELEZ,598,15.0
Antioquia,APARTADO,Apartadó,105045001527,INSTITUCIÓN EDUCATIVA SANTA MARÍA DE LA ANTIGUA,OFICIAL,Académico,A,CL 102 C 81 44,BARIO SANTA MARIA,8240871,iesmaria13@gmail.com,PRAXEDES GERTRUDIS GARCÍA OYOLA,1 023,1.0
Antioquia,ANTIOQUIA,El Bagre,205250000139,I. E. R. VILLA CHICA,OFICIAL,Académico,A,VDA. LA BONGA,VDA. LA BONGA,,iervillachica2020@gmail.com,URRUTIA HIGUITA CARLOS ALFREDO,783,24.0
Antioquia,ANTIOQUIA,El Bagre,205250000597,C. E. R. EL REAL,OFICIAL,No Aplica,A,VDA. EL REAL,VDA. EL REAL,,centroeducativoruralelreal@hotmail.com,QUINTERO JIMENEZ FILADELFO RAFAEL,319,9.0
Antioquia,ANTIOQUIA,Santo Domingo,205690000262,INSTITUCION EDUCATIVA RURAL PORCESITO,OFICIAL,Académico,A,CORREG. PORCE,,,rectoria@ierporcesito.ie.edu.co,JUAN DIEGO GARCÍA HENAO,365,7.0
Atlántico,ATLANTICO,Tubará,208832000019,CENTRO EDUCATIVO JUARUCO,OFICIAL,No Aplica,A,VEREDA DE JUARUCO,VEREDA DE JUARUCO,,cejuaruco@sedatlantico.gov.co,OSCAR JAVIER FONSECA VARGAS,167,2.0
Bolívar,BOLIVAR,Pinillos,213549001347,INSTITUCIÓN EDUCATIVA DE LAS FLORES,OFICIAL,Académico,A,C/GTO LA FLORES,,3107326677,ielasflores@sedbolivar.gov.co,JULIA DONADO MARTINEZ,396,2.0
Bolívar,BOLIVAR,Hatillo de Loba,213667000479,INSTITUCIÓN EDUCATIVA DE LA RIBONA,OFICIAL,Académico,A,LA RIBONA,,3145671397,iedelaribona@sedbolivar.gov.co,JOSE EURIPIDES GIL MORA,320,2.0
Boyacá,BOYACA,El Espino,215248000208,I.E. CASCAJAL,OFICIAL,Académico,A,VDA SANTA ANA,,3142422669,elespinocascajal@sedboyaca.gov.co,ROSA INES ANTOLINEZ GOMEZ,170,5.0
Boyacá,BOYACA,Firavitoba,215272000197,I.E. TECNICA AGROPECUARIA SAN ANTONIO,OFICIAL,Técnico,A,VDA SAN ANTONIO,,,firavitobasanantonio@sedboyaca.gov.co,GONZALO AUZAQUE RODRIGUEZ,121,4.0
Boyacá,BOYACA,Gachantivá,215293000111,I.E. GUITOQUE,OFICIAL,Académico,A,VDA GUITOQUE,,3125720672,gachantivaguitoque@sedboyaca.gov.co,OMAR ALBERTO TOVAR VILLARREAL,81,6.0
Boyacá,BOYACA,Gámeza,215296000058,I.E. SAZA,OFICIAL,Técnico,A,VDA SAZA,,3156946463 - 3107584161,gamezasaza@sedboyaca.gov.co,FRANCISCO LARA RODRIGUEZ,188,5.0
Boyacá,BOYACA,Guayatá,215325000089,I.E. SOCHAQUIRA ABAJO,OFICIAL,Académico,A,VDA SOCHAQUIRA ABAJO,,,guayatasochaquira@sedboyaca.gov.co,YESIT ERNESTO AREVALO ATUESTA,105,5.0
Boyacá,BOYACA,Guayatá,215325000321,I.E. TECNICA LAS MERCEDES,OFICIAL,Técnico,A,KR 6 # 9 - 60,,7535014,guayatalasmercedes@sedboyaca.gov.co,JAIRO LOZANO MESA,320,7.0
Boyacá,BOYACA,Puerto Boyacá,215572000385,I.E. GUANEGRO,OFICIAL,Académico,A,VDA GUANEGRO,,3164266861,puertoboyacaguanegro@sedboyaca.gov.co,ROSA EDILMA ADARME GONZALEZ,166,9.0
Boyacá,BOYACA,Puerto Boyacá,215572000393,I.E. PUERTO PINZON,OFICIAL,Académico,A,CORREGIMIENTO PUERTO PINZON,,,puertoboyacappinzon@sedboyaca.gov.co,AURA CRISTINA MALDONADO MESA,275,6.0
Boyacá,BOYACA,Socha,215757000136,I.E. MATILDE ANARAY,OFICIAL,Académico,A,VDA ANARAY,,3123204470,sochamatildeanaray@sedboyaca.gov.co,JAIRO DANILO MORENO TORRES,199,7.0
Boyacá,BOYACA,Socha,215757000187,I.E. LOS LIBERTADORES,OFICIAL,Académico,A,VDA EL CURITAL,,3133909860- 3123970600,sochaloslibertadores@sedboyaca.gov.co,MIGUEL ANTONIO LUNA FLOREZ,142,4.0
Boyacá,BOYACA,Umbita,215842000226,I.E. SAN ISIDRO,OFICIAL,Académico,A,VDA SISA ARRIBA,,3124081339,umbitasanisidro@sedboyaca.gov.co,BLANCA LIGIA HERNANDEZ CARRANZA,189,6.0
Boyacá,BOYACA,Ventaquemada,215861000121,I.E. SAN ANTONIO DE PADUA,OFICIAL,Técnico,A,VDA EL CARMEN,,3208664815,ventaquemadasanantonio@sedboyaca.gov.co,HUGO ARMANDO GRANADOS CALDERON,341,5.0
Caquetá,CAQUETA,Cartagena del Chairá,218150000420,I. E. R. SANTA CRUZ DEL AGUILA,OFICIAL,No Aplica,A,VDA EL RECREO,VDA EL RECREO,3114606596,ludyem@gmail.com,LUZ DARY CAMAYO QUINA,181,7.0
Caquetá,CAQUETA,Cartagena del Chairá,218150000501,I.E.R TEUSAQUILLO,OFICIAL,Académico,A,VDA TEUSAQUILLO,VDA TEUSAQUILLO,3204973490,ceteusaquillo_car@hotmail.com,FABIO CADENA OSSA,314,15.0
Caquetá,CAQUETA,Cartagena del Chairá,218150000578,I. E. R. MONSERRATE,OFICIAL,Técnico,A,VDA MONSERRATE,VDA MONSERRATE,3124346674,cemonserrate_car@hotmail.com,MEDARDO LASSO APONZA,290,14.0
Caquetá,CAQUETA,Solano,218765000098,C.E. EL DANUBIO,OFICIAL,Académico,A,VDA  EL DANUBIO,VDA  EL DANUBIO,3143126539,centroeducativoeldanubio@gmail.com,JOSE GERSON BAUTISTA PELAEZ,111,9.0
Cauca,CAUCA,Puerto Tejada,219573000082,C.E. LAS BRISAS,OFICIAL,No Aplica,A,VEREDA LAS  BRISAS,VEREDA LAS  BRISAS,3217248180,carmenamparof@yahoo.es,CARMEN AMPARO FERNANDEZ,116,2.0
Chocó,CHOCO,Medio Atrato,227001000564,IE BOCA DE BEBARA,OFICIAL,Académico,A,BOCA DE BEBARÁ,SIN INFORMACION,3105970395,manuelvaloyes@gmail.com,MANUEL REYES VALOYES MENA,337,8.0
Chocó,CHOCO,Medio Atrato,227001000696,CE BEBARAMA,OFICIAL,Académico,A,EL LLANO DE BEBARAMÁ,SIN INFORMACION,3233642655,lumen-11@hotmail.com,LUIS ARTURO MEDINA MACHADO,95,5.0
Chocó,CHOCO,Lloró,227413000496,CE INDÍGENA DE LANA,OFICIAL,Académico,A,COMUN LANA,,3104275046,panessodumazamarcelino@gmail.com,EMERSON PANESSO TAPI,628,3.0
Chocó,CHOCO,Lloró,227413000500,CE INDÍGENA DE HURTADO,OFICIAL,,A,COMUN. HURTADO,,,panessodumazamarcelino@gmail.com,HERMINIO CHORY  DOGARY,94,3.0
Chocó,CHOCO,Lloró,227413000534,IE INDÍGENA DE ALTO CHITRÉ,OFICIAL,Académico,A,COMUN TIRAVENADO,,3108360606,enriquebugama@gmail.com,BELARMINO JAISABA GUARABATA,518,5.0
Chocó,CHOCO,Medio Baudó,227430000165,CE INDÍGENA SANTA CECILIA,OFICIAL,,A,VDA SANTA CECILIA,,3146003232,caizamojoaquin5@gmail.com,JOAQUIN CAIZAMO,169,3.0
Chocó,CHOCO,Sipí,227745000198,IE UNION CHARCO LARGO,OFICIAL,Académico,A,CORREG CHARCO LARGO,CHARCO LARGO,3233678000,hectoralexander52@hotmail.com,HECTOR ALEXANDER RAMIREZ MANYOMA,325,4.0
Chocó,CHOCO,Sipí,227745000210,CE INDÍGENA LA MILAGROSA DE SANDOSITO,OFICIAL,,A,CORREG SANANDO,,3122745990,jhonaniosinigui2021@gmail.com,JARINSON CHAMAPURO,55,1.0
Chocó,CHOCO,Tadó,227787000031,IE TECNICO AGROAMBIENTAL,OFICIAL,Técnico/Academico,A,VDA CHARCO NEGRO,SIN INFORMACION,3122742560,itatado2020@gmail.com,ENOEL MOSQUERA FLOREZ,486,11.0
Guajira,RIOHACHA,Riohacha,244001004812,INSTITUCION ETNOEDUCATIVO NO 26 WAYENETAMANA,OFICIAL,,A,COMUNIDAD WAYENETAMANA,,,Institucionetnoeducativano.13@gmail.com,KETTY PUSHAINA GONZALEZ,342,4.0
Nariño,NARIÑO,Córdoba,252215000434,CENTRO EDUCATIVO LA FLORIDA,OFICIAL,No Aplica,A,SANTABRIGIDA-TEQUIS,LA FLORIDA,3182455677,wilhencupe@gmail.com,WILSON HENRRY CUARAN PERENGUEZ,11,1.0
Nariño,NARIÑO,Cumbal,252227000871,CENTRO EDUCATIVO EL ROSAL,OFICIAL,No Aplica,A,SECTOR EL ROSAL,SECTOR EL ROSAL,3216926399,alebrasa7@hotmail.com,SANDRA ALICIA REVELO LOPEZ,8,1.0
Nariño,NARIÑO,El Charco,252250000820,CENTRO EDUCATIVO EL ROSARIO,OFICIAL,No Aplica,A,VEREDA  EL ROSARIO,EL ROSARIO,3122104203,moisecaicedo@gmail.com,MOISES CAICEDO ARBOLEDA,234,6.0
Nariño,NARIÑO,La Tola,252250000862,INSTITUCION EDUCATIVA SOFONIAS YACUP,OFICIAL,Académico,A,IND LA TOLA,LA TOLA,3108295534,iesyacup@hotmail.com,MISAEL RIASCOS RODRIGUEZ,1 179,11.0
Nariño,TUMACO,San Andres De Tumaco,252835006343,C.E. INDIG AWA EL VERDE,OFICIAL,No Aplica,A,GRAN SABALO,GRAN SABALO,NO TIENE,AWAUNIPA@COL2.TELECOM.COM.CO,SEGUNDO PAI,512,12.0
Casanare,CASANARE,Pore,285263000298,INSTITUCION EDUCATIVA ANTONIO NARIÑO,OFICIAL,Técnico,A,VDA LA PLATA,,3175019796,ieantonionarino.pore@sedcasanare.gov.co,ISAIAS JIMENEZ SANABRIA,372,7.0
Amazonas,AMAZONAS,Leticia,291540000071,I.E. FRANCISCO DE ORELLANA,OFICIAL,Técnico/Academico,A,VDA MACEDONIA,,3215226791,ieforellana@gmail.com,FREDY FERNANDO CORDOBA MELENDEZ,971,8.0
Amazonas,AMAZONAS,Tarapacá,291798000025,MADRE LAURA,OFICIAL,No Aplica,A,COMUNID BUENOS AIRES,,3143750495,,FLORENTINO OROZCO GREGORIO,70,1.0
Amazonas,AMAZONAS,Tarapacá,291798000033,SANTA TRINIDAD,OFICIAL,No Aplica,A,COMUNID VENTURA,,3143750495,,BASILIO CUELLAR BENTO,45,1.0
Amazonas,AMAZONAS,Tarapacá,291798000050,JOSE MARIA CARBONELL,OFICIAL,No Aplica,A,COMUNID PUERTO HUILA,,3143750495,,JOSE ULDARICO OCHAVANO CARVAJAL,12,1.0
Amazonas,AMAZONAS,Tarapacá,291798000076,ESC PUERTO NUEVO,OFICIAL,No Aplica,A,COMUNID PUERTO NUEVO,,3143750495,,AHEMERD TAPUYIMA MANRIQUE,31,1.0
Amazonas,AMAZONAS,Tarapacá,291798000084,ESC SANTA TERESITA,OFICIAL,No Aplica,A,COMUNID CAÑA BRAVA,,3143750495,,ALEX DAIMLER RUPI,15,1.0
Amazonas,AMAZONAS,Tarapacá,291798000092,ESC EL GUAYABAL,OFICIAL,No Aplica,A,COMUNID SANTA LUCIA,,3143750495,,GABRIEL NOE BARRIOS,35,1.0
Amazonas,AMAZONAS,Tarapacá,291798000106,ESC LUIS ALFONSO YEPES ROJO,OFICIAL,No Aplica,A,COMUNID PUERTO TIKUNA,,3143750495,,JUAN ANGEL SUPELANO IRICA,18,1.0
Amazonas,AMAZONAS,Tarapacá,291798000122,I.E. COLEGIO VILLA CARMEN,OFICIAL,Académico,A,CORREG TARAPACA,CORREG TARAPACA,3208427965,,FABIO HERNANDO VENANCINO VARGAS,440,3.0
Amazonas,AMAZONAS,Tarapacá,291798000131,ESC FILIAL WONE,OFICIAL,No Aplica,A,COMUNID PUPUÑA,,3143750495,,ALBEIRO OROZCO GREGORIO,76,1.0
Antioquia,MEDELLIN,Medellín,305001018812,PREESCOLAR GUILLE,NO_OFICIAL,No Aplica,A,KR 26 48 20,BUENOS AIRES,2697020,preescolarguille@yahoo.es,ASTRID ELENA VELASQUEZ PULGARIN.,51,1.0
Antioquia,MEDELLIN,Medellín,305001026220,CENTRO EDUCATIVO CRECER SOÑANDO,NO_OFICIAL,,A,KR 70 A 51 31,ESTADIO,2300297,crecersonando@hotmail.com,LUZ CATIANA GALLEGO LOPEZ,37,1.0
Antioquia,MEDELLIN,Medellín,305001026238,CENTRO EDUCATIVO FORJADORES DEL MAÑANA,NO_OFICIAL,,A,KR 70 74 90,BOSQUES DE SAN PABLO,441 14 33,forjando_@hotmail.com,DUA NELSY DIEZ RIOS.,9,1.0
Antioquia,MEDELLIN,Medellín,305001026254,PREESCOLAR AMIGOS DE LA CIENCIA,NO_OFICIAL,,A,KR 96 47 A 33,SAN JAVIER NO.2,2520833,amigosdelacienciapree@gmail.com,NILVA ROSA PALACIO PERALTA.,2,1.0
Antioquia,MEDELLIN,Medellín,305001800235,CENTRO EDUCATIVO DESCUBRIENDO JUNTOS,NO_OFICIAL,,A,CL 93 48 31,BERLIN,4895915,cedescubriendojuntos@gmail.com,DAYANA AYALA MAZO.,43,1.0
Antioquia,APARTADO,Apartadó,305045010690,C.E. CORCEDÍN,NO_OFICIAL,,A,CL 104 99 76,ORTIZ,8282904 - 3017685952,monicagutierrez011@gmail.com,MONICA MARÍA GUTIERREZ ESCOBAR,16,1.0
Antioquia,BELLO,Bello,305088800325,CENTRO EDUCATIVO MIS SUEÑOS VIVEN,NO_OFICIAL,,A,AV 20 54 23,NAVARRA,6024809,premisviven@gmail.com,CRUZ ELENA SUAREZ MUÑOZ,27,1.0
Antioquia,BELLO,Bello,305088800333,PREESCOLAR EDUCARES,NO_OFICIAL,Académico,A,AV 19 D 57 C 75,NAVARRA,4989045,preescolareducares@gmail.com,GLORIA ISABEL CASTAÑEDA COSSIO,36,1.0
Antioquia,BELLO,Bello,305088800342,PREESCOLAR TESORITOS ESCONDIDOS,NO_OFICIAL,,A,AV 36 C 45 123,LAS VEGAS,206 77 68,ceduc.tesoritosescondidos@gmail.com,MARINELLA SAMPAYO MERCADO,64,1.0
Antioquia,ANTIOQUIA,Chigorodó,305172001403,COLEGIO DIOCESANO LAURA MONTOYA,NO_OFICIAL,Académico,A,KR 105 10 2,MONTECARLO,8253160,coldiolamo@gmail.com,ANGEL SAMIR VEGA SAENZ,502,1.0
Atlántico,BARRANQUILLA,Barranquilla,308001004209,COLEGIO MARYMOUNT,NO_OFICIAL,Académico,B,KR 59 B 84 226,VILLA DEL ESTE,3885020,rectoria@marymountbq.edu.co,ANABELLA MARTINEZ GOMEZ,170,1.0
Atlántico,BARRANQUILLA,Barranquilla,308001014816,COLEGIO MIXTO ALFA,NO_OFICIAL,No Aplica,A,KR 3 90 50,SAN LUIS,3116551843,Colalfa25@hotmail.com,DORYS ORTIZ BENITEZ,204,1.0
Atlántico,BARRANQUILLA,Barranquilla,308001800374,COLEGIO MIS PRIMERAS AVENTURAS,NO_OFICIAL,,A,KR 4 C 23 86,SIMON BOLIVAR,3148649417,jimpa29@hotmail.com,MILENA AYALA MORENO,73,1.0
Atlántico,BARRANQUILLA,Barranquilla,308001800382,JARDIN INFANTIL MUNDO MAGICO DE COLORES,NO_OFICIAL,,A,CL 73 39 30,LAS DELICIAS,3740769,mimundodecolores2014@outlook.com,KATRIN RUBIO CERPA,49,1.0
Atlántico,ATLANTICO,Candelaria,308141800005,INSTITUCION EDUCATIVO JERUSALEN,NO_OFICIAL,Académico,A,CL 14 15 08,,3017603408,maripinedo@hotmail.es,MAYERLYN GINARYS MACHACON HORTA,191,1.0
Atlántico,ATLANTICO,Galapa,308296000013,C.E. MIXTO DE GALAPA,NO_OFICIAL,Académico,A,CL 13 17 A 81,CENTRO,3086830,CEMGA@ENRED.COM,RODOLFO PADILLA B.,498,1.0
Atlántico,ATLANTICO,Palmar de Varela,308520000261,CENTRO DE EDUCACION LA ENSEÑANZA,NO_OFICIAL,No Aplica,A,CL 7 A 9 24,EL PRADITO,8700039,,ROSMERY FONTALVO CANTILLO,115,1.0
Atlántico,ATLANTICO,Puerto Colombia,308573800082,CENTRO EDUCATIVO SAN FRANCIS,NO_OFICIAL,,A,IND CL 5 5 56,,3136836717,centroeducativosanfranciss@gmail.com,CARMEN CORRALESRAMIREZ,70,1.0
Atlántico,ATLANTICO,Sabanalarga,308638800085,CENTRO EDUCATIVO MIS GRANDES GENIOS,NO_OFICIAL,,A,CL 20 A 13 114,,3007376653,jmisgrandesgenios@gmail.com,LIZAETH PAOLA HEREDIA ROCA,83,1.0
Atlántico,ATLANTICO,Sabanalarga,308638800093,CENTRO EDUCATIVO AVANCEMOS,NO_OFICIAL,,A,CL 16 20 108 <EOF>,SANTANDER,,avancemossabanalarga@gmail.com,CINDY JULIANA LEON COBA,43,1.0
Atlántico,ATLANTICO,Sabanalarga,308638800115,FUNDACION EDUCATIVA DEL NORTE,NO_OFICIAL,,A,CL 21 12 54 <EOF>,,,corenorte13@hotmail.com,SANDRA MILENA BERDUGO ALVAREZ,45,1.0
Atlántico,ATLANTICO,Sabanalarga,308638800123,CENTRO EDUCATIVO SAN ANTONIO DE PADUA,NO_OFICIAL,,A,CL 22 27 60,AVENIDA RIBON,3015384151,cesa.2023@gmail.com,ANGELA SOFIA CORTES THOMAS,122,1.0
Atlántico,SOLEDAD,Soledad,308758077769,INSTITUTO NISI,NO_OFICIAL,No Aplica,A,KR 13 73 B 69,LAS MORAS,3435277-3157044562,insnisi@hotmail.com,YAFAR YANINE SANCHEZ SANCHEZ,9,1.0
Atlántico,SOLEDAD,Soledad,308758800355,COLEGIO NIÑOS DE SHALOM,NO_OFICIAL,,A,KR 41 G 45 12,URB. EL PARQUE,3126072443,Colegiodeshalom2017@gmail.com,DORIS JOHANA HERRERA ALVARADO,85,1.0
Atlántico,SOLEDAD,Soledad,308758800363,JARDIN INFANTIL MI REBAÑO,NO_OFICIAL,Académico,A,KR 10 C 58 05,LOS CUSULES,3104248810,jarmireb@gmail.com,SILVIA ROSA AVILA FIGUEROA,16,1.0
Atlántico,SOLEDAD,Soledad,308758800703,CENTRO EDUCATIVO PRADO SOLEDAD,NO_OFICIAL,,A,KR 4 49 55,PRADO SOLEDAD,3152398892,pilas58@hotmail.com,LUIS CARLOS HERNANDEZ GALAN,10,1.0
Atlántico,SOLEDAD,Soledad,308758800711,CENTRO EDUCATIVO INFANCIA MÁGICA,NO_OFICIAL,,A,KR 36 20 48 <EOF>,EL TRIUNFO,3022959184,maryperezpino@hotmail.com,DAYANA MELISSA DE ALBA PÉREZ,41,1.0
Atlántico,SOLEDAD,Soledad,308758801336,CENTRO EDUCATIVO ERUDITOS,NO_OFICIAL,,A,KR 47 57 71,VILLA CECILIA,3016299959,centroeducativoeruditos@gmail.com,EBEC MELEC BENITEZ JORDAN,141,1.0
Atlántico,SOLEDAD,Soledad,308758801361,INSTITUTO NACIONAL EDUCATIVO DE COLOMBIA,NO_OFICIAL,Académico,A,IND CALLE 65ª # 13 - 16,MANANTIAL,,,VIVIANA PAOLA GONZALEZ BELTRAN,427,1.0
Atlántico,ATLANTICO,Tubará,308832000188,CENTRO EDUCATIVOS CAMINOS DEL SABER,NO_OFICIAL,,A,CL 6 7 06,,,cjeydith@hotmail.es,ERIKA CORRO COLL,82,1.0
"Capital Bogotá, D.C.",BOGOTA,"Bogotá, D.C.",311001076316,GIMNASIO SAN VALERY,NO_OFICIAL,No Aplica,A,CL 1 SUR 54 35,CAMELIA,2904515,clauslugu@hotmail.com,CLAUDIA LUCIA GUIZA SABOGAL,79,1.0
Bolívar,BOLIVAR,Turbaco,313836800000,CENTRO EDUCATIVO LICEO ARIZA,NO_OFICIAL,,A,MZ A LT 6,LA GRANJA,3148943676,liceoariza@gmail.com,MATILDE MILENA WILLIAMS ARIZA,63,1.0
Bolívar,BOLIVAR,Turbaco,313836800018,GIMNASIO CAMPESTRE ALTAMIRA,NO_OFICIAL,,A,KR 35 CL 24 28,BARRIO ALTAMIRA,3147962477,gimnasioaltamira@gmail.com,NABIS DEL SOCORRO RODRIGUEZ OSPINO,59,1.0
Bolívar,BOLIVAR,Turbaco,313836800034,INTEGRAL CAMINANDO HACIA EL FUTURO,NO_OFICIAL,,A,IND MZ 4 LT 12 SECTOR 2,EL RODEO,3002694662,ceicafut@gmail.com,RODEAXA NOVOA PINZON,105,1.0
Atlántico,MALAMBO,Malambo,308433000808,INSTITUTO JULIO VERNE,NO_OFICIAL,Académico,A,IND CALLE 4B1  1 - 06,TESORO,3479095,,GERONIMO FAUSTO,644,1.0
Cauca,POPAYAN,Popayán,319001005240,COLEGIO CESCO BILINGÜE,NO_OFICIAL,Académico,B,CL 8 6 59,,,,EDUARDO MARTINEZ DE LA CRUZ,94,1.0
Guaviare,GUAVIARE,San José Del Guaviare,395001800064,I.E. ANCORA,NO_OFICIAL,,A,KR 27 14 49 <EOF>,SANTANDER,,,YULY ANDREA LOPEZ CUADRADO,132,1.0
Magdalena,MAGDALENA,Zona Bananera,447980003077,INS MTO MIGUEL DE CERVANTES S.,NO_OFICIAL,Académico,A,COR GUACAMAYAL,CORREGIMIENTO,0,,FARIDES PEREZ,215,1.0
Cauca,CAUCA,Puerto Tejada,119573000774,I.E. ANA SILENA ARROYAVE,OFICIAL,Técnico,A,CL 22 KR 15,BARRRIO EL HIPODROMO,3106225516,anasilena@gmail.com,WILSON HURTADO OBREGON,389,1.0
Antioquia,MEDELLIN,Medellín,105001000141,INSTITUCION EDUCATIVA PRESBITERO CAMILO TORRES RESTREPO,OFICIAL,Técnico/Academico,A,KR 49 83 34,CAMPO VALDES N. 1,5163058- 300 4124789,iepbrocamilotorres@gmail.com secretaria@presbiterocamilotorres.edu.co,BEATRIZ ELENA CASTRO PINZON,500,1.0
Antioquia,MEDELLIN,Medellín,105001000175,INSTITUCION EDUCATIVA GABRIEL RESTREPO MORENO,OFICIAL,Técnico/Academico,A,KR 39 A 85 59,LAS GRANJAS,2631645,ie.gabrielrestrepo@medellin.gov.co,ALVARO MEJIA PAYARES,887,2.0
