An,Judet PJ,Localitate PJ,Cod SIRUTA PJ,Mediu loc. PJ,Cod SIIIR PJ,Denumire PJ,Localitate unitate,Cod SIRUTA unitate,Mediu loc. unitate,Cod SIRUES,Cod SIIIR unitate,Denumire scurta unitate,Denumire lunga unitate,Tip unitate,Statut unitate,Cod fiscal,Mod functionare,Forma finantare,Forma proprietate,Strada,Numar,Cod postal,Telefon,Fax,Email
2025-2026,AB,BUCIUM,3468,RURAL,0161102354,"ȘCOALA GIMNAZIALĂ ""ION AGÂRBICEANU"" BUCIUM",POIENI,3663,RURAL,,0162105185,S04 POIENI,ȘCOALA PRIMARĂ BUCIUM POIENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA,601B,517189,0786404989,0258784103,sc.bucium@isjalba.ro
2025-2026,AB,CETATEA DE BALTĂ,3967,RURAL,0161103459,"ȘCOALA GIMNAZIALĂ ""ȘTEFAN CEL MARE"" CETATEA DE BALTĂ",TĂTÂRLAUA,3994,RURAL,,0162105488,S04 TĂTÂRLAUA,ȘCOALA PRIMARĂ TĂTÂRLAUA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA,238,517238,0258886830,0258886830,sc.cetateadebalta@isjalba.ro
2025-2026,AB,CIURULEASA,4017,RURAL,0161102404,ȘCOALA GIMNAZIALĂ CIURULEASA,BUNINGINEA,4053,RURAL,,0162105131,S04 BUNINGINEA,ȘCOALA PRIMARĂ BUNINGINEA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Buninginea,1,517254,0744550945,0258782120,sc.ciuruleasa@isjalba.ro
2025-2026,AB,CUGIR,1703,URBAN,0161103355,"LICEUL TEHNOLOGIC ""ION D. LĂZĂRESCU"" CUGIR",MUGEŞTI,1767,RURAL,,0162100361,S04 MUGEȘTI,ȘCOALA PRIMARĂ MUGEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA,1 ,515606,0258752287,0258752287,scip.cugir@isjalba.ro
2025-2026,AB,CÂLNIC,4115,RURAL,0161103025,ȘCOALA GIMNAZIALĂ CÂLNIC,DEAL,4133,RURAL,,0162100673,S04 DEAL,ȘCOALA PRIMARĂ DEAL,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA,132,517207,0258747116,0258747116,sc.cilnic@isjalba.ro
2025-2026,AB,CÂMPENI,1464,URBAN,0161102639,ȘCOALA GIMNAZIALĂ CÂMPENI,MIHOEŞTI,1598,RURAL,,0162101715,S04 MIHOEȘTI,ȘCOALA PRIMARĂ MIHOEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA,1,517513,0258771560,0258771560,sc.cimpeni@isjalba.ro
2025-2026,AB,DOŞTAT,4277,RURAL,0161102517,ȘCOALA GIMNAZIALĂ DOȘTAT,BOZ,4286,RURAL,,0162105235,S04 BOZ,ȘCOALA PRIMARĂ BOZ,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principala,42,517276,0258769601,0258769601,sc.dostat@isjalba.ro
2025-2026,AB,DRAŞOV,7990,RURAL,0161105823,ȘCOALA GIMNAZIALĂ DRAȘOV,CUNŢA,7981,RURAL,,0162100379,S04 CUNȚA,ȘCOALA PRIMARĂ CUNȚA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,32,517768,0258764064,0258764064,sc.drasov@isjalba.ro
2025-2026,AB,DRAŞOV,7990,RURAL,0161105823,ȘCOALA GIMNAZIALĂ DRAȘOV,VINGARD,8005,RURAL,,0162100411,S04 VINGARD,ȘCOALA PRIMARĂ VINGARD,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principală,392,517771,0258766012,0258766012,sc.drasov@isjalba.ro
2025-2026,AB,DRAŞOV,7990,RURAL,0161105823,ȘCOALA GIMNAZIALĂ DRAȘOV,ŞPRING,7954,RURAL,307616,0162101068,S04 ȘPRING,ȘCOALA PRIMARĂ ȘPRING,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,333,517765,0258765125,0258765065,sc.drasov@isjalba.ro
2025-2026,AB,FĂRĂU,4311,RURAL,0161102924,ȘCOALA GIMNAZIALĂ FĂRĂU,MEDVEŞ,4339,RURAL,,0162100809,S04 MEDVEȘ,ȘCOALA PRIMARĂ MEDVEȘ,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,13,517282,0258867113,0258867113,sc.farau@isjalba.ro
2025-2026,AB,GALDA DE JOS,4375,RURAL,0161100067,"ȘCOALA GIMNAZIALĂ ""NICOLAE DRĂGAN"" GALDA DE JOS",OIEJDEA,4446,RURAL,,0162104207,S04 OIEJDEA,ȘCOALA PRIMARĂ OIEJDEA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA,291,517293,0258846939,0258846939,sc.galda@isjalba.ro
2025-2026,AB,GÂRBOVA,4491,RURAL,0161102259,ȘCOALA GIMNAZIALĂ GÂRBOVA,CĂRPINIŞ,4507,RURAL,,0162105289,S04 CĂRPINIȘ,ȘCOALA PRIMARĂ CĂRPINIȘ,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,SCOLII,249,517306,0258748114,0258748114,sc.garbova@isjalba.ro
2025-2026,AB,GÂRDA DE SUS,4534,RURAL,0161103224,"ȘCOALA GIMNAZIALĂ ""EMIL RACOVIȚĂ "" GÂRDA DE SUS",OCOALE,4641,RURAL,,0162104112,S04 OCOALE,ȘCOALA PRIMARĂ OCOALE,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA,274,517323,0358402993,0258778123,sc.girda@isjalba.ro
2025-2026,AB,HOPÂRTA,4712,RURAL,0161102413,ȘCOALA GIMNAZIALĂ HOPÂRTA,SILIVAŞ,4721,RURAL,,0162100967,S04 SILIVAȘ,ȘCOALA PRIMARĂ SILIVAȘ,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA, 2,517336,0258875730,0258875730,sc.hopirta@isjalba.ro
2025-2026,AB,HOREA,4776,RURAL,0161102883,"ȘCOALA GIMNAZIALĂ ""HOREA"" HOREA",TRIFEŞTI,4909,RURAL,,0162101484,S04 „ ÎNV. VIOREL NEAG”TRIFEȘTI,ȘCOALA PRIMARĂ „ ÎNV. VIOREL NEAG” TRIFEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,TRIFESTI,126,517536,0258701071,0258701071,sc.horea@isjalba.ro
2025-2026,AB,LUPŞA,5345,RURAL,0161102779,"ȘCOALA GIMNAZIALĂ ""DR.PETRU SPAN"" LUPȘA",MUŞCA,5461,RURAL,,0162104261,S04 MUȘCA,ȘCOALA PRIMARĂ MUȘCA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA,80,517424,0258769107,0258769107,sc.lupsa@isjalba.ro
2025-2026,AB,METEŞ,5586,RURAL,0161102381,ȘCOALA GIMNAZIALĂ METEȘ,AMPOIŢA,5595,RURAL,306167,0162103622,S04 AMPOIȚA,ȘCOALA PRIMARĂ AMPOIȚA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, STR.PRINCIPALA, 129,517446,0258849680,0258849680,sc.metes@isjalba.ro
2025-2026,AB,METEŞ,5586,RURAL,0161102381,ȘCOALA GIMNAZIALĂ METEȘ,TĂUŢI,5684,RURAL,,0162103631,S04 TĂUȚI,"ȘCOALA PRIMARĂ ""DIONISIE POPOVICIU"" TĂUȚI",Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA, 143,517457,0258849801,0258849801,sc.metes@isjalba.ro
2025-2026,AB,MIRĂSLĂU,5764,RURAL,0161102743,ȘCOALA GIMNAZIALĂ MIRĂSLĂU,DECEA,5782,RURAL,,0162100922,S04 DECEA,ȘCOALA PRIMARĂ DECEA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principala,18,517472,0258879042,0258879042,sc.miraslau@isjalba.ro
2025-2026,AB,OCNA MUREŞ,1801,URBAN,0161100049,LICEUL TEHNOLOGIC OCNA MUREȘ,UIOARA DE SUS,1829,RURAL,,0162101127,S04 UIOARA DE SUS,ȘCOALA PRIMARĂ UIOARA DE SUS,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,ZORILOR,1,515705,0258871141,0258871141,sc.ocna@isjalba.ro
2025-2026,AB,OCNA MUREŞ,1801,URBAN,0161102811,"LICEUL TEORETIC ""PETRU MAIOR"" OCNA MUREȘ",UIOARA DE JOS,1810,RURAL,,0162101932,S04 UIOARA DE JOS,ȘCOALA PRIMARĂ UIOARA DE JOS,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,ANDREI MUREŞANU,72,515704,0258870559,0258870559,teo.ocna@isjalba.ro
2025-2026,AB,OCNA MUREŞ,1801,URBAN,0161103509,"ȘCOALA GIMNAZIALĂ ""LUCIAN BLAGA"" OCNA MUREȘ",CISTEIU DE MUREŞ,1838,RURAL,,0162101109,S04 CISTEIU DE MUREȘ,ȘCOALA PRIMARĂ CISTEIU DE MUREȘ,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Bazil Gruia,81,515701,0258871141,0258871141,sc.ocna@isjalba.ro
2025-2026,AB,OCNA MUREŞ,1801,URBAN,0161103509,"ȘCOALA GIMNAZIALĂ ""LUCIAN BLAGA"" OCNA MUREȘ",RĂZBOIENI-CETATE,1856,RURAL,,0162101118,S04 RĂZBOIENI,ȘCOALA PRIMARĂ RĂZBOIENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Școlii,392,515703,0258871141,0258871141,sc.ocna@isjalba.ro
2025-2026,AB,PIANU DE SUS,6226,RURAL,0161102553,ȘCOALA GIMNAZIALĂ PIANU DE SUS,PURCĂREŢI,6253,RURAL,,0162100619,S04 PURCĂREȚI,"ȘCOALA PRIMARĂ ""GHEORGHE PAVELESCU"" PURCĂREȚI",Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA,34,517539,0258761113,0258761113,sc.pianu@isjalba.ro
2025-2026,AB,POIANA VADULUI,6280,RURAL,0161102996,"ȘCOALA GIMNAZIALĂ ""PROF. UNIV. DR. GHEORGHE BELEIU"" POIANA VADULUI",COSTEŞTI,6299,RURAL,,0162103952,S04 COSTEȘTI,ȘCOALA PRIMARĂ COSTEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principala,1,517546,0258785679,0258785679,sc.poianavadului@isjalba.ro
2025-2026,AB,POIANA VADULUI,6280,RURAL,0161102996,"ȘCOALA GIMNAZIALĂ ""PROF. UNIV. DR. GHEORGHE BELEIU"" POIANA VADULUI",FĂGETU DE SUS,6324,RURAL,,0162103934,S04 FĂGETU DE SUS,ȘCOALA PRIMARĂ FĂGETU DE SUS,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Făgetu de Sus,1,517549,0768934559,0258785679,sc.poianavadului@isjalba.ro
2025-2026,AB,ROŞIA DE SECAŞ,6949,RURAL,0161102684,ȘCOALA GIMNAZIALĂ ROȘIA DE SECAȘ,TĂU,6958,RURAL,,0162103518,S04 TĂU,ȘCOALA PRIMARĂ TĂU,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,ŞCOLII, 1,517641,0258716865,0258765715,sc.rosiadesecas@isjalba.ro
2025-2026,AB,ROŞIA DE SECAŞ,6949,RURAL,0161102684,ȘCOALA GIMNAZIALĂ ROȘIA DE SECAȘ,UNGUREI,6967,RURAL,,0162103545,S04 UNGUREI,ȘCOALA PRIMARĂ UNGUREI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ, 1,517642,0371153070,0258765715,sc.rosiadesecas@isjalba.ro
2025-2026,AB,ROŞIA MONTANĂ,6770,RURAL,0161102598,"ȘCOALA GIMNAZIALĂ ""SIMION BALINT"" ROȘIA MONTANĂ",GURA ROŞIEI,6878,RURAL,,0162105099,S04 GURA ROȘIEI,ȘCOALA PRIMARĂ GURA ROȘIEI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principală,1,517627,0258783113,0258783113,sc.rosiamontana@isjalba.ro
2025-2026,AB,RÂMETEA,6609,RURAL,0161102494,"ȘCOALA GIMNAZIALĂ ""SEBEȘ PAL"" RIMETEA",COLŢEŞTI,6618,RURAL,,0162100881,S04 COLȚEȘTI,ȘCOALA PRIMARĂ COLȚEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principală,216,517611,0258701554,0258701554,sc.rimetea@isjalba.ro
2025-2026,AB,SCĂRIŞOARA,7204,RURAL,0161103007,ȘCOALA GIMNAZIALĂ SCĂRIȘOARA,NEGEŞTI,7286,RURAL,,0162103925,S04 NEGEȘTI,ȘCOALA PRIMARĂ NEGEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA, 561,517689,0258777529,0258777529,sc.scarisoara@isjalba.ro
2025-2026,AB,SOHODOL,7455,RURAL,0161102978,ȘCOALA GIMNAZIALĂ SOHODOL,LUMINEŞTI,7598,RURAL,,0162101439,S04 LUMINEȘTI,ȘCOALA PRIMARĂ LUMINEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principală,1,517717,0258787226,0258787226,sc.sohodol@isjalba.ro
2025-2026,AB,SĂLIŞTEA,7053,RURAL,0161103441,"ȘCOALA GIMNAZIALĂ ""DAVID PRODAN"" SĂLIȘTEA",TĂRTĂRIA,7080,RURAL,,0162103726,S04 TĂRTĂRIA,ȘCOALA PRIMARĂ TĂRTĂRIA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA, 34,517658,0258762138,0258762138,sc.salistea@isjalba.ro
2025-2026,AB,SĂSCIORI,7106,RURAL,0161102657,ȘCOALA GIMNAZIALĂ SĂSCIORI,CĂPÂLNA,7115,RURAL,,0162100515,S04 CĂPÂLNA,ȘCOALA PRIMARĂ CĂPÂLNA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principala,12,517661,0258741213,0258741213,sc.sasciori@isjalba.ro
2025-2026,AB,SĂSCIORI,7106,RURAL,0161102657,ȘCOALA GIMNAZIALĂ SĂSCIORI,SEBEŞEL,7179,RURAL,,0162100483,S04 SEBEȘEL,"ȘCOALA PRIMARĂ ""DUVLEA-ZDRENGHEA"" SEBEȘEL",Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALA, 262A,517668,0258700164,0258700164,sc.sasciori@isjalba.ro
2025-2026,AB,SĂSCIORI,7106,RURAL,0161102657,ȘCOALA GIMNAZIALĂ SĂSCIORI,TONEA,7188,RURAL,,0162100533,S04 TONEA,ȘCOALA PRIMARĂ TONEA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principala,86,517669,0258741213,0258741213,sc.sasciori@isjalba.ro
2025-2026,AB,TEIUŞ,8103,URBAN,0161102544,LICEUL TEORETIC TEIUȘ,CĂPUD,8121,RURAL,,0162101222,S04 CĂPUD,ȘCOALA PRIMARĂ CĂPUD,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, Principala,1,515902,0258851157,0258851175,lt.teius@isjalba.ro
2025-2026,AB,UNIREA,8167,RURAL,0161102336,"ȘCOALA GIMNAZIALĂ ""AVRAM IANCU "" UNIREA",DUMBRAVA,8194,RURAL,,0162105384,S04 DUMBRAVA,ȘCOALA PRIMARĂ DUMBRAVA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ, 12,517788,0258876108,0258876108,ai.unirea@isjalba.ro
2025-2026,AB,VIDRA,8434,RURAL,0161103432,ȘCOALA GIMNAZIALĂ VIDRA,VÂRTĂNEŞTI,8817,RURAL,,0162101403,S04 VÂRTĂNEȘTI,ȘCOALA PRIMARĂ VÂRTĂNEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,1,517861,0258786583,0258786583,sc.vidra@isjalba.ro
2025-2026,AB,VINŢU DE JOS,8835,RURAL,0161103382,"ȘCOALA GIMNAZIALĂ ""IULIU MANIU"" VINȚU DE JOS",VALEA VINŢULUI,8997,RURAL,,0162100307,S04 VALEA VINȚULUI,ȘCOALA PRIMARĂ VALEA VINȚULUI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local, PRINCIPALA,117,517893,0258739118,0258739118,sc.vintu@isjalba.ro
2025-2026,AB,VINŢU DE JOS,8835,RURAL,0161103382,"ȘCOALA GIMNAZIALĂ ""IULIU MANIU"" VINȚU DE JOS",VURPĂR,9002,RURAL,,0162100316,S04 VURPĂR,ȘCOALA PRIMARĂ VURPĂR,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,VURPAR,105,517896,0258739118,0258739118,sc.vintu@isjalba.ro
2025-2026,AB,ZLATNA,1945,URBAN,0161102797,"LICEUL ""CORNELIU MEDREA"" ZLATNA",PIRITA,2041,RURAL,,0162101959,S04 PIRITA,ȘCOALA PRIMARĂ PIRITA,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,44,516111,0258856521,0258856521,lic.zlatna@isjalba.ro
2025-2026,AB,ZLATNA,1945,URBAN,0161102797,"LICEUL ""CORNELIU MEDREA"" ZLATNA",VALEA MICĂ,2112,RURAL,,0162101629,S04 VALEA MICĂ,ȘCOALA PRIMARĂ VALEA MICĂ,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,PRINCIPALĂ,96,516117,0258856509,0258856509,lic.zlatna@isjalba.ro
2025-2026,AB,ŞUGAG,8023,RURAL,0161102648,ȘCOALA GIMNAZIALĂ ȘUGAG,MĂRTINIE,8078,RURAL,,0162104998,S04 MĂRTINIE,ȘCOALA PRIMARĂ MĂRTINIE,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Obrejii,32,517781,0258746105,0258746105,sc.sugag@isjalba.ro
2025-2026,AG,ALBEŞTII PAMÂNTENI,13828,RURAL,0361104846,ȘCOALA GIMNAZIALĂ ALBEȘTII DE ARGEȘ,ALBEŞTII UNGURENI,13837,RURAL,,0362101273,ȘC.PRIM. UNGURENI,ȘCOALA PRIMARĂ UNGURENI,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,Ungureni,FN ,117006,0248735076,0248735105,scoalaalbestiidearges@yahoo.com
2025-2026,AG,ALBEŞTII PAMÂNTENI,13828,RURAL,0361104846,ȘCOALA GIMNAZIALĂ ALBEȘTII DE ARGEȘ,BRĂTEŞTI,13846,RURAL,,0362106034,ȘC.PRIM. BRĂTEȘTI,ȘCOALA PRIMARĂ BRĂTEȘTI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Brătești,3,117007,0248735285,0248735105,scoalaalbestiidearges@yahoo.com
2025-2026,AG,ALBEŞTII PAMÂNTENI,13828,RURAL,0361104846,ȘCOALA GIMNAZIALĂ ALBEȘTII DE ARGEȘ,DUMIREŞTI,13873,RURAL,,0362101264,ȘC.PRIM. DUMIREȘTI,ȘCOALA PRIMARĂ DUMIREȘTI,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,Dumirești,FN,117011,0248735105,0248735105,scoalaalbestiidearges@yahoo.com
2025-2026,AG,AREFU,14067,RURAL,0361104353,"ȘCOALA GIMNAZIALĂ ""GEORGE STEPHĂNESCU"" AREFU",AREFU,14067,RURAL,,0362101291,ȘC. PRIM. GHE. BĂDESCU AREFU,"ȘCOALA PRIMARĂ ""GHEORGHE BĂDESCU"" AREFU",Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Arefu,FN ,117040,0248730292,0248730163,scoalacapataneni@yahoo.com
2025-2026,AG,BEREVOEŞTI,14414,RURAL,0361103664,"ȘCOALA GIMNAZIALĂ ""MIHAI TICAN RUMANO"" BEREVOEȘTI",BEREVOEŞTI,14414,RURAL,,0362101074,ȘC.PRIM. UNGURENI,ȘCOALA PRIMARĂ UNGURENI,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,Stadionului,190 ,117115,0248572013,0248572013,scoalaberevoesti@yahoo.com
2025-2026,AG,BEREVOEŞTI,14414,RURAL,0361103664,"ȘCOALA GIMNAZIALĂ ""MIHAI TICAN RUMANO"" BEREVOEȘTI",GĂMĂCEŞTI,14432,RURAL,,0362101065,ȘC.PRIM. GĂMĂCEȘTI,ȘCOALA PRIMARĂ GĂMĂCEȘTI,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,Gămăcești,30,117115,0248572013,0248572013,scoalaberevoesti@yahoo.com
2025-2026,AG,BOGAŢI,14593,RURAL,0361104796,"ȘCOALA GIMNAZIALĂ ""RADU CEL MARE"" BOGAȚI",SUSENI,14664,RURAL,,0362100991,ȘC.PRIM. SUSENI,ȘCOALA PRIMARĂ SUSENI,Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Suseni,FN ,117120,0248655005,0248655172,scoala_bogati@yahoo.com
2025-2026,AG,BRADU,13285,RURAL,0361103533,"ȘCOALA GIMNAZIALĂ ""MIHAI EMINESCU"" BRADU",BRADU,13285,RURAL,,0362100792,ȘC.PRIM. MIHAI EMINESCU BRADU,"ȘCOALA PRIMARĂ ""MIHAI EMINESCU"" BRADU",Unitate de învățământ,AR,,Un schimb/zi,Buget,Publică de interes naţional şi local,Buna Vestire,73,117141,0248279308,0248279308,scoala1bradu@yahoo.com
2025-2026,AG,BUGHEA DE JOS,14931,RURAL,0361103465,ȘCOALA GIMNAZIALĂ NR. 1 BUGHEA DE JOS,BUGHEA DE JOS,14931,RURAL,,0362100887,ȘC.PRIM. VALEA MĂCELARULUI,ȘCOALA PRIMARĂ VALEA MĂCELARULUI,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,Pietrării,8,117165,0248536380,0248536380,scoalabugheadejos@gmail.com
2025-2026,AG,BUGHEA DE SUS,13908,RURAL,0361103411,ȘCOALA GIMNAZIALĂ NR. 1 BUGHEA DE SUS,BUGHEA DE SUS,13908,RURAL,,0362100878,ȘC.PRIM. BUGHIȚA,ȘCOALA PRIMARĂ BUGHIȚA,Unitate de învățământ,AR,,Două schimburi/zi,Buget,Publică de interes naţional şi local,Bughița,FN,117027,0248555010,0248555010,scoalabugheadesus@yahoo.com
