school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
BEACON PRIMARY SCHOOL,https://beaconpri.moe.edu.sg/,36 Bukit Panjang Ring Road   ,679944,67697255,na,67697244,na,beaconprisch@moe.edu.sg,"Bangkit LRT, Fajar LRT Station, Bukit Panjang MRT","920, 922, 971, 972, 972A, 972M, 976",MISS NG SUAT THENG ANGELA,MADAM LELA BTE SHAMSUHADI,MISS MELISSA CHANG SUET MUN,MDM SOH SIOW YEN (SU XIAOYAN),na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BEDOK GREEN PRIMARY SCHOOL,http://www.bedokgreenpri.moe.edu.sg,1 BEDOK SOUTH AVE 2   ,469317,64425416,na,64491491,na,bgps@moe.edu.sg,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",MR YONG YIK YEN BENJAMIN,MADAM SENTHIL POONKODI D/O R K,CHUA KOK SENG,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BENDEMEER PRIMARY SCHOOL,http://www.bendemeerpri.moe.edu.sg/,91 BENDEMEER ROAD   ,339948,62982911,na,62995735,na,bendemeer_ps@moe.edu.sg,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X, 133, 140, 147, 853, 857, 985",MADAM LIM KIM GEK,MRS LINDA TAN,MR TOH KIM SING (ZHUO JINSHENG),MR TOO MENG NGEE,na,na,na,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BLANGAH RISE PRIMARY SCHOOL,http://www.blangahrisepri.moe.edu.sg/,91 TELOK BLANGAH HEIGHTS   ,109100,62717387,na,62763037,na,brps@moe.edu.sg,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,MISS NG POR JOO PEARLY,MISS NARAYANASAMY UMA RANI,MR CHIONH BOON SOO,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BOON LAY GARDEN PRIMARY SCHOOL,www.boonlaygardenpri.moe.edu.sg,20 BOON LAY DRIVE   ,649930,63160998,na,63160209,na,blgps@moe.edu.sg,Lakeside & Boon Lay,"30, 99, 154, 178, 180, 187, 240, 246",MADAM CHRISTINE LIM MIN HUI,MADAM NG BOON IN,MRS AVINASH MURUGESUVARI,MR OH CHIN CHYE (HU JINCAI),na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BUKIT PANJANG PRIMARY SCHOOL,http://www.bukitpanjangpri.moe.edu.sg,109 CASHEW ROAD   ,679676,67691912,na,67637462,na,bpps@moe.edu.sg,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",MADAM LEN LENG LENG TERESA KELLY,MR CHAN WENG KIT MARK,MADAM KAY HWEE GEAK,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BUKIT TIMAH PRIMARY SCHOOL,http://www.bukittimahpri.moe.edu.sg,111 Lorong Kismis   ,598112,64662863,na,64692179,na,bukittimahps@moe.edu.sg,"Beauty World, Bukit Batok and Clementi Stations",173,MISS LAU WAN SZE,MDM JAN LIN,"MADAM KOH LEE KUN, SHIRLYN",na,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
BUKIT VIEW PRIMARY SCHOOL,http://www.bukitviewpri.moe.edu.sg,18 BUKIT BATOK STREET 21   ,659634,65661980,na,65635015,na,bukitview_ps@moe.edu.sg,Bukit Batok MRT Station,"173, 157, 178, 852, 66, 106, 61, 506, 963, 77",MADAM TEO ENG HUI,MRS LEE JUN WEN,MR TAY JIA MING TERENCE,MR GOH GIN HOWE,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CANBERRA PRIMARY SCHOOL,http://www.canberrapri.moe.edu.sg,21 ADMIRALTY DRIVE   ,757714,67597433,na,67587312,na,canberra_ps@moe.edu.sg,Sembawang MRT Station,Bus No. 859,MR TAN SIAN YEOW TERENCE,MADAM ONG LIXIANG JOYCE,MR SHAH JAHAN B MOHAMED IQBAL,MR TAY YU ZHE,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CANOSSA CATHOLIC PRIMARY SCHOOL,https://canossacatholicpri.moe.edu.sg/,1 Sallim Road   ,387621,68441418,na,68441417,na,ccps@moe.edu.sg,Nearest MRT station: Mattar Station (about 3-minute walk),"Aljunied Road (same side as CCPS): 62, 64, 100, Aljunied Road (opposite CCPS): 61, 62, 64, 66, 100, 135, 154, 155, Merpati Rd (after Jln Anggerek): 40, 61, 63, 65, 66, 135",MADAM SIA LU-MING EUGENIE,MR LEE KOK MENG CLEMENT,MR LIM TIAN SIONG,na,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CANTONMENT PRIMARY SCHOOL,http://www.cantonmentpri.moe.edu.sg,1 CANTONMENT CLOSE   ,88256,65119555,na,65119556,na,cantonment_ps@moe.edu.sg,"Tanjong Pagar, Outram Park","121, 167, 196",MADAM FOO YIN PING GRACE,MRS JANE CHEAH,MR YEO SHO HOR,MR LOH SIANG KIANG,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CASUARINA PRIMARY SCHOOL,http://www.casuarinapri.moe.edu.sg/,30 PASIR RIS ST 41   ,518935,65837132,na,65836227,na,casuarina_ps@moe.edu.sg,Pasir Ris MRT Station,"Nos. 12, 21 & 358",MR POH CHEE YANG,MR TAYEB B RAJIB,MADAM HAFSAH BINTE ABDULLAH,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CEDAR PRIMARY SCHOOL,http://www.cedarpri.moe.edu.sg,15 CEDAR AVENUE   ,349700,62885633,na,62830113,na,cedar_ps@moe.edu.sg,Potong Pasir MRT Station,"8, 61, 64, 65, 66, 66A, 90, 90A, 100, 135, 151, 154, 155",MR CHRIS CHUA,MS CHOONG PEI CHIN,MISS LEONG MEI YAN AMELIA,MR NG CHU SIU,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHANGKAT PRIMARY SCHOOL,http://www.changkatpri.moe.edu.sg/,11 SIMEI ST 3   ,529896,67830923,na,67844740,na,changkat_ps@moe.edu.sg,Simei MRT Station,"9, 38, 5",MADAM RATNA KUMARI D/O R RAMACHANDRA,MRS LEE LI THENG,MADAM SITI NAZRAH BTE ABDUL RAHMAN,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ (KATONG) PRIMARY,http://chijkcp.moe.edu.sg/,17 MARTIA ROAD   ,424821,63443072,na,63459007,na,chijktps@moe.edu.sg,"MARINE PARADE, EUNOS, PAYA LEBAR","15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",MADAM MISCHA LEIGH PEREIRA,MADAM TAN POH KUAN JOYCELYN,MISS SHARON NG YE CHIN,MR ONG HENG KIONG (KONG QINGQIANG),na,na,na,BEDOK,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ (KELLOCK),http://www.chijkellock.moe.edu.sg/,1 Bukit Teresa Road   ,99757,62730096,na,62731710,na,chijks@moe.edu.sg,Outram Park Station,"61, 124, 143, 166",MRS SHANTHI SURAJ NAIR,MADAM YUE  SHARON,MISS VALERIE JOAN BAPTIST,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ OUR LADY OF GOOD COUNSEL,http://www.chijourladyofgoodcounsel.moe.edu.sg,2C Burghley Drive   ,558979,62886930,na,62814132,na,chijolgcs@moe.edu.sg,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135, 136 from Ang Mo Kio Interchange.",MISS TAN LEE YIN GRACE,MISS LIAT MEI KUEN GERALDINE SHARON,MRS WONG- LIM ENG LING ANGELINA,na,na,na,na,SERANGOON,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ OUR LADY OF THE NATIVITY,http://www.chijourladyofthenativity.moe.edu.sg/,1257 UPPER SERANGOON ROAD   ,534793,63852455,na,63852012,na,chijoln@moe.edu.sg,Hougang MRT,"74, 102, 112, 113, 119, 136, 147, 324, 672",MS ALBUQUERQUE KAREN ANNE,MADAM WONG YEN LING,MISS LUM CINDY,MRS TAN-YEO WEE PIN,na,na,na,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ OUR LADY QUEEN OF PEACE,http://www.chijourladyqueenofpeace.moe.edu.sg/,4 Chestnut Drive   ,679287,67691529,na,67653551,na,chijolqp@moe.edu.sg,Cashew and Hillview,"180, 67, 171, 176, 177, 178, 184, 961, 963, 970",MS PHAM HONG LIEN PHYLLIS G.,MADAM ADELINE CHONG NGOR YIM,MADAM SNG POH GEOK,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHIJ PRIMARY (TOA PAYOH),http://www.chijpritoapayoh.moe.edu.sg,628 Lorong 1 Toa Payoh   ,319765,63532164,na,63536362,na,chijtpps@moe.edu.sg,Toa Payoh,"59, 231, 141",MADAM CHUA SOOK LIAN JUDINA,MRS MELISSA YAP,MISS IMELDA JOY TAN PEK THIAN,MADAM YVONNE LIM BUAY HUANG (LIN MEIFANG),na,na,na,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHONGFU SCHOOL,http://www.chongfu.moe.edu.sg/,170 YISHUN AVENUE 6   ,768959,67585527,na,62579571,na,cfs@moe.edu.sg,Yishun MRT station,Feeder Service 811,MR TAN KING MING,MISS LEA SHU HUI,MISS CHOI PEI LING,na,na,na,na,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHONGZHENG PRIMARY SCHOOL,http://www.chongzhengpri.moe.edu.sg,1 TAMPINES STREET 21   ,529392,67819002,na,67845054,na,czps@moe.edu.sg,"Tampines MRT Station, Tampines East MRT Station","3, 3A, 8, 17, 18, 20, 28, 34, 39, 59, 518",MR LIM WEE JAMES,MADAM RANJIT KAUR D/O MUKHTAR SINGH,MISS LIAW SHAOJUN,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CHUA CHU KANG PRIMARY SCHOOL,http://www.chuachukangpri.moe.edu.sg,20 CHOA CHU KANG AVENUE 2   ,689905,67661574,na,67661583,na,cckps@moe.edu.sg,"Choa Chu Kang MRT Station and, Southview LRT Station","Bus Service 300, 301 and NR3 along Chua Chu Kang Ave 2, Bus Service 172, 301, 991 along Chua Chu Kang Ave 1",MR QUEK SWEE NEE,MADAM CHEW BOON HWEE,MADAM CHUA MUI LING,MADAM PUSPHAALATHA D/O AYAVOO,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CLEMENTI PRIMARY SCHOOL,http://www.clementipri.moe.edu.sg,8 CLEMENTI AVE 3   ,129903,67797449,na,67732898,na,admin_clementi_ps@moe.edu.sg,Clementi MRT Station,We are just beside Clementi Bus Interchange.,MR VIMALENTHIRAN S/O VIJAYASINGAM,MADAM KHOO HENG OI CATHERINE,MADAM LOW TAN YING,MR LEE ENG LOO,na,na,na,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
COMPASSVALE PRIMARY SCHOOL,http://www.compassvalepri.moe.edu.sg/,21 COMPASSVALE ST   ,545091,63882819,na,63882798,na,cvps@moe.edu.sg,Sengkang,"83 (along Compassvale Street), 27, 89, 89E & 965 (along Compassvale Road).",MR VINCENT LEE WEI YEE,MRS MARIA KOH,MR CHIN WENG KIT KELVIN,MR KHOU BENG CHEW,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CONCORD PRIMARY SCHOOL,http://www.concordpri.moe.edu.sg/,3 CHOA CHU KANG AVE 4   ,689814,67632139,na,67632452,na,concord_ps@moe.edu.sg,Choa Chu Kang MRT Station,Bus 300 and 983,MDM CHUA LENG YIN,MADAM GOH PUAY HOON JENNY,MADAM SALBIAH BTE ABAS,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
CORPORATION PRIMARY SCHOOL,http://www.corporationpri.moe.edu.sg,31 JURONG WEST STREET 24   ,648347,67957381,na,67957098,na,cps@moe.edu.sg,"BOON LAY STATION, LAKESIDE STATION","157 (from Boon Lay Interchange), or 185",MR MUHAMMAD FADYLLA B RASHIMAN,MDM GOH MUI EE,MADAM NG SEOW WEI JOSEPHINE,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
DAMAI PRIMARY SCHOOL,http://www.damaipri.moe.edu.sg,52 BEDOK RESERVOIR CRESCENT   ,479226,64456483,na,64499681,na,damai_ps@moe.edu.sg,Bedok North MRT Station,"Bus 228, 66, 65, 22, 21, 5 and 506",MRS LEONG- TAN LING LING JENNY,MADAM LIM PECK CHIN YENLYN,MR MOHAMED JURAIMI BIN ABDUL MUHIN,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
DAZHONG PRIMARY SCHOOL,http://www.dazhongpri.moe.edu.sg,35 BUKIT BATOK STREET 31   ,659441,65658002,na,65636421,na,dazhong_ps@moe.edu.sg,Bukit Gombak,"187, 188",MR CHRIS LOH KAI MUN,MR KOH KAH HOCK,MRS LIM SEOW KHIM MRS BOEY- LIM SEOW KHIM,MDM NUR JANNAH BTE JURI,MISS TAN HUI YAH,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
DE LA SALLE SCHOOL,http://www.delasalle.moe.edu.sg,11 Choa Chu Kang St 52   ,689285,67667675,na,67622075,na,dlss@moe.edu.sg,YEW TEE MRT,"TIBS 302, 979",MADAM CHERYL CHOO SHUEH-LI,MISS CECILIA TAN LI HUA,MISS LIU JIAZHEN ADELINE,MR ONG SWEE HUAT ANDREW,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
EAST SPRING PRIMARY SCHOOL,http://www.eastspringpri.moe.edu.sg,31 TAMPINES ST 33   ,529258,67866192,na,67866649,na,esps@moe.edu.sg,Tampines,"291, 28, 18",MADAM NEO LAY WAH,MADAM FAZILAH MARICAR D/O MD ALI M,MS NG HUI ENG,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
EDGEFIELD PRIMARY SCHOOL,http://www.edgefieldpri.moe.edu.sg,41 EDGEFIELD PLAINS   ,828869,63126091,na,63126093,na,edgefield_ps@moe.edu.sg,Punggol MRT,"3, 34, 62, 82, 83, 136",MADAM RABIATHUL BAZRIYA D/O ABU BAKAR,MR YAP LIH MIN SAMUEL,MS TAN PEY SAN,TEH CHONG ANN,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ELIAS PARK PRIMARY SCHOOL,http://www.eliasparkpri.moe.edu.sg,11 PASIR RIS STREET 52   ,518866,65844393,na,65844392,na,epps@moe.edu.sg,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",MADAM NURAZIAN BINTE BAJURI,MR HO FU CHEW,PEH BEE KUAN,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ENDEAVOUR PRIMARY SCHOOL,https://endeavourpri.moe.edu.sg/,10 Admiralty Link   ,757521,64824650,64824835,64824670,na,endeavour_ps@moe.edu.sg,Sembawang MRT Station,"859, 962",MR KOH KIAN SENG THOMAS,MISS FAUZIAH DAUD,MISS CELESTE LOH SHI MIN,MISS LEE SWEE HOON JOYCE,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
EVERGREEN PRIMARY SCHOOL,http://www.evergreenpri.moe.edu.sg/,31 WOODLANDS CIRCLE   ,738908,63687705,na,63688084,na,evergreen_ps@moe.edu.sg,Admiralty,"913(front), 911 & 858(back)",MR JEFFREY AW,MR BOH CHUAN XIANG,MADAM ONG HWEE LENG,MR CHENG YOU NENG,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FAIRFIELD METHODIST SCHOOL (PRIMARY),http://www.fmsp.moe.edu.sg/,100 DOVER ROAD   ,139648,67788431,na,67762948,na,fmsp@moe.edu.sg,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14, 33, 74, 166 & 196",MADAM WONG MEI FOONG,MADAM QUEK TSUI LAN PRISCA,MR KNG WEE BENG,MR BOH HONG JIK,na,na,na,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FARRER PARK PRIMARY SCHOOL,http://www.farrerparkpri.moe.edu.sg,2 FARRER PARK ROAD   ,217567,62952272,na,62942272,na,fpps@moe.edu.sg,Farrer Park MRT Station,131,"MR YAP SWEE BENG, DENNIS",MADAM RAHIMA BTE ABDUL RAHMAN,MS JANICE BEH,MR YONG WEI LEONG,na,na,na,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FENGSHAN PRIMARY SCHOOL,http://www.fengshanpri.moe.edu.sg,307 BEDOK NORTH ROAD   ,469680,65860123,na,65860122,na,fsps@moe.edu.sg,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",MISS WONG LIANG- JI TABITHA,MADAM LAI KAI CHING,MISS SHAMILAH,MS SIEW GEOK LING (SHAO YULING),na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
FERN GREEN PRIMARY SCHOOL,www.ferngreenpri.moe.edu.sg,70 Fernvale Link   Fern Green Primary School,797538,68343100,na,68343116,na,ferngreen_ps@moe.edu.sg,Kupang LRT Station (SW3),"85, 102",MS KONG YEE LOON,MADAM KYLICIA SOO GEOK LING,MISS CHOW CHIA MIN AGNES,"MADAM QUEK HWEE PENG, ANDREA (GUO HUIPING, ANDREA)",na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
