Назва закладу освіти,Код в ЄДЕБО,ОУО підтвердив дані,Скорочена назва,Статус,Тип закладу,Форма власності,Код КОАТУУ,Регіон,Населений пункт,Місцезнаходження (юридична адреса),Код КАТОТТГ,Населений пункт (за КАТОТТГ),Головний заклад,"Найменування органу, до сфери управління якого належить заклад освіти",Телефон,Факс,Електронна пошта,Веб-сайт,Керівник,Опорний / Філія,Сільський,Гірський,Інтернат,Ліцензовані обсяги
"Комунальний заклад ""Дніпрорудненська спеціалізована школа І-ІІІ ступенів ""Талант"" Дніпрорудненської міської ради Василівського району Запорізької області",134270,Так,"КЗ ""ДСШ І-ІІІ ст. ""Талант"" ДМР ВР ЗО",працює,спеціалізована школа,Комунальна,2310137200,Запорізька область,"Запоріжжя, Запорізька область","проспект Соборний, 164",UA23060070010154443,"Запорізька обл., м. Запоріжжя",,Виконавчий комітет Дніпрорудненської міської ради Василівського району Запорізької області,(093)6214060,,sh3_dnr@ukr.net,https://talant.eddy.school,Герасименко Людмила Іванівна,Ні,Ні,Ні,Ні,
Олексієво-Дружківська спеціальна школа №13 Донецької обласної ради,134271,Так,Олексієво-Дружківська СШ № 13 облради,призупинено,спеціальна школа,Комунальна,1411745300,Донецька область,"смт Олексієво-Дружківка, Дружківка, Донецька область","вулиця Садова, 1",UA14120030040015027,"Донецька обл., Краматорський р-н",,Департамент освіти і науки Донецької обласної державної адміністрації,(06267)52032,,internat2996@i.ua,,Колесник Людмила Вячеславівна,Ні,Ні,Ні,Ні,
"Преображенська гімназія ""Основа"" Преображенської сільської ради",134272,Так,"гімназія ""Основа""",працює,гімназія,Комунальна,2323987801,Запорізька область,"с. Преображенка, Оріхівський район, Запорізька область","вулиця Польова, 1",UA23100210010033958,"Запорізька обл., Пологівський р-н",,"Відділ освіти, культури, молоді та спорту Преображенської сільської ради Оріхівського району Запорізької області","(06141)41216, (06141)41564",,nvk@nvkosnova2017.zp.ua,http://preobr-nvk.at.ua/,Дяченко Світлана Михайлівна,Опорний заклад,Так,Ні,Ні,
"Комунальний заклад ""Михайлівська загальноосвітня школа I-II ступенів"" Михайлівської селищної ради Василівського району Запорізької області",134273,Так,"КЗ ""Михайлівська ЗОШ І-ІІ ступенів""",працює,школа,Комунальна,2323355100,Запорізька область,"смт Михайлівка, Михайлівський район, Запорізька область","вулиця Пушкіна, 129",UA23040170010073574,"Запорізька обл., Василівський р-н",,Михайлівська селищна рада Василівського району Запорізької області,(06132)2-19-70,,mihzosh-i-ii405@ukr.net,http://mihzosh.edukit.zp.ua,Шестак Оксана Русланівна,Ні,Ні,Ні,Ні,
Дяківецька гімназія Герцаївської міської ради,134274,Так,Дяківецький НВК,працює,гімназія,Комунальна,7320785002,Чернівецька область,"с. Дяківці, Герцаївський район, Чернівецька область","вулиця Центральна, 1050А",UA73060130040038355,"Чернівецька обл., Чернівецький р-н",,Герцаївська міська рада,"(03740)24154, (03740)24320",,dyakivtsinvk@i.ua,http://diakivtsinvk.ucoz.com,Костя Лілія Іллівна,Ні,Так,Ні,Ні,
Комунальний заклад «Таганчанський ліцей» Степанецької сільської ради Черкаської області,134275,Так,КЗ «Таганчанський ліцей»,працює,школа,Комунальна,7122088201,Черкаська область,"с. Таганча, Канівський район, Черкаська область","вулиця Центральна, 46",UA71080410190088365,"Черкаська обл., Черкаський р-н",,"Відділ освіти, молоді та спорту Степанецької сільської ради об`єднаної територіальної громади Черкаської області",(04736)96107,,cz_tagansha@ukr.net,http://tagan.licey.org.ua/,Прудка Вікторія Вікторівна,Ні,Так,Ні,Ні,
Покровський заклад загальної середньої освіти Токмацької міської ради,134276,Так,Покровський ЗЗСО ТМР,працює,навчально-виховний комплекс (об'єднання),Комунальна,2310136900,Запорізька область,"Запоріжжя, Запорізька область","вулиця Фанатська, 10",UA23060070010228148,"Запорізька обл., м. Запоріжжя",,Відділ освіти Токмацької міської ради,(068)9602100,,skolapokrovske503@gmail.com,https://pzzso.e-schools.info,Антипенко Оксана Володимирівна,Ні,Так,Ні,Ні,
Криничанський ліцей № 1 Криничанської селищної ради Дніпропетровської області,134277,Так,Криничанський ліцей № 1,працює,ліцей,Комунальна,1222055100,Дніпропетровська область,"смт Кринички, Криничанський район, Дніпропетровська область","вулиця Героїв Чорнобиля, 33",UA12040170010014478,"Дніпропетровська обл., Кам’янський р-н",,"Відділ освіти, культури, молоді та спорту Криничанської селищної ради",(056)5491386,,krinichanska.sgs@gmail.com,http://schoolkrin1.klasna.com/,Бородай Валентина Дмитрівна,Ні,Ні,Ні,Ні,
Верхньоторгаївська гімназія Нижньосірогозької селищної ради Херсонської області,134278,Так,Верхньоторгаївська гімназія,працює,школа,Комунальна,6523881501,Херсонська область,"с. Верхні Торгаї, Нижньосірогозький район, Херсонська область","вулиця Східна, 32",UA65040050070071961,"Херсонська обл., Генічеський р-н",,"Відділ освіти, культури, молоді та спорту Нижньосірогозької селищної ради Херсонської області",(05540)4-31-40,,verhnietorgai@ukr.net,verkhni-torgai-zosh.ks.sch.in.ua,Камінська Лідія Яківна,Ні,Так,Ні,Ні,
"заклад загальної середньої освіти ""Володимирська гімназія №3 Володимирської міської ради""",134279,Так,Гімназія № 3,працює,гімназія,Комунальна,0710200000,Волинська область,"Володимир-Волинський, Волинська область","вулиця Ковельська, 111",UA07020010010041660,"Волинська обл., Володимирський р-н",,Управління з гуманітарних питань виконовчого комітету Володимирської міської ради,"(03342)35207, (03342)35529",,vvschool3@gmail.com,https://sites.google.com/view/nvk3vv,Матвейчук Анатолій Степанович,Ні,Ні,Ні,Ні,
Антонівська гімназія №21 Херсонської міської ради,134280,Так,Антонівська гімназія № 21,працює,гімназія,Комунальна,6510165300,Херсонська область,"смт Антонівка, Херсон, Херсонська область","вулиця Центральна, 2",UA65100150020050619,"Херсонська обл., Херсонський р-н",,Управління освіти Херсонської міської ради,(066)0436269,,antonivskagimnaziya21ks@gmail.com,,Юрченко Анна Вікторівна,Ні,Ні,Ні,Ні,60
Куликівська гімназія Герцаївської міської ради,134281,Так,Куликівська гімназія,працює,гімназія,Комунальна,7320782501,Чернівецька область,"с. Куликівка, Герцаївський район, Чернівецька область","вулиця Ємінеску, 1",UA73060130050080939,"Чернівецька обл., Чернівецький р-н",,Герцаївська міська рада,(03740)40338,,kulykivkazoch@i.ua,https://sites.google.com/site/kulikivkanvk/,Тодерян Анжеліка Іванівна,Ні,Так,Ні,Ні,
"Первомайський ліцей ""Ерудит"" Первомайської міської ради Миколаївської області",134282,Так,"Первомайський ліцей ""Ерудит""",працює,ліцей,Комунальна,4810400000,Миколаївська область,"Первомайськ, Миколаївська область","вулиця О.Коротченка, 18-В",UA48080130010068596,Миколаївська обл.,,Управління освіти Первомайської міської ради,(05161)74548,,NVK-15@i.ua,http://nvk15.com.ua,Пташинська Наталія Володимирівна,Ні,Ні,Ні,Ні,
Тополинська гімназія Малобілозерської сільської ради Василівського районуЗапорізької області,134283,Так,Тополинська гімназія МСР ВР ЗО,призупинено,гімназія,Комунальна,2320984403,Запорізька область,"с. Тополине, Василівський район, Запорізька область","вулиця Гагаріна, 47",UA23040150060043028,"Запорізька обл., Василівський р-н",,Малобілозерська сільська рада Василівського району Запорізької області,(06175)52114,,topschool77@ukr.net,http://topolinoe.blogspot.com,Кузьменко Оксана Вікторівна,Ні,Так,Ні,Ні,
Підставківський навчально-виховний комплекс «загальноосвітня школа І ступеня - дошкільний навчальний заклад» філія Гельмязівського опорного закладу загальної середньої освіти І-ІІІ ступенів Гельмязівської сільської ради Золотоніського району Черкаської області,134284,Так,Підставківський НВК І ст. філія,працює,початкова школа,Комунальна,7121588601,Черкаська область,"с. Підставки, Золотоніський район, Черкаська область","вулиця Центральна, 12",UA71040050080071972,"Черкаська обл., Золотоніський р-н",Гельмязівський опорний заклад загальної середньої освіти І-ІІІ ступенів Гельмязівської сільської ради Золотоніського району Черкаської області,Відділ освіти виконавчого комітету Гельмязівської сільської ради Золотоніського району Черкаської області,(093)389-7706,,p.school1915@gmail.com,https://sites.google.com/view/pidstschool1915/,Савенко Тамара Дмитрівна,Філія,Так,Ні,Ні,25
Троїцький ліцей Троїцької сільської ради Павлоградського району Дніпропетровської області,134285,Так,Троїцький ліцей,працює,ліцей,Комунальна,1223587501,Дніпропетровська область,"с. Троїцьке, Павлоградський район, Дніпропетровська область","вулиця Центральна, 110а",UA12120110010078238,"Дніпропетровська обл., Павлоградський р-н",,Виконавчий комітет Троїцької сільської ради Павлоградського району Дніпропетровської області,(05632)54792,,troizkoje@ukr.net,http://tss.pp.ua/,Мачула Євгеній Анатолійович,Ні,Так,Ні,Ні,600
"Комунальний заклад ""Опорний заклад освіти Малоданилівський ліцей"" Малоданилівської селищної ради Харківського району Харківської області",134286,Так,"КЗ ""Опорний заклад освіти Малоданилівський ліцей""",працює,ліцей,Комунальна,6322055900,Харківська область,"смт Мала Данилівка, Дергачівський район, Харківська область","вулиця Ювілейна, 3",UA63120130010037422,"Харківська обл., Харківський р-н",,Малоданилівська селищна рада,(05763)57123,,mdlicei@ukr.net,http://md.edu.kh.ua,Катасонова Світлана Пилипівна,Опорний заклад,Ні,Ні,Ні,
Селищенський ліцей Селищенської сільської ради Черкаської області,134287,Так,Селищенський ліцей,працює,ліцей,Комунальна,7122587601,Черкаська область,"с. Селище, Корсунь-Шевченківський район, Черкаська область","вулиця Центральна, 40",UA71020250010017952,"Черкаська обл., Звенигородський р-н",,"Сектор освіти, культури, молоді, спорту та інформаційної політики Селищенської сільської ради",(097)8450573,,skhola2.seleshe@ukr.net,http://selysche-nvk.ck.sch.in.ua,Назаренко Тамара Анатоліївна,Ні,Так,Ні,Ні,
"Лисогірська гімназія ""Мрія"" Біленьківської сільської ради Запорізького району Запорізької області",134288,Так,"Лисогірська гімназія ""Мрія"" БСР ЗРЗО",працює,гімназія,Комунальна,2322184901,Запорізька область,"с. Лисогірка, Запорізький район, Запорізька область","вулиця 8 Березня, 15 Б",UA23060010040025696,"Запорізька обл., Запорізький р-н",,"Відділ освіти, молоді та спорту Біленьківської сільської ради Запорізького району Запорізької області",(061)2875625,,lnvk25@ukr.net,https://sites.google.com/view/lnvk/,Петік Юлія Олександрівна,Ні,Так,Ні,Ні,
"КОМУНАЛЬНИЙ ЗАКЛАД ""ЛІЦЕЙ №6 ПОКРОВСЬКОЇ МІСЬКОЇ РАДИ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ""",134289,Так,"КЗ ""ЛІЦЕЙ №6""",працює,ліцей,Комунальна,1212100000,Дніпропетровська область,"Покров, Дніпропетровська область","вулиця Чіатурська, 6",UA12080090010010311,Дніпропетровська обл.,,Управління освіти виконавчого комітету Покровської міської ради,(066)415-18-91,,schola_6@ukr.net,https://school6pokrov.wixsite.com/school6,Бондаренко Ірина Володимирівна,Ні,Ні,Ні,Ні,
"Комунальний заклад освіти ""Марганецький навчально-реабілітаційний центр"" Дніпропетровської обласної ради""",134290,Так,"КЗО ""Марганецький НРЦ"" ДОР",працює,навчально-реабілітаційний центр,Комунальна,1211300000,Дніпропетровська область,"Марганець, Дніпропетровська область","вулиця Поетична, 5",UA12080010010085669,Дніпропетровська обл.,,Департамент освіти і науки Дніпропетровської обласної державної адміністрації,(05665)22320,,msoshi@ukr.net,bnrc.edukits.dp.ua,Кострикіна Валентина Василівна,Ні,Ні,Ні,Ні,
"Комунальний заклад ""Вербівська гімназія Кам’янської міської ради Черкаської області""",134291,Так,Вербівська загальноосвітня школа І-ІІІ ступенів,ліквідовано,гімназія,Комунальна,7121881001,Черкаська область,"с. Вербівка, Кам'янський район, Черкаська область","вулиця Центральна, 29",UA71080130030048141,"Черкаська обл., Черкаський р-н",,"Відділ освіти, культури, молоді та спорту виконавчого комітету Кам'янської міської ради",(04732)99640,,verbschool@ukr.net,www.verbivka-kam.edukit.ck.ua,Парій Наталія Василівна,Ні,Так,Ні,Ні,
Святогірська загальноосвітня санаторна школа-інтернат I-II ступенів №12 Донецької обласної ради,134292,Так,Святогірська ЗСШІ №12 облради,призупинено,санаторна школа-інтернат,Комунальна,1414170500,Донецька область,"Святогірськ, Слов'янськ, Донецька область","вулиця Лісна, 16",UA14120190010047280,"Донецька обл., Краматорський р-н",,Департамент освіти і науки Донецької обласної державної адміністрації,(06262)53341,,svatint@ukr.net,http://sanschool.dn.ua,Шверова Марина Іванівна,Ні,Ні,Ні,Так,
Маріупольська загальноосвітня школа-інтернат І-ІІ ступенів №2 Донецької обласної ради,134293,Так,Маріупольскька ЗОШІ № 2 обласної ради,працює,школа-інтернат,Комунальна,1412336900,Донецька область,"Маріуполь, Донецька область","вулиця Азовстальська, 150",UA14140050010258579,"Донецька обл., м. Маріуполь",,Департамент освіти і науки Донецької обласної державної адміністрації,(0629)582910,,detimariup150@ukr.net,https://detimariup1503.wixsite.com/marzoshi2,Климович Людмила Аркадіївна,Ні,Ні,Ні,Так,
"Комунальний заклад ""Тимошівська загальноосвітня школа I-III ступенів"" Михайлівської селищної ради Василівського району Запорізької області",134294,Так,"КЗ ""Тимошівська ЗОШ І-ІІІ ступенів""",працює,школа,Комунальна,2323388801,Запорізька область,"с. Тимошівка, Михайлівський район, Запорізька область","вулиця Пушкіна, 57",UA23040170120046462,"Запорізька обл., Василівський р-н",,Михайлівська селищна рада Василівського району Запорізької області,(06132)25668,,tim_school@ukr.net,http://timschool.zp.ua,Гутнік Лариса Анатоліївна,Ні,Так,Ні,Ні,
"Таврійська гімназія ""Перспектива"" Таврійської сільської ради",134295,Так,"Таврійська гімназія ""Перспектива""",працює,гімназія,Комунальна,2323981501,Запорізька область,"с. Таврійське, Оріхівський район, Запорізька область","вулиця Запорізька, 128",UA23060290010040829,"Запорізька обл., Запорізький р-н",,"Відділ освіти, культури, молоді та спорту Таврійської сільської ради Запорізького району Запорізької області",(06141)47331,,perspektiva@tavriyaschool.zp.ua,,Касьян Інна Василівна,Опорний заклад,Так,Ні,Ні,
Криворізька початкова школа №99 Криворізької міської ради,134296,Так,Криворізька початкова школа №99,працює,початкова школа,Комунальна,1211036900,Дніпропетровська область,"Кривий Ріг, Дніпропетровська область","вулиця Генерала Безручка, 41а",UA12060170010270453,"Дніпропетровська обл., м. Кривий Ріг",,Відділ освіти виконкому Інгулецької районної у місті ради,(0974)941170,,school99@ukr.net,http://sites.google.com/view/elementary-school-99,Булгакова Наталя Юріївна,Ні,Ні,Ні,Ні,781
Заклад загальної середньої освіти №4 Токмацької міської ради,134297,Так,ЗЗСО №4,призупинено,школа,Комунальна,2311000000,Запорізька область,"Токмак, Запорізька область","вулиця Серьогіна, 2",UA23100270010029314,Запорізька обл.,,Відділ освіти Токмацької міської ради,(068)8620214,,school04osvita.tokmak@gmail.com,http://4shkola.com/,Бобринок Вікторія Анатоліївна,Ні,Ні,Ні,Ні,
"Комунальний заклад ""Лузанівська гімназія Кам'янської міської ради Черкаської області""",134298,Так,Лузанівська загальноосвітня школа,ліквідовано,гімназія,Комунальна,7121883501,Черкаська область,"с. Лузанівка, Кам'янський район, Черкаська область","вулиця Центральна, 11",UA71080130090033550,"Черкаська обл., Черкаський р-н",,"Відділ освіти, культури, молоді та спорту виконавчого комітету Кам'янської міської ради",(04732)96940,,lussv@ukr.net,http://luzanivka.edukit.ck.ua,Музика Альона Костянтинівна,Ні,Так,Ні,Ні,
"Комунальний заклад ""Лебедівська початкова школа Кам'янської міської ради Черкаської області """,134299,Так,Лебедівська початкова школа,працює,початкова школа,Комунальна,7121882801,Черкаська область,"с. Лебедівка, Кам'янський район, Черкаська область","вулиця Чайковського, 4",UA71080130080067128,"Черкаська обл., Черкаський р-н",,"Відділ освіти, культури, молоді та спорту виконавчого комітету Кам'янської міської ради",(04723)93740,,lebedivkaschool@ukr.net,http://lebedivka-nvk.ck.sch.in.ua/,Запісочний Олександр Гарійович,Ні,Так,Ні,Ні,35
"Приморська гімназія ""Крок"" Степногірської селищної ради Василівського району Запорізької області",134300,Так,"Приморська гімназія ""Крок"" ССР ВР ЗО",працює,гімназія,Комунальна,2320985501,Запорізька область,"с. Приморське, Василівський район, Запорізька область","вулиця Весела, 66",UA23040210070080545,"Запорізька обл., Василівський р-н",,Степногірська селищна рада Василівського району Запорізької області,(0617)556486,,Primorskyinvk@gmail.com,http://primschool1.wixsite.com/primorskyi-nvk,Божко Володимир Іванович,Ні,Так,Ні,Ні,
"Біленьківський ліцей ""Лідер"" Біленьківської сільської ради Запорізького району Запорізької області",134301,Так,"Біленьківський ліцей ""Лідер"" БСР ЗРЗО",працює,ліцей,Комунальна,2322180801,Запорізька область,"с. Біленьке, Запорізький район, Запорізька область","вулиця Шкільна, 5",UA23060010010065997,"Запорізька обл., Запорізький р-н",,"Відділ освіти, молоді та спорту Біленьківської сільської ради Запорізького району Запорізької області",(061)2873160,,bilenkivskazsh@ukr.net,http://schollbilenke.blogspot.com,Ємець Наталія Миколаївна,Ні,Так,Ні,Ні,
"Опорний заклад ""Лисянський ліцей №1"" Лисянської селищної ради Черкаської області",134302,Так,Лисянський ліцей №1,працює,ліцей,Комунальна,7122855100,Черкаська область,"смт Лисянка, Лисянський район, Черкаська область","вулиця Гетьманський шлях, 13",UA71020190010039509,"Черкаська обл., Звенигородський р-н",,Відділ освіти Лисянської селищної ради,(04749)62393,,Lys_school1@ukr.net,https://lys-school1.e-schools.info/,Мельничук Володимир Миколайович,Опорний заклад,Ні,Ні,Ні,
"Комунальний заклад ""Клугино-Башкирівський ліцей"" Чугуївської міської ради Харківської області",134303,Так,Клугино-Башкирівський ліцей,працює,школа,Комунальна,6312000000,Харківська область,"Чугуїв, Харківська область","вулиця Горішного, 121А",UA63140170010036104,Харківська обл.,,Управління освіти Чугуївської міської ради,(05746)2-54-86,,kz_kbl@ukr.net,klb-school.edu.kh.ua,Сладких Діна Володимирівна,Ні,Ні,Ні,Ні,
Коропецький ліцей ім. М. Каганця Коропецької селищної ради,134304,Так,Коропецький ліцей ім. М. Каганця,працює,школа,Комунальна,6124255500,Тернопільська область,"смт Коропець, Монастириський район, Тернопільська область","вулиця М.Каганця, 28",UA61060270010053491,"Тернопільська обл., Чортківський р-н",,"Відділ освіти, культури, молоді та спорту Коропецької селищної ради",(067)7109755,,sc-koropec@ukr.net,https://koropetsschool.e-schools.info,Лукасевич Віра Михайлівна,Опорний заклад,Ні,Ні,Ні,
Великомихайлівський ліцей Великомихайлівської сільської ради Синельниківського району Дніпропетровської області,134305,Так,Великомихайлівський ліцей,працює,ліцей,Комунальна,1224283401,Дніпропетровська область,"с. Великомихайлівка, Покровський район, Дніпропетровська область","вулиця Шевченка, 5",UA12140050010042898,"Дніпропетровська обл., Синельниківський р-н",,Виконавчий комітет Великомихайлівської сільської ради,"(05638)53341, (050)7541087",,vmihailschool@ukr.net,http://velykomykhailivka-pokrov.edukit.dp.ua,Казарян Ярослава Ігорівна,Ні,Так,Ні,Ні,
"Мар'ївська гімназія ""Оберіг"" Біленьківської сільської ради Запорізького району Запорізької області",134306,Так,"Мар'ївська гімназія ""Оберіг"" БСР ЗРЗО",працює,гімназія,Комунальна,2322185701,Запорізька область,"с. Мар'ївка, Запорізький район, Запорізька область","вулиця Шкільна, 14",UA23060010050014795,"Запорізька обл., Запорізький р-н",,"Відділ освіти, молоді та спорту Біленьківської сільської ради Запорізького району Запорізької області",(061)287-51-27,,mnvk07@ukr.net,http://schoolmarievka.at.ua,Петрук Олена Анатоліївна,Ні,Так,Ні,Ні,
Шаргородська гімназія Шаргородської міської ради Жмеринського району Вінницької області,134307,Так,Шаргородська гімназія,працює,гімназія,Комунальна,0525310100,Вінницька область,"Шаргород, Шаргородський район, Вінницька область","вулиця Героїв Майдану, 373",UA05060150010066273,"Вінницька обл., Жмеринський р-н",,Відділ освіти і спорту Шаргородської міської ради,(04344)25416,,shargorod-shkola2@ukr.net,http://shargorod-zosh2.vn.sch.in.ua,Кушнір Оксана Петрівна,Ні,Ні,Ні,Ні,
"Комунальний заклад ""Чугуївський ліцей №5"" Чугуївської міської ради Харківської області",134308,Так,"КЗ ""Чугуївський ліцей №5""",працює,школа,Комунальна,6312000000,Харківська область,"Чугуїв, Харківська область","площа Уланська, 1-А",UA63140170010036104,Харківська обл.,,Управління освіти Чугуївської міської ради,(05746)2-27-73,,chuguiv_lisej5@ukr.net,chuguiv-gymnasium5.edu.kh.ua,Фірсов Ігор Васильович,Ні,Ні,Ні,Ні,
Ордо-Василівська гімназія Девладівської сільської ради Дніпропетровської області,134309,Так,Ордо-Василівська гімназія,працює,школа,Комунальна,1225286601,Дніпропетровська область,"с. Ордо-Василівка, Софіївський район, Дніпропетровська область","вулиця Весняна, 56",UA12060110260021702,"Дніпропетровська обл., Криворізький р-н",,"Відділ освіти, молоді та спорту Девладівської сільської ради",(056)502-54-47,,ordovka_school@ukr.net,http://ordovka2011.klasna.com,Черничко Антоніна Володимирівна,Ні,Так,Ні,Ні,
Жовтневий заклад загальної середньої освіти I-II ступенів Кам'яномостівської сільської ради Первомайського району Миколаївської області,134310,Так,Жовтневий ЗЗСО І - ІІ ступенів,ліквідовано,школа,Комунальна,4825487002,Миколаївська область,"с. Зоряне, Первомайський район, Миколаївська область","вулиця Центральна, 1",UA48080070030074016,"Миколаївська обл., Первомайський р-н",,"Відділ освіти, культури, молоді та спорту Кам'яномостівської селищної ради",(098)8442303,,govtnevazov@ukr.net,http://zorn.raiosvita.mk.ua,Пономаренко Лариса Віталіївна,Ні,Так,Ні,Ні,
