"code","name","academy","address","email","phone","student_count","public","url"
"0010803T","Ecole primaire Louis Parant","Lyon","10 rue des Blanchisseries, 01000 BOURG EN BRESSE","ce.0010803T@ac-lyon.fr","0474424730","236","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0010803t/ecole-primaire-louis-parant.html"
"0010270n","Ecole primaire privée Notre-Dame","Lyon","8 rue de Varenne, 01000 BOURG EN BRESSE","ce.0010270n@ac-lyon.fr","0474236736","333","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0010270n/ecole-primaire-privee-notre-dame.html"
"0011289w","Ecole primaire privée Saint Louis-Saint Vincent","Lyon","2 ter rue Cabuchet, 01000 BOURG EN BRESSE","ce.0011289w@ac-lyon.fr","0474503838","350","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0011289w/ecole-primaire-privee-saint-louis-saint-vincent.html"
"0011369H","Ecole primaire publique Alphonse Daudet","Lyon","23 rue de la Croix-Blanche, 01000 BOURG EN BRESSE","ce.0011369H@ac-lyon.fr","0474453693","269","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0011369h/ecole-primaire-publique-alphonse-daudet.html"
"0011367F","Ecole primaire publique l'Alagnier","Lyon","3 rue de l'Alagnier, 01000 BOURG EN BRESSE","ce.0011367F@ac-lyon.fr","0474453791","138","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0011367f/ecole-primaire-publique-l-alagnier.html"
"0010986S","Ecole primaire Saint-Exupéry","Lyon","9 rue Louis Blériot, 01000 BOURG EN BRESSE","ce.0010986S@ac-lyon.fr","0474554500","238","true","https://www.education.gouv.fr/annuaire/01000/bourg-en-bresse/ecole/0010986s/ecole-primaire-saint-exupery.html"
"0011090E","Ecole primaire Village","Lyon","Rue des Ecoles, 01000 ST DENIS LES BOURG","ce.0011090E@ac-lyon.fr","0474242482","310","true","https://www.education.gouv.fr/annuaire/01000/saint-denis-les-bourg/ecole/0011090e/ecole-primaire-village.html"
"0011114F","Ecole élémentaire","Lyon","Rue des Jardiniers, 01090 MONTMERLE SUR SAONE","ce.0011114F@ac-lyon.fr","0474693610","205","true","https://www.education.gouv.fr/annuaire/01090/montmerle-sur-saone/ecole/0011114f/ecole-elementaire.html"
"0011115G","Ecole maternelle","Lyon","Rue des Jardiniers, 01090 MONTMERLE SUR SAONE","ce.0011115G@ac-lyon.fr","0474694384","97","true","https://www.education.gouv.fr/annuaire/01090/montmerle-sur-saone/ecole/0011115g/ecole-maternelle.html"
"0011219V","Ecole primaire","Lyon","Place de la mairie, 01090 FRANCHELEINS","ce.0011219V@ac-lyon.fr","0474694396","166","true","https://www.education.gouv.fr/annuaire/01090/francheleins/ecole/0011219v/ecole-primaire.html"
"0010344U","Ecole primaire","Lyon","Place de l'Eglise, 01090 GUEREINS","ce.0010344U@ac-lyon.fr","0474660609","98","true","https://www.education.gouv.fr/annuaire/01090/guereins/ecole/0010344u/ecole-primaire.html"
"0010832z","Ecole primaire privée","Lyon","Rue des Charmes, 01090 GUEREINS","ce.0010832z@ac-lyon.fr","0474664394","57","true","https://www.education.gouv.fr/annuaire/01090/guereins/ecole/0010832z/ecole-primaire-privee.html"
"0010843l","Ecole primaire privée Saint Joseph","Lyon","13 rue de Châtillon, 01090 MONTMERLE SUR SAONE","ce.0010843l@ac-lyon.fr","0474693253","154","true","https://www.education.gouv.fr/annuaire/01090/montmerle-sur-saone/ecole/0010843l/ecole-primaire-privee-saint-joseph.html"
"0010160U","Ecole élémentaire Bernard Clavel","Lyon","38 rue Général de Gaulle, 01100 ARBENT","ce.0010160U@ac-lyon.fr","0474776920","127","true","https://www.education.gouv.fr/annuaire/01100/arbent/ecole/0010160u/ecole-elementaire-bernard-clavel.html"
"0011264U","Ecole élémentaire La Forge","Lyon","49 route de la Forge, 01100 OYONNAX","ce.0011264U@ac-lyon.fr","0474773011","262","true","https://www.education.gouv.fr/annuaire/01100/oyonnax/ecole/0011264u/ecole-elementaire-la-forge.html"
"0010159T","Ecole élémentaire Le Planet","Lyon","Rue Jules Ferry, 01100 ARBENT","ce.0010159T@ac-lyon.fr","0474775105","83","true","https://www.education.gouv.fr/annuaire/01100/arbent/ecole/0010159t/ecole-elementaire-le-planet.html"
"0010922X","Ecole élémentaire Les Sources","Lyon","Rue des Ecoles, BP 104, 01100 BELLIGNAT","ce.0010922X@ac-lyon.fr","0474772583","134","true","https://www.education.gouv.fr/annuaire/01100/bellignat/ecole/0010922x/ecole-elementaire-les-sources.html"
"0011026K","Ecole élémentaire Louis Armand","Lyon","42 rue Louis Armand, 01100 OYONNAX","ce.0011026K@ac-lyon.fr","0474770612","155","true","https://www.education.gouv.fr/annuaire/01100/oyonnax/ecole/0011026k/ecole-elementaire-louis-armand.html"
"0010186X","Ecole maternelle Daudet Pagnol","Lyon","8 rue Courteline, 01100 OYONNAX","ce.0010186X@ac-lyon.fr","0474772327","148","true","https://www.education.gouv.fr/annuaire/01100/oyonnax/ecole/0010186x/ecole-maternelle-daudet-pagnol.html"
"0011141K","Ecole maternelle Françoise Dolto","Lyon","Rue du Maquis, 01100 ARBENT","ce.0011141K@ac-lyon.fr","0474773803","60","true","https://www.education.gouv.fr/annuaire/01100/arbent/ecole/0011141k/ecole-maternelle-francoise-dolto.html"
"0011109A","Ecole maternelle L'Eglisette","Lyon","Rue de l'Eglisette, 01100 OYONNAX","ce.0011109A@ac-lyon.fr","0474773225","78","true","https://www.education.gouv.fr/annuaire/01100/oyonnax/ecole/0011109a/ecole-maternelle-l-eglisette.html"
"0010921W","Ecole maternelle Les Sources","Lyon","Avenue de la Gare, 01100 BELLIGNAT","ce.0010921W@ac-lyon.fr","0474770449","72","true","https://www.education.gouv.fr/annuaire/01100/bellignat/ecole/0010921w/ecole-maternelle-les-sources.html"
"0010184V","Ecole maternelle Pasteur","Lyon","6 rue Molière, 01100 OYONNAX","ce.0010184V@ac-lyon.fr","0474772252","72","true","https://www.education.gouv.fr/annuaire/01100/oyonnax/ecole/0010184v/ecole-maternelle-pasteur.html"
"0010800P","Ecole maternelle Paul Rivet","Lyon","51 boulevard Dupuy, 01100 OYONNAX","ce.0010800P@ac-lyon.fr","0474772513","86","true","https://www.education.gouv.fr/annuaire/01100/oyonnax/ecole/0010800p/ecole-maternelle-paul-rivet.html"
"0010141Y","Ecole primaire","Lyon","Rue Louis Pergaud VEYZIAT, 01100 OYONNAX","ce.0010141Y@ac-lyon.fr","0474772230","145","true","https://www.education.gouv.fr/annuaire/01100/oyonnax/ecole/0010141y/ecole-primaire.html"
"0010158S","Ecole primaire","Lyon","87 rue de Geilles GEILLES, 01100 OYONNAX","ce.0010158S@ac-lyon.fr","0474738589","66","true","https://www.education.gouv.fr/annuaire/01100/oyonnax/ecole/0010158s/ecole-primaire.html"
"0010143A","Ecole primaire","Lyon","PETIT VALLON, 01100 APREMONT","ce.0010143A@ac-lyon.fr","0474755100","33","true","https://www.education.gouv.fr/annuaire/01100/apremont/ecole/0010143a/ecole-primaire.html"
"0010171F","Ecole primaire","Lyon","NERCIAT, 01100 GROISSIAT","ce.0010171F@ac-lyon.fr","0474778387","102","true","https://www.education.gouv.fr/annuaire/01100/groissiat/ecole/0010171f/ecole-primaire.html"
"0011110B","Ecole primaire L' Eglisette","Lyon","Rue de l'Eglisette, 01100 OYONNAX","ce.0011110B@ac-lyon.fr","0474813916","141","true","https://www.education.gouv.fr/annuaire/01100/oyonnax/ecole/0011110b/ecole-primaire-l-eglisette.html"
"0010181S","Ecole primaire La Victoire","Lyon","3 RUE DE LA VICTOIRE, 01100 OYONNAX","ce.0010181S@ac-lyon.fr","0474770541","0","true","https://www.education.gouv.fr/annuaire/01100/oyonnax/ecole/0010181s/ecole-primaire-la-victoire.html"
"0010846p","Ecole primaire privée Saint Joseph","Lyon","76 rue Michelet, 01100 OYONNAX","ce.0010846p@ac-lyon.fr","0474770881","439","true","https://www.education.gouv.fr/annuaire/01100/oyonnax/ecole/0010846p/ecole-primaire-privee-saint-joseph.html"
"0010942U","Ecole élémentaire","Lyon","252 rue du Bief Chapuis HAUTEVILLE LOMPNES, 01110 PLATEAU D HAUTEVILLE","ce.0010942U@ac-lyon.fr","047353768","176","true","https://www.education.gouv.fr/annuaire/01110/plateau-d-hauteville/ecole/0010942u/ecole-elementaire.html"
"0010233Y","Ecole maternelle Centre","Lyon","Rue Masonod HAUTEVILLE LOMPNES, 01110 PLATEAU D HAUTEVILLE","ce.0010233Y@ac-lyon.fr","0474353711","92","true","https://www.education.gouv.fr/annuaire/01110/plateau-d-hauteville/ecole/0010233y/ecole-maternelle-centre.html"
"0010205T","Ecole primaire","Lyon","107 rue Pré la Belle CORMARANCHE-EN-BUGEY, 01110 PLATEAU D HAUTEVILLE","ce.0010205T@ac-lyon.fr","0474352280","69","true","https://www.education.gouv.fr/annuaire/01110/plateau-d-hauteville/ecole/0010205t/ecole-primaire.html"
"0010237C","Ecole Primaire","Lyon","Route d'Evosges, 01110 ARANC","ce.0010237C@ac-lyon.fr","0474385606","29","true","https://www.education.gouv.fr/annuaire/01110/aranc/ecole/0010237c/ecole-primaire.html"
"0010404J","Ecole primaire","Lyon","60 place de la mairie CHAMPDOR, 01110 CHAMPDOR CORCELLES","ce.0010404J@ac-lyon.fr","0474402500","51","true","https://www.education.gouv.fr/annuaire/01110/champdor-corcelles/ecole/0010404j/ecole-primaire.html"
"0010407M","Ecole primaire","Lyon","Rue du Village CORCELLES, 01110 CHAMPDOR CORCELLES","ce.0010407M@ac-lyon.fr","0977910938","14","true","https://www.education.gouv.fr/annuaire/01110/champdor-corcelles/ecole/0010407m/ecole-primaire.html"
"0010207V","Ecole primaire","Lyon","Route de l'Eglise THEZILLIEU, 01110 PLATEAU D HAUTEVILLE","ce.0010207V@ac-lyon.fr","0474375998","15","true","https://www.education.gouv.fr/annuaire/01110/plateau-d-hauteville/ecole/0010207v/ecole-primaire.html"
"0010505U","Ecole élémentaire","Lyon","277 rue Joseph Guinet, 01120 LA BOISSE","ce.0010505U@ac-lyon.fr","0478064593","228","true","https://www.education.gouv.fr/annuaire/01120/la-boisse/ecole/0010505u/ecole-elementaire.html"
"0011089D","Ecole élémentaire","Lyon","Place des Tilleuls, 01120 DAGNEUX","ce.0011089D@ac-lyon.fr","0478064309","310","true","https://www.education.gouv.fr/annuaire/01120/dagneux/ecole/0011089d/ecole-elementaire.html"
"0010278X","Ecole primaire","Lyon","Rue Mairie, 01120 THIL","ce.0010278X@ac-lyon.fr","0478065855","125","true","https://www.education.gouv.fr/annuaire/01120/thil/ecole/0010278x/ecole-primaire.html"
"0010531X","Ecole primaire","Lyon","LE BOURG, 01120 STE CROIX","ce.0010531X@ac-lyon.fr","0478066317","60","true","https://www.education.gouv.fr/annuaire/01120/sainte-croix/ecole/0010531x/ecole-primaire.html"
"0010842k","Ecole primaire privée Saint Vincent de Paul","Lyon","310 grande rue, 01120 MONTLUEL","ce.0010842k@ac-lyon.fr","0478063778","106","true","https://www.education.gouv.fr/annuaire/01120/montluel/ecole/0010842k/ecole-primaire-privee-saint-vincent-de-paul.html"
"0010507W","Ecole primaire Victor Duruy","Lyon","Rue Henri Dunant, 01120 NIEVROZ","ce.0010507W@ac-lyon.fr","0478061926","191","true","https://www.education.gouv.fr/annuaire/01120/nievroz/ecole/0010507w/ecole-primaire-victor-duruy.html"
"0010145C","Ecole élémentaire","Lyon","Village Village d'en Bas, 01130 CHARIX","ce.0010145C@ac-lyon.fr","0474755066","29","true","https://www.education.gouv.fr/annuaire/01130/charix/ecole/0010145c/ecole-elementaire.html"
"0010142Z","Ecole maternelle","Lyon","10 place d'Armes, 01130 NANTUA","ce.0010142Z@ac-lyon.fr","0474750382","71","true","https://www.education.gouv.fr/annuaire/01130/nantua/ecole/0010142z/ecole-maternelle.html"
"0010602Z","Ecole primaire","Lyon","CHEF LIEU, 01130 ST GERMAIN DE JOUX","ce.0010602Z@ac-lyon.fr","0450598311","84","true","https://www.education.gouv.fr/annuaire/01130/saint-germain-de-joux/ecole/0010602z/ecole-primaire.html"
"0011251E","Ecole primaire","Lyon","32 rue Docteur Mercier, 01130 NANTUA","ce.0011251E@ac-lyon.fr","0474751266","229","true","https://www.education.gouv.fr/annuaire/01130/nantua/ecole/0011251e/ecole-primaire.html"
"0010844m","Ecole primaire privée Sainte Thérèse","Lyon","Rue de l'Abbaye, 01130 NANTUA","ce.0010844m@ac-lyon.fr","0474750320","146","true","https://www.education.gouv.fr/annuaire/01130/nantua/ecole/0010844m/ecole-primaire-privee-sainte-therese.html"
"0011214P","RPI ECHALLON-BELLEYDOUX ECOLE DE LA SEMINE","Lyon","45 rue des Combelles LA PALLUD, 01130 ECHALLON","ce.0011214P@ac-lyon.fr","0474764952","89","true","https://www.education.gouv.fr/annuaire/01130/echallon/ecole/0011214p/rpi-echallon-belleydoux-ecole-de-la-semine.html"
"0010350A","Ecole élémentaire","Lyon","LE PELOUX, 01140 PEYZIEUX SUR SAONE","ce.0010350A@ac-lyon.fr","0474697139","49","true","https://www.education.gouv.fr/annuaire/01140/peyzieux-sur-saone/ecole/0010350a/ecole-elementaire.html"
"0010345V","Ecole primaire","Lyon","LE BOURG, 01140 ILLIAT","ce.0010345V@ac-lyon.fr","0474240776","67","true","https://www.education.gouv.fr/annuaire/01140/illiat/ecole/0010345v/ecole-primaire.html"
"0011014X","Ecole primaire","Lyon","7 rue Dombes, 01140 ST ETIENNE SUR CHALARONNE","ce.0011014X@ac-lyon.fr","0474240875","187","true","https://www.education.gouv.fr/annuaire/01140/saint-etienne-sur-chalaronne/ecole/0011014x/ecole-primaire.html"
"0010346W","Ecole primaire","Lyon","LE BOURG, 01140 MOGNENEINS","ce.0010346W@ac-lyon.fr","0474049221","122","true","https://www.education.gouv.fr/annuaire/01140/mogneneins/ecole/0010346w/ecole-primaire.html"
"0011274E","Ecole primaire Françoise Dolto","Lyon","251 rue des Huguets, 01140 ST DIDIER SUR CHALARONNE","ce.0011274E@ac-lyon.fr","0474697147","189","true","https://www.education.gouv.fr/annuaire/01140/saint-didier-sur-chalaronne/ecole/0011274e/ecole-primaire-francoise-dolto.html"
"0010851v","Ecole primaire privée Sainte Marie","Lyon","813 avenue de la Libération, 01140 ST DIDIER SUR CHALARONNE","ce.0010851v@ac-lyon.fr","0474040593","224","true","https://www.education.gouv.fr/annuaire/01140/saint-didier-sur-chalaronne/ecole/0010851v/ecole-primaire-privee-sainte-marie.html"
"0011099P","ECOLE DU MUGUET","Lyon","159 rue de l'Ecole, 01150 LEYMENT","ce.0011099P@ac-lyon.fr","0474349180","165","true","https://www.education.gouv.fr/annuaire/01150/leyment/ecole/0011099p/ecole-du-muguet.html"
"0010465A","Ecole élémentaire du Vieux Château","Lyon","53 rue Trélacour, 01150 LAGNIEU","ce.0010465A@ac-lyon.fr","0474357510","231","true","https://www.education.gouv.fr/annuaire/01150/lagnieu/ecole/0010465a/ecole-elementaire-du-vieux-chateau.html"
"0010466B","Ecole élémentaire Les Charmettes","Lyon","161 rue des Charmettes, 01150 LAGNIEU","ce.0010466B@ac-lyon.fr","0474357260","186","true","https://www.education.gouv.fr/annuaire/01150/lagnieu/ecole/0010466b/ecole-elementaire-les-charmettes.html"
"0010467C","Ecole maternelle Centre","Lyon","12 rue des Ecoles, 01150 LAGNIEU","ce.0010467C@ac-lyon.fr","0474357295","63","true","https://www.education.gouv.fr/annuaire/01150/lagnieu/ecole/0010467c/ecole-maternelle-centre.html"
"0011031R","Ecole maternelle L'Etraz","Lyon","275 avenue de l'Etraz, 01150 LAGNIEU","ce.0011031R@ac-lyon.fr","0474358457","64","true","https://www.education.gouv.fr/annuaire/01150/lagnieu/ecole/0011031r/ecole-maternelle-l-etraz.html"
"0010797L","Ecole maternelle Les Tournelles","Lyon","Allée Guy de la Verpillière, 01150 LAGNIEU","ce.0010797L@ac-lyon.fr","0474357663","80","true","https://www.education.gouv.fr/annuaire/01150/lagnieu/ecole/0010797l/ecole-maternelle-les-tournelles.html"
"0010482U","Ecole primaire","Lyon","2 place de la mairie, 01150 SOUCLIN","ce.0010482U@ac-lyon.fr","0474376563","13","true","https://www.education.gouv.fr/annuaire/01150/souclin/ecole/0010482u/ecole-primaire.html"
"0010881C","Ecole primaire","Lyon","99 chemin de Ruvaison, 01150 BLYES","ce.0010881C@ac-lyon.fr","0474615438","165","true","https://www.education.gouv.fr/annuaire/01150/blyes/ecole/0010881c/ecole-primaire.html"
"0011092G","Ecole primaire","Lyon","Rue Principale, 01150 VAUX EN BUGEY","ce.0011092G@ac-lyon.fr","0474357336","138","true","https://www.education.gouv.fr/annuaire/01150/vaux-en-bugey/ecole/0011092g/ecole-primaire.html"
"0011344F","Ecole primaire","Lyon","Route Sainte-Julie, 01150 CHAZEY SUR AIN","ce.0011344F@ac-lyon.fr","0474619072","147","true","https://www.education.gouv.fr/annuaire/01150/chazey-sur-ain/ecole/0011344f/ecole-primaire.html"
"0011287U","Ecole primaire","Lyon","1558 rue de Claires Fontaines, 01150 ST VULBAS","ce.0011287U@ac-lyon.fr","0474615257","159","true","https://www.education.gouv.fr/annuaire/01150/saint-vulbas/ecole/0011287u/ecole-primaire.html"
"0010953F","Ecole primaire","Lyon","52 rue Ecoles, 01150 SAULT BRENAZ","ce.0010953F@ac-lyon.fr","0474376200","75","true","https://www.education.gouv.fr/annuaire/01150/sault-brenaz/ecole/0010953f/ecole-primaire.html"
"0010477N","Ecole primaire","Lyon","109 grande rue, 01150 ST SORLIN EN BUGEY","ce.0010477N@ac-lyon.fr","0474348322","127","true","https://www.education.gouv.fr/annuaire/01150/saint-sorlin-en-bugey/ecole/0010477n/ecole-primaire.html"
"0010485X","Ecole primaire","Lyon","Rue des Ecoles, 01150 VILLEBOIS","ce.0010485X@ac-lyon.fr","0474366063","96","true","https://www.education.gouv.fr/annuaire/01150/villebois/ecole/0010485x/ecole-primaire.html"
"0010836d","Ecole primaire privée Jeanne d'Arc","Lyon","30 rue Charles de Gaulle, 01150 LAGNIEU","ce.0010836d@ac-lyon.fr","0474357376","91","true","https://www.education.gouv.fr/annuaire/01150/lagnieu/ecole/0010836d/ecole-primaire-privee-jeanne-d-arc.html"
"0010948A","Ecole primaire","Lyon","2 rue Louise de Savoie, 01160 PONT D AIN","ce.0010948A@ac-lyon.fr","0474390883","240","true","https://www.education.gouv.fr/annuaire/01160/pont-d-ain/ecole/0010948a/ecole-primaire.html"
"0010562F","Ecole primaire","Lyon","Chemin Port, 01160 VARAMBON","ce.0010562F@ac-lyon.fr","0474390874","43","true","https://www.education.gouv.fr/annuaire/01160/varambon/ecole/0010562f/ecole-primaire.html"
"0010945X","Ecole primaire","Lyon","Place Michel Floriot, 01160 NEUVILLE SUR AIN","ce.0010945X@ac-lyon.fr","0474377635","180","true","https://www.education.gouv.fr/annuaire/01160/neuville-sur-ain/ecole/0010945x/ecole-primaire.html"
"0010547P","Ecole primaire","Lyon","64 chemin buissonnier, 01160 DRUILLAT","ce.0010547P@ac-lyon.fr","0474391009","112","true","https://www.education.gouv.fr/annuaire/01160/druillat/ecole/0010547p/ecole-primaire.html"
"0011340B","Ecole élémentaire","Lyon","215 rue Joseph Léger, 01170 CESSY","ce.0011340B@ac-lyon.fr","0450415732","349","true","https://www.education.gouv.fr/annuaire/01170/cessy/ecole/0011340b/ecole-elementaire.html"
"0011262S","Ecole élémentaire Parozet","Lyon","Rue de l'Oudar, 01170 GEX","ce.0011262S@ac-lyon.fr","0450423240","249","true","https://www.education.gouv.fr/annuaire/01170/gex/ecole/0011262s/ecole-elementaire-parozet.html"
"0010107L","ECOLE LE PETIT PRINCE","Lyon","Rue de la Velle, 01170 SEGNY","ce.0010107L@ac-lyon.fr","0450416463","257","true","https://www.education.gouv.fr/annuaire/01170/segny/ecole/0010107l/ecole-le-petit-prince.html"
"0010994A","Ecole maternelle Les Vertes Campagnes","Lyon","143 rue des Vertes Campagnes, 01170 GEX","ce.0010994A@ac-lyon.fr","0979293160","188","true","https://www.education.gouv.fr/annuaire/01170/gex/ecole/0010994a/ecole-maternelle-les-vertes-campagnes.html"
"0011038Y","Ecole maternelle Parozet","Lyon","Rue de l'Oudar, 01170 GEX","ce.0011038Y@ac-lyon.fr","0450419402","189","true","https://www.education.gouv.fr/annuaire/01170/gex/ecole/0011038y/ecole-maternelle-parozet.html"
"0010108M","Ecole primaire","Lyon","Rue du Château, 01170 VESANCY","ce.0010108M@ac-lyon.fr","0450423213","42","true","https://www.education.gouv.fr/annuaire/01170/vesancy/ecole/0010108m/ecole-primaire.html"
"0010137U","Ecole primaire Clément Chazalet","Lyon","60 rue des Maures, 01170 ECHENEVEX","ce.0010137U@ac-lyon.fr","0450418893","239","true","https://www.education.gouv.fr/annuaire/01170/echenevex/ecole/0010137u/ecole-primaire-clement-chazalet.html"
"0010130L","Ecole primaire Françoise Dolto","Lyon","253 rue Saint Maurice, 01170 CHEVRY","ce.0010130L@ac-lyon.fr","0450424242","189","true","https://www.education.gouv.fr/annuaire/01170/chevry/ecole/0010130l/ecole-primaire-francoise-dolto.html"
"0010830x","Ecole primaire privée Jeanne d'Arc","Lyon","273 rue de Genève, 01170 GEX","ce.0010830x@ac-lyon.fr","0450284410","535","true","https://www.education.gouv.fr/annuaire/01170/gex/ecole/0010830x/ecole-primaire-privee-jeanne-d-arc.html"
"0010731P","Ecole élémentaire","Lyon","LE BOURG, 01190 BOISSEY","ce.0010731P@ac-lyon.fr","0385518241","50","true","https://www.education.gouv.fr/annuaire/01190/boissey/ecole/0010731p/ecole-elementaire.html"
"0010732R","Ecole élémentaire","Lyon","30 rue de l'école MORTELLE, 01190 BOZ","ce.0010732R@ac-lyon.fr","0385306028","38","true","https://www.education.gouv.fr/annuaire/01190/boz/ecole/0010732r/ecole-elementaire.html"
"0010737W","Ecole primaire","Lyon","26 route des vignes VIGNES, 01190 GORREVOD","ce.0010737W@ac-lyon.fr","0385364269","84","true","https://www.education.gouv.fr/annuaire/01190/gorrevod/ecole/0010737w/ecole-primaire.html"
"0010735U","Ecole primaire","Lyon","36 route de Dommartin LE JONCHET, 01190 CHEVROUX","ce.0010735U@ac-lyon.fr","0385364318","106","true","https://www.education.gouv.fr/annuaire/01190/chevroux/ecole/0010735u/ecole-primaire.html"
"0010600X","Ecole primaire","Lyon","Rue du Château, 01200 MONTANGES","ce.0010600X@ac-lyon.fr","0450569484","29","true","https://www.education.gouv.fr/annuaire/01200/montanges/ecole/0010600x/ecole-primaire.html"
"0011309T","Ecole primaire","Lyon","18 rue Saint Amand, 01200 LEAZ","ce.0011309T@ac-lyon.fr","0450481908","116","true","https://www.education.gouv.fr/annuaire/01200/leaz/ecole/0011309t/ecole-primaire.html"
"0010604B","Ecole primaire","Lyon","4 rue de la Promenade, 01200 VILLES","ce.0010604B@ac-lyon.fr","0450599395","40","true","https://www.education.gouv.fr/annuaire/01200/villes/ecole/0010604b/ecole-primaire.html"
"0011087B","Ecole primaire Arlod","Lyon","287 rue Centrale BELLEGARDE SUR VALSERINE, 01200 VALSERHONE","ce.0011087B@ac-lyon.fr","0450480623","258","true","https://www.education.gouv.fr/annuaire/01200/valserhone/ecole/0011087b/ecole-primaire-arlod.html"
"0010977G","Ecole primaire Le Bois des Pesses","Lyon","Allée Victor Hugo BELLEGARDE SUR VALSERINE, 01200 VALSERHONE","ce.0010977G@ac-lyon.fr","0450480796","193","true","https://www.education.gouv.fr/annuaire/01200/valserhone/ecole/0010977g/ecole-primaire-le-bois-des-pesses.html"
"0011208H","Ecole primaire Le Grand Clos","Lyon","Rue Corneille BELLEGARDE SUR VALSERINE, 01200 VALSERHONE","ce.0011208H@ac-lyon.fr","0450481251","198","true","https://www.education.gouv.fr/annuaire/01200/valserhone/ecole/0011208h/ecole-primaire-le-grand-clos.html"
"0011224A","Ecole primaire Marius Pinard","Lyon","17 rue Lamartine BELLEGARDE SUR VALSERINE, 01200 VALSERHONE","ce.0011224A@ac-lyon.fr","0450484787","368","true","https://www.education.gouv.fr/annuaire/01200/valserhone/ecole/0011224a/ecole-primaire-marius-pinard.html"
"0740395C","Ecole primaire publique La Prairie ELOISE","Grenoble","188 allée des Rippes Fiolaz, 01200 ELOISE","ce.0740395C@ac-grenoble.fr","0450482698","88","true","https://www.education.gouv.fr/annuaire/01200/eloise/ecole/0740395c/ecole-primaire-publique-la-prairie-eloise.html"
