RED_IZO;IČO;Zřizovatel;Území;ORP;Plný název;Zkrácený název;Ulice;Č. p.;Č. or.;Část obce;PSČ;Místo;Telefon;Fax;Email 1;Email 2;WWW;Ředitel;IZO;Druh/Typ;Název;Škola - Ulice;Škola - Č. p.;Škola - Č. or.;Škola - Část obce;Škola - PSČ;Škola - Místo;Škola - Kód RÚIAN;Kapacita;Obor;Název.1;Forma;Délka;Jazyk;Kapacita oboru;Vyuč. jazyk oboru;Cizí jazyk;Dobíhající
600001393;25018515;5;CZ0423;4205;LINGUA UNIVERSAL soukromá základní škola a mateřská škola s.r.o.;LINGUA UNIVERSAL soukr. ZŠ a MŠ s.r.o.;Sovova;480.0;2;Předměstí;41201;Litoměřice;416 732 526;;info@zslingua.cz;jezek001@centrum.cz;http://www.zslingua.cz;Ing. Blanka Svobodová;108043762;B00;Základní škola;Sovova;480.0;2;Předměstí;41201.0;Litoměřice;2900122.0;205;7901C01;Základní škola;10.0;90;100;205.0;10;;NE
600001423;25013513;5;CZ0425;4206;Sportovní soukromá základní škola, s.r.o.;Sportovní soukromá ZŠ, s.r.o.;Podkrušnohorská;1677.0;;Horní Litvínov;43601;Litvínov;476 752 896;;reditel@sszslitvinov.cz;veronika.stovickova@sszslitvinov.cz;http://www.sszslitvinov.cz;Mgr. Petr Lovaš;102441073;B00;Základní škola;Podkrušnohorská;1677.0;;Horní Litvínov;43601.0;Litvínov;5162653.0;560;7901C01;Základní škola;10.0;90;100;560.0;10;;NE
600001431;70901619;6;CZ0426;4213;Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov;Biskupské gymnázium, ZŠ a MŠ Bohosudov;Koněvova;100.0;;Bohosudov;41742;Krupka;417 862 507;;info@bgbzs.cz;;http://www.bgbzs.cz;Mgr. Jakub Wiedner;108037738;B00;Základní škola;Koněvova;34.0;;Bohosudov;41742.0;Krupka;;240;7901C01;Základní škola;10.0;90;100;240.0;10;;NE
600001466;25262092;5;CZ0521;5205;Základní škola TALENT Hradec Králové s.r.o.;Základní škola TALENT Hradec Králové s.r.o.;Vocelova;1334.0;9;Pražské Předměstí;50002;Hradec Králové;495 217 375;;zdenek.kratochvil@skolytalent.cz;;www.pszs.cz;Mgr. Zdeněk Kratochvíl;43475621;B00;Základní škola;Vocelova;1334.0;9;Pražské Předměstí;50002.0;Hradec Králové;23896353.0;180;7901C01;Základní škola;10.0;90;100;180.0;10;;NE
600001474;25918125;5;CZ0524;5213;Základní škola Mozaika, o.p.s. Rychnov nad Kněžnou;Základní škola Mozaika, o.p.s.;U Stadionu;1166.0;;Rychnov nad Kněžnou;51601;Rychnov nad Kněžnou;739 007 826;;info@zsmozaika.info;zemoska@seznam.cz;www.zsmozaika.info;Mgr. Kamila Zemanová Stieberová;191817;B00;Základní škola;U Stadionu;1166.0;;Rychnov nad Kněžnou;51601.0;Rychnov nad Kněžnou;9851992.0;150;7901C01;Základní škola;10.0;90;100;150.0;10;;NE
600001482;42887941;6;CZ0524;5208;Církevní základní škola Borohrádek;Církevní základní škola;Nádražní;233.0;;Borohrádek;51724;Borohrádek;494 381 228;;cirkevniskolaborohradek@seznam.cz;;www.czsborohradek.cz;Mgr. Jitka Kadrmasová;42887941;B00;Základní škola;Nádražní;233.0;;Borohrádek;51724.0;Borohrádek;21511811.0;85;7901C01;Základní škola;10.0;90;100;85.0;10;;NE
600001491;64829804;5;CZ0524;5202;Základní škola a Mateřská škola Trivium Plus o.p.s.;ZŠ a MŠ Trivium Plus o.p.s.;;2.0;;Dobřany;51801;Dobřany;494 665 240;494 665 240;trivium@trivium.cz;;www.trivium.cz;Mgr. Jan Grulich;108024181;B00;Základní škola;;2.0;;Dobřany;51801.0;Dobřany;9723722.0;250;7901C01;Základní škola;10.0;90;100;250.0;10;;NE
600001504;25324233;5;CZ0642;6203;Soukromá základní škola Lesná s.r.o.;Soukromá základní škola Lesná s.r.o.;Marie Steyskalové;315.0;14;Žabovřesky;61600;Brno;548 520 940 ,608280666;;dagmar.dostalova@szslesna.cz;dagmar.dostal@seznam.cz;https://szslesna.cz/;Mgr. Jana Malimánková;41565690;B00;Základní škola;Marie Steyskalové;315.0;14;Žabovřesky;61600.0;Brno;19577567.0;85;7901C01;Základní škola;10.0;90;100;85.0;10;;NE
600001512;25330012;5;CZ0642;6203;Soukromá mateřská škola a základní škola s.r.o.;Soukromá MŠ a ZŠ s.r.o.;Rozmarýnová;676.0;3;Jundrov;63700;Brno;541 220 789 ,775201251;;skola@rozmarynova.cz;;http://www.rozmarynova.cz;Mgr. Radomír Prokop;49486101;B00;Základní škola;Rozmarýnová;676.0;3;Jundrov;63700.0;Brno;19367392.0;90;7901C01;Základní škola;10.0;90;100;90.0;10;;NE
600001521;25348221;5;CZ0642;6203;Základní škola a Mateřská škola Pramínek, o. p. s.;ZŠ a MŠ Pramínek, o.p.s.;Heyrovského;828.0;13;Bystrc;63500;Brno;546 221 559 ,773899655;546 221 559;praminek@praminek.cz;helena.hlouchova@praminek.cz;http://www.praminek.cz;Mgr. Helena Hlouchová;110300238;B00;Základní škola;Heyrovského;828.0;13;Bystrc;63500.0;Brno;19315660.0;225;7901C01;Základní škola;10.0;90;100;225.0;10;;NE
600001539;402443;6;CZ0642;6203;Cyrilometodějská církevní základní škola, Lerchova 65, Brno;Cyrilometodějská církevní základní škola;Lerchova;344.0;65;Stránice;60200;Brno;543 425 210;;skola@cmczs.cz;;www.cmczs.cz;Mgr. Pavlína Vojtěchová;402443;B00;Základní škola;Lerchova;344.0;65;Stránice;60200.0;Brno;19154992.0;575;7901C01;Základní škola;10.0;90;100;575.0;10;;NE
600001636;49157841;6;CZ0724;7213;Církevní základní škola a mateřská škola ve Zlíně;Církevní ZŠ a MŠ ve Zlíně;Česká;4787.0;;Zlín;76005;Zlín;577 011 686;577 271 434;czs@czszlin.cz;;http://www.czszlin.cz;Mgr. Michaela Černošková;49157841;B00;Základní škola;Česká;4787.0;;Zlín;76005.0;Zlín;4250672.0;250;7901C01;Základní škola;10.0;90;100;250.0;10;;NE
600001644;65766695;6;CZ0632;6105;Křesťanská základní škola Jihlava;Křesťanská základní škola Jihlava;náměstí Svobody;1369.0;3;Jihlava;58601;Jihlava;567 309 565;567 309 565;reditelstvi@krestanka.cz;glosslova@krestanka.cz;www.krestanka.cz;Mgr. Šárka Glösslová;110009274;B00;Základní škola;náměstí Svobody;1369.0;3;Jihlava;58601.0;Jihlava;12342939.0;360;7901B01;Základní škola speciální;10.0;A0;100;24.0;10;;NE
600001644;65766695;6;CZ0632;6105;Křesťanská základní škola Jihlava;Křesťanská základní škola Jihlava;náměstí Svobody;1369.0;3;Jihlava;58601;Jihlava;567 309 565;567 309 565;reditelstvi@krestanka.cz;glosslova@krestanka.cz;www.krestanka.cz;Mgr. Šárka Glösslová;110009274;B00;Základní škola;náměstí Svobody;1369.0;3;Jihlava;58601.0;Jihlava;12342939.0;360;7901C01;Základní škola;10.0;90;100;336.0;10;;NE
600001661;25349520;5;CZ0722;7207;Academic School, Mateřská škola, základní škola a střední škola, s.r.o.;Academic School, MŠ, ZŠ a SŠ, s.r.o.;Studentské náměstí;1531.0;;Mařatice;68601;Uherské Hradiště;576 519 343;;vera.olsakova@academicschool.cz;academicschool@academicschool.cz;http://academicschool.cz/;PhDr. Věra Olšáková;110009312;B00;Základní škola;Studentské náměstí;1531.0;;Mařatice;68601.0;Uherské Hradiště;27459390.0;200;7901C01;Základní škola;10.0;90;100;200.0;10;;NE
600001679;25830635;5;CZ0801;8103;Základní škola AMOS, školská právnická osoba;Základní škola AMOS, školská práv. osoba;Cihelní;1620.0;6;Bruntál;79201;Bruntál;554 717 531;;zsamos@seznam.cz;;www.zsamos.wz.cz;Mgr. Petr Novotný;108012671;B00;Základní škola;Cihelní;1620.0;6;Bruntál;79201.0;Bruntál;2835029.0;80;7901C01;Základní škola;10.0;90;100;80.0;10;;NE
600001695;49588656;6;CZ0804;8112;Základní škola svaté Zdislavy Kopřivnice;Základní škola svaté Zdislavy;Štefánikova;117.0;29;Kopřivnice;74221;Kopřivnice;556 821 457;556 821 457;zdislava@zdislava.net;pavel.janek@zdislava.net;http://www.zdislava.net;Ing. Pavel Janek;108046184;B00;Základní škola;Štefánikova;117.0;29;Kopřivnice;74221.0;Kopřivnice;8449261.0;250;7901C01;Základní škola;10.0;90;100;250.0;10;;NE
600001709;49588095;6;CZ0712;7107;Základní škola sv. Voršily v Olomouci;Základní škola sv. Voršily v Olomouci;Aksamitova;707.0;6;Olomouc;77900;Olomouc;585 222 689;585 222 689;info@zcsol.cz;;http://www.zcsol.cz;Mgr. Zdeněk Navrátil;49588095;B00;Základní škola;Aksamitova;707.0;6;Olomouc;77900.0;Olomouc;23324422.0;275;7901C01;Základní škola;10.0;90;100;275.0;10;;NE
600001717;849821;6;CZ0805;8117;Církevní základní škola svaté Ludmily v Hradci nad Moravicí;Církevní základní škola svaté Ludmily;Zámecká;57.0;;Hradec nad Moravicí;74741;Hradec nad Moravicí;595 170 279;;reditel@czs-hradec.cz;skola@czs-hradec.cz;http://czs-hradec.edupage.org;Ing. Tomáš Honěk;108035913;B00;Základní škola;Zámecká;57.0;;Hradec nad Moravicí;74741.0;Hradec nad Moravicí;27023192.0;250;7901C01;Základní škola;10.0;90;100;250.0;10;;NE
600001725;25368702;5;CZ0806;8119;Soukromá základní škola, spol. s r.o.;Soukromá základní škola, spol. s r.o.;Pasteurova;1285.0;7;Vítkovice;70300;Ostrava;608 887 062;;mirkagackova@seznam.cz;info@primaskola.cz;www.primaskola.cz;Mgr. Miroslava Gacková;60340151;B00;Základní škola;Pasteurova;1285.0;7;Vítkovice;70300.0;Ostrava;25959182.0;187;7901C01;Základní škola;10.0;90;100;187.0;10;;NE
600001733;850381;6;CZ0806;8119;Církevní základní škola a mateřská škola Přemysla Pittra;Církevní ZŠ a MŠ Přemysla Pittra;Jungmannova;349.0;3;Přívoz;70200;Ostrava;596 133 426;;zs.pittra@email.cz;;http://www.czsms.cz;Ing. Martin Blatoň, Ph.D.;44940998;B00;Základní škola;Jungmannova;349.0;3;Přívoz;70200.0;Ostrava;3201473.0;330;7901B01;Základní škola speciální;10.0;A0;100;15.0;10;;NE
600001733;850381;6;CZ0806;8119;Církevní základní škola a mateřská škola Přemysla Pittra;Církevní ZŠ a MŠ Přemysla Pittra;Jungmannova;349.0;3;Přívoz;70200;Ostrava;596 133 426;;zs.pittra@email.cz;;http://www.czsms.cz;Ing. Martin Blatoň, Ph.D.;44940998;B00;Základní škola;Jungmannova;349.0;3;Přívoz;70200.0;Ostrava;3201473.0;330;7901C01;Základní škola;10.0;90;100;330.0;10;;NE
600001741;25366556;5;CZ0714;7104;Základní škola a Mateřská škola Sluníčko s.r.o.;Základní škola a MŠ Sluníčko s.r.o.;Loučská;237.0;1;Lipník nad Bečvou I-Město;75131;Lipník nad Bečvou;581 772 171;581 277 513;redi;slunicko@slunicko.cz;www.slunicko.cz;Bc. Věra Pospíšilová, Petr Pospíšil, M.A.;42962358;B00;Základní škola;Loučská;237.0;1;Lipník nad Bečvou I-Město;75131.0;Lipník nad Bečvou;11313064.0;200;7901C01;Základní škola;10.0;90;100;200.0;10;;NE
600001750;25366564;5;CZ0714;7109;Soukromá základní škola Acorn's & John's school s.r.o.;Soukr. ZŠ Acorn's & John's school s.r.o.;U Bečvy;2883.0;2;Přerov I-Město;75002;Přerov;581 201 804;;acorn.skoly@seznam.cz;;;Markéta Jiskrová;110009291;B00;Základní škola;U Bečvy;2883.0;2;Přerov I-Město;75002.0;Přerov;11241055.0;75;7901B01;Základní škola speciální;10.0;A0;100;14.0;10;;NE
600001750;25366564;5;CZ0714;7109;Soukromá základní škola Acorn's & John's school s.r.o.;Soukr. ZŠ Acorn's & John's school s.r.o.;U Bečvy;2883.0;2;Přerov I-Město;75002;Přerov;581 201 804;;acorn.skoly@seznam.cz;;;Markéta Jiskrová;110009291;B00;Základní škola;U Bečvy;2883.0;2;Přerov I-Město;75002.0;Přerov;11241055.0;75;7901C01;Základní škola;10.0;90;100;75.0;10;;NE
600001784;60042281;6;CZ0723;7210;Základní škola Salvátor;Základní škola Salvátor;Komenského;2.0;2;Valašské Meziříčí;75701;Valašské Meziříčí;571 611 779;571 611 779;skola@zs-salvator.cz;;http://www.zs-salvator.cz;Ing. Hynek Mikušek;60042281;B00;Základní škola;Komenského;2.0;2;Valašské Meziříčí;75701.0;Valašské Meziříčí;25221159.0;230;7901C01;Základní škola;10.0;90;100;230.0;10;;NE
600001792;69211612;5;CZ0723;7212;Základní škola INTEGRA Vsetín;Základní škola INTEGRA;Na Rybníkách;1628.0;;Vsetín;75501;Vsetín;571 411 957;571 411 957;;;;Mgr. Jan Novotný;44159765;B00;Základní škola;Na Rybníkách;1628.0;;Vsetín;75501.0;Vsetín;24308579.0;200;7901C001;Základní škola;10.0;90;100;200.0;10;;ANO
600001792;69211612;5;CZ0723;7212;Základní škola INTEGRA Vsetín;Základní škola INTEGRA;Na Rybníkách;1628.0;;Vsetín;75501;Vsetín;571 411 957;571 411 957;;;;Mgr. Jan Novotný;44159765;B00;Základní škola;Na Rybníkách;1628.0;;Vsetín;75501.0;Vsetín;24308579.0;200;7901C01;Základní škola;10.0;90;100;200.0;10;;NE
600001806;25853708;5;CZ0723;7206;Základní škola Sedmikráska, o.p.s.;Základní škola Sedmikráska, o.p.s.;Bezručova;293.0;;Rožnov pod Radhoštěm;75661;Rožnov pod Radhoštěm;575 753 923;;skola@sedmikraska.cz;;www.sedmikraska.cz;Mgr. Pavel Sumec;49582071;B00;Základní škola;Bezručova;293.0;;Rožnov pod Radhoštěm;75661.0;Rožnov pod Radhoštěm;17202329.0;190;7901C01;Základní škola;10.0;90;100;190.0;10;;NE
600005267;61054682;5;CZ0104;1100;Klasické gymnázium Modřany a základní škola, s.r.o.;Klasické gymnázium Modřany a ZŠ;Rakovského;3136.0;1;Modřany;14300;Praha;244 402 581;244 402 425;rouskova@kgm.cz;sramek@kgm.cz;http://www.kgm.cz;Mgr. Lenka Rousková;181077272;B00;Základní škola;Rakovského;3136.0;1;Modřany;14300.0;Praha;21937931.0;150;7901C01;Základní škola;10.0;90;100;150.0;10;;NE
600005305;25147846;5;CZ0104;1100;EDUCAnet - gymnázium, střední odborná škola a základní škola Praha, s.r.o.;EDUCAnet-gymn., SOŠ a ZŠ Praha, s.r.o.;Roztylská;1860.0;1;Chodov;14800;Praha;774 773 367;;jakub.pour@educanet.cz;;http://www.praha.educanet.cz;Mgr. Jakub Pour, MBA;181035669;B00;Základní škola;Roztylská;1860.0;1;Chodov;14800.0;Praha;21844186.0;239;7901C01;Základní škola;10.0;90;100;239.0;18;02;NE
600005399;48134023;2;CZ0104;1100;Škola Kavčí hory - Mateřská škola, Základní škola a Střední odborná škola služeb, Praha 4, K Sídlišti 840;Škola Kavčí hory - MŠ, ZŠ a SOŠ služeb;K sídlišti;840.0;2;Podolí;14000;Praha;241 090 230;241 090 235;skola@ksidlisti.cz;m.hudecova@ksidlisti.cz;http://www.ksidlisti.cz;Mgr.  Martina Hudecová;102101337;B00;Základní škola;K sídlišti;840.0;2;Podolí;14000.0;Praha;21967211.0;410;7901C01;Základní škola;10.0;90;100;410.0;10;;NE
600006018;25698117;5;CZ0108;1100;PORG - gymnázium, základní škola a mateřská škola, o.p.s.;PORG - gymnázium, ZŠ a MŠ, o.p.s.;Lindnerova;517.0;3;Libeň;18000;Praha;284 841 031;;dluhosova@porg.cz;"porg@porg.cz; office@porg.cz";http://www.porg.cz;PaedDr. Dagmar Dluhošová;151040290;B00;Základní škola;Rostislavova;1267.0;7;Vítkovice;70300.0;Ostrava;25219499.0;1149;7901C01;Základní škola;10.0;90;100;1149.0;18;02;NE
600006310;25108476;5;CZ0108;1100;Soukromá střední škola a základní škola (1. KŠPA) Praha s.r.o.;Soukromá SŠ a ZŠ (1. KŠPA) Praha s.r.o.;Chabařovická;1125.0;4;Kobylisy;18200;Praha;281 863 044;;praha@1kspa.cz;;http://www.1kspa.cz;Mgr. Šimon Zajíc;181054531;B00;Základní škola;Chabařovická;1125.0;4;Kobylisy;18200.0;Praha;22368477.0;135;7901C01;Základní škola;10.0;90;100;135.0;10;;NE
600006930;25108492;5;CZ0203;2109;1. kladenská soukromá střední škola a základní škola (1. KŠPA), s.r.o.;1. klad. soukr. SŠ a ZŠ (1.KŠPA), s.r.o.;Holandská;2531.0;;Kročehlavy;27201;Kladno;312 687 800, 777 066 704;;reditel@1kspa.cz;kladno@1kspa.cz;https://1kspa-kladno.cz;Mgr. Vladimír Skalla;181044510;B00;Základní škola;Holandská;2531.0;;Kročehlavy;27201.0;Kladno;1439103.0;235;7901C01;Základní škola;10.0;90;100;235.0;10;;NE
600008088;666122;6;CZ0311;3102;Biskupské gymnázium J. N. Neumanna, církevní základní škola a základní umělecká škola České Budějovice;Biskup. gymn. J.N.N., církevní ZŠ a ZUŠ;Jirsíkova;420.0;5;České Budějovice 1;37001;České Budějovice;380 420 211;;reditelstvi@bigy-cb.cz;czs@bigy-cb.cz;http://www.bigy-cb.cz;Ing. Martin Maršík, Ph.D.;150004222;B00;Základní škola;Rudolfovská tř.;1982.0;23;České Budějovice 3;37001.0;České Budějovice;25078101.0;500;7901C01;Základní škola;10.0;90;100;500.0;10;;NE
600008096;63908352;5;CZ0311;3102;ČAG - gymnázium a základní škola s.r.o.;ČAG - gymnázium a základní škola s.r.o.;Třebízského;1010.0;9;České Budějovice 5;37006;České Budějovice;380 425 132;;cag@cag.cz;dlhotkova@cag.cz, psoukup@cag.cz;http://www.cag.cz;RNDr. Mgr. Pavel Soukup, Ph.D.;250005476;B00;Základní škola;Vrbenská;2044.0;6;České Budějovice 5;37001.0;České Budějovice;26144450.0;35;7901C01;Základní škola;10.0;90;100;35.0;10;;NE
600008266;25158392;5;CZ0311;3102;EDUCAnet - střední škola a základní škola České Budějovice, s.r.o.;EDUCAnet - SŠ a ZŠ ČB, s.r.o.;Lannova tř.;1595.0;29a;České Budějovice 6;37001;České Budějovice;774 073 318;;ceskebudejovice@educanet.cz;frantisek.soltes@educanet.cz;http://www.ceskebudejovice.educanet.cz;Mgr. František Šoltés;181068745;B00;Základní škola;Lannova tř.;1595.0;29a;České Budějovice 6;37001.0;České Budějovice;23414243.0;144;7901C01;Základní škola;10.0;90;100;144.0;10;;NE
600008681;477419;7;CZ0315;3116;Střední škola a Základní škola, Vimperk, Nerudova 267;Střední škola a Základní škola;Nerudova;267.0;;Vimperk II;38501;Vimperk;388 411 471;;info@stredni-skola.eu;;http://www.stredni-skola.eu;Mgr. Dagmar Rückerová;102263663;B00;Základní škola;1. máje;127.0;23;Vimperk II;38501.0;Vimperk;832685.0;102;7901B01;Základní škola speciální;10.0;A0;100;30.0;10;;NE
600008681;477419;7;CZ0315;3116;Střední škola a Základní škola, Vimperk, Nerudova 267;Střední škola a Základní škola;Nerudova;267.0;;Vimperk II;38501;Vimperk;388 411 471;;info@stredni-skola.eu;;http://www.stredni-skola.eu;Mgr. Dagmar Rückerová;102263663;B00;Základní škola;1. máje;127.0;23;Vimperk II;38501.0;Vimperk;832685.0;102;7901C01;Základní škola;10.0;90;100;90.0;10;;NE
