source,school_type,school_name,school_name_en,moe_code,subdistrict,district,province,address,postcode,telephone,email,website,curriculum,level_min,level_max,students,boarding,geo_location,latitude,longitude
OBEC (Public),Public,อนุบาลสามเสน(สำนักงานสลากกินแบ่งรัฐบาลอุปถัมภ์),,1010720013,สามเสนใน,เขตพญาไท,กรุงเทพมหานคร,302/342 พระราม 6,10400,022790415,,,Thai National Curriculum,อ.1,ป.6,1120,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,ทุ่งมหาเมฆ,,1010720032,ทุ่งวัดดอน,เขตสาทร,กรุงเทพมหานคร,13 นราธิวาสราชนครินทร์,10120,02-2861748,,,Thai National Curriculum,อ.1,ป.6,658,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,วัดเวตวันธรรมาวาส,,1010720022,บางซื่อ,เขตบางซื่อ,กรุงเทพมหานคร,188 ซอยกรุงเทพฯ-นนทบุรี 21 ถนนกรุงเทพฯ-นนทบุรี,10800,02-585-0518,,,Thai National Curriculum,อ.1,ป.6,486,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,สายน้ำทิพย์,,1010720036,คลองตัน,เขตคลองเตย,กรุงเทพมหานคร,293 สุขุมวิท22,10110,022582232,,,Thai National Curriculum,อ.1,ป.6,916,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,ดาราคาม,,1010720033,พระโขนง,เขตคลองเตย,กรุงเทพมหานคร,932 สุขุมวิท,10110,023912422,,,Thai National Curriculum,อ.1,ป.6,324,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,พญาไท,,1010720001,ทุ่งพญาไท,เขตราชเทวี,กรุงเทพมหานคร,306 ศรีอยุธยา,10400,023545251,,,Thai National Curriculum,อ.1,ป.6,1757,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,อนุบาลพิบูลเวศม์,,1010720012,พระโขนงเหนือ,เขตวัฒนา,กรุงเทพมหานคร,259/444 ปรีดี พนมยงค์ 13,10110,023912625,,,Thai National Curriculum,อ.1,ป.6,1318,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,วัดอุทัยธาราม,,1010720011,บางกะปิ,เขตห้วยขวาง,กรุงเทพมหานคร,1 กำแพงเพชร7,10310,022527011,,,Thai National Curriculum,อ.1,ป.6,258,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,พิบูลอุปถัมภ์,,1010720010,สามเสนนอก,เขตห้วยขวาง,กรุงเทพมหานคร,1128 ลาดพร้าว,10310,0-2511-4049,,,Thai National Curriculum,อ.1,ม.6,1584,,พื้นราบ,13.759349,100.529974
OBEC (Public),Public,บางบัว(เพ่งตั้งตรงจิตรวิทยาคาร),,1010720008,ลาดยาว,เขตจตุจักร,กรุงเทพมหานคร,เลขที่  8 ถนนพหลโยธิน,10900,025791941,,,Thai National Curriculum,อ.1,ม.3,1043,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,บ้านหนองบอน(นัยนานนท์อนุสรณ์),,1010720034,หนองบอน,เขตประเวศ,กรุงเทพมหานคร,141 เฉลิมพระเกียรติ ร.๙,10250,02-3930308,,,Thai National Curriculum,อ.1,ป.6,614,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,วัดมหาบุศย์ (พิทักษ์ถาวรคุณ),,1010720038,สวนหลวง,เขตสวนหลวง,กรุงเทพมหานคร,711 ซ.อ่อนนุช7  ถ.อ่อนนุช,10250,023111483,,,Thai National Curriculum,อ.1,ป.6,483,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,ไทยรัฐวิทยา ๗๕ เฉลิมพระเกียรติ,,1010720015,คลองถนน,เขตสายไหม,กรุงเทพมหานคร,455 ถนนวัชรพล-รามอินทรา,10220,029940936#3333,,,Thai National Curriculum,อ.1,ม.3,792,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,พระยาประเสริฐสุนทราศรัย (กระจ่าง สิงหเสนี),,1010720014,วังทองหลาง,เขตวังทองหลาง,กรุงเทพมหานคร,70/8 ซ.คุณประสะนี,10310,,,,Thai National Curriculum,อ.1,ป.6,1626,,พื้นราบ,13.759707,100.528425
OBEC (Public),Public,วัดประยุรวงศาวาส,,1010720021,วัดกัลยาณ์,เขตธนบุรี,กรุงเทพมหานคร,24 เทศบาล สาย 1,10600,024652860,,,Thai National Curriculum,ป.1,ป.6,420,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,วัดเจ้ามูล,,1010720025,วัดท่าพระ,เขตบางกอกใหญ่,กรุงเทพมหานคร,26/3 จรัญสนิทวงศ์,10600,024112112,,,Thai National Curriculum,อ.1,ป.6,357,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,วัดสังข์กระจาย,,1010720031,วัดท่าพระ,เขตบางกอกใหญ่,กรุงเทพมหานคร,506 อิสรภาพ 21,10600,02-4650397,,,Thai National Curriculum,อ.1,ป.6,128,,พื้นราบ,13.759413,100.530105
OBEC (Public),Public,บ้านน้ำฉา,,1092140097,โคกยาง,กันตัง,ตรัง,113 -,92110,0858805577,,,Thai National Curriculum,อ.1,ป.6,50,,พื้นราบ,7.508384,99.472439
OBEC (Public),Public,วัดหงส์รัตนาราม,,1010720029,วัดอรุณ,เขตบางกอกใหญ่,กรุงเทพมหานคร,46 วังเดิม 2,10600,024667937,,,Thai National Curriculum,อ.1,ป.6,253,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,ประถมทวีธาภิเศก,,1010720017,วัดอรุณ,เขตบางกอกใหญ่,กรุงเทพมหานคร,160 วังเดิม,10600,024653300,,,Thai National Curriculum,อ.1,ป.6,611,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,วัดช่างเหล็ก,,1010720026,คลองชักพระ,เขตตลิ่งชัน,กรุงเทพมหานคร,163 ฉิมพลี,10170,024243326,,,Thai National Curriculum,อ.1,ป.6,220,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,วัดอมรินทราราม,,1010720006,ศิริราช,เขตบางกอกน้อย,กรุงเทพมหานคร,566/1 อรุณอมรินทร์,10700,024180927,,,Thai National Curriculum,อ.1,ป.6,1368,,พื้นราบ,13.759349,100.529974
OBEC (Public),Public,โฆสิตสโมสร,,1010720002,ศิริราช,เขตบางกอกน้อย,กรุงเทพมหานคร,51/2 อรุณอมรินทร์,10700,024113401,,,Thai National Curriculum,อ.1,ป.6,658,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,ราชวินิตประถมบางแค,,1010720024,บางแคเหนือ,เขตบางแค,กรุงเทพมหานคร,220 เพชรเกษม 62/4,10160,024130607,,,Thai National Curriculum,อ.1,ป.6,1214,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,วัดนาคปรก,,1010720028,ปากคลองภาษีเจริญ,เขตภาษีเจริญ,กรุงเทพมหานคร,101 ถนนเทอดไท,10160,024670568,,,Thai National Curriculum,อ.1,ป.6,221,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,วัดหนัง,,1010720027,บางค้อ,เขตจอมทอง,กรุงเทพมหานคร,200 วุฒากาศ 42,10150,024682662,,,Thai National Curriculum,อ.1,ป.6,532,,พื้นราบ,13.759703,100.528513
OBEC (Public),Public,อนุบาลวัดนางนอง,,1010720030,บางค้อ,เขตจอมทอง,กรุงเทพมหานคร,74 ถนนวุฒากาศ,10150,024682653,,,Thai National Curriculum,อ.1,ป.6,1017,,พื้นราบ,13.759792,100.528513
OBEC (Public),Public,วัดราษฎร์โพธิ์ทอง,,1011570020,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,ถ.สุขุมวิท ต.ท้ายบ้าน อ.เมือง จ.สมุทรปราการ 10280  เทศบาลบางปู 46,10280,023872142,,,Thai National Curriculum,อ.2,ป.6,280,,พื้นราบ,13.566016,100.601842
OBEC (Public),Public,คลองแสนสุข(สิทธิไชยบำรุง),,1011570021,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,222 ท้ายบ้าน,10280,02703308,,,Thai National Curriculum,อ.2,ป.6,551,,พื้นราบ,13.562721,100.589006
OBEC (Public),Public,บ้านคลองหลวง,,1011570027,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,30 สุขุมวิท,10280,0-2395-2764,,,Thai National Curriculum,อ.1,ป.6,1359,,พื้นราบ,13.564564,100.608348
OBEC (Public),Public,คลองสำโรง,,1011570011,เทพารักษ์,เมืองสมุทรปราการ,สมุทรปราการ,140 เทพารักษ์,10270,023835613,,,Thai National Curriculum,อ.1,ป.6,625,,พื้นราบ,13.626951,100.631
OBEC (Public),Public,วัดบางด้วน,,1011570005,บางด้วน,เมืองสมุทรปราการ,สมุทรปราการ,61 รถรางเก่า,10270,023843287,,,Thai National Curriculum,อ.2,ป.6,80,,พื้นราบ,13.612723,100.576275
OBEC (Public),Public,วัดบางนางเกรง,,1011570003,บางด้วน,เมืองสมุทรปราการ,สมุทรปราการ,98 วัดบางนางเกรง,10270,023841160,,,Thai National Curriculum,อ.2,ป.6,67,,พื้นราบ,13.61337,100.587906
OBEC (Public),Public,วัดสุขกร,,1011570004,บางด้วน,เมืองสมุทรปราการ,สมุทรปราการ,77 รถรางเก่า,10270,023846115,,,Thai National Curriculum,อ.2,ม.3,262,,พื้นราบ,13.623935,100.584428
OBEC (Public),Public,คลองเสาธง(ถนอม วารีดีนุเคราะห์),,1011570025,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,610 สุขุมวิท,10280,027077289,,,Thai National Curriculum,อ.3,ม.3,113,,พื้นราบ,13.507108,100.707645
OBEC (Public),Public,คลองบางปู,,1011570023,บางปู,เมืองสมุทรปราการ,สมุทรปราการ,24 สุขุมวิท,10280,023301314,,,Thai National Curriculum,อ.2,ป.6,111,,พื้นราบ,13.500292,100.767831
OBEC (Public),Public,ชุมชนวัดราษฎร์บำรุง,,1011570024,บางปู,เมืองสมุทรปราการ,สมุทรปราการ,209 สุขุมวิท,10280,027077076,,,Thai National Curriculum,อ.1,ป.6,478,,พื้นราบ,13.50625,100.7276
OBEC (Public),Public,พิบูลประชาบาล,,1011570022,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,177 สุขุมวิท,10280,023239657,,,Thai National Curriculum,อ.1,ป.6,800,,พื้นราบ,13.52329,100.645371
OBEC (Public),Public,วัดตำหรุ มิตรภาพที่ 65,,1011570026,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,588 สุขุมวิท,10280,023239015,,,Thai National Curriculum,อ.2,ม.3,909,,พื้นราบ,13.515183,100.68327
OBEC (Public),Public,เอี่ยมสุรีย์ (อนุบาลเมืองสมุทรปราการ),,1011570028,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,599 สุขุมวิท,10280,027108633,,,Thai National Curriculum,อ.1,ป.6,1519,,พื้นราบ,13.52121,100.657682
OBEC (Public),Public,นิลรัตน์อนุสรณ์,,1011570006,บางโปรง,เมืองสมุทรปราการ,สมุทรปราการ,- -,10270,023830181,,,Thai National Curriculum,อ.2,ป.6,106,,พื้นราบ,13.62713,100.562995
OBEC (Public),Public,วัดบางโปรง,,1011570007,บางโปรง,เมืองสมุทรปราการ,สมุทรปราการ,10 สวนส้ม,10270,023830427,,,Thai National Curriculum,อ.2,ป.6,236,,พื้นราบ,13.618733,100.564841
OBEC (Public),Public,คลองมหาวงก์,,1011570014,บางเมือง,เมืองสมุทรปราการ,สมุทรปราการ,239 สุขุมวิท,10270,023953123,,,Thai National Curriculum,อ.1,ป.6,702,,พื้นราบ,13.608567,100.606713
OBEC (Public),Public,คลองบางปิ้ง,,1011570019,บางเมือง,เมืองสมุทรปราการ,สมุทรปราการ,99/1 -,10270,023856659,,,Thai National Curriculum,อ.2,ป.6,552,,พื้นราบ,13.608076,100.62153
OBEC (Public),Public,วัดไตรสามัคคี,,1011570013,บางเมืองใหม่,เมืองสมุทรปราการ,สมุทรปราการ,999 สุขุมวิท,10270,02-3942227,,,Thai National Curriculum,อ.1,ม.3,809,,พื้นราบ,13.629103,100.597263
OBEC (Public),Public,อินทรัมพรรย์อนุสรณ์,,1011570012,บางเมืองใหม่,เมืองสมุทรปราการ,สมุทรปราการ,17 ตรอก รพช./ถนนเทพารักษ์,10270,023944492,,,Thai National Curriculum,อ.2,ป.6,821,,พื้นราบ,13.63155,100.612837
OBEC (Public),Public,พร้านีลวัชระ,,1011570001,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,45 สุขุมวิท,10270,023942070,,,Thai National Curriculum,อ.1,ป.6,1378,,พื้นราบ,13.616776,100.592991
OBEC (Public),Public,อนุบาลวัดพิชัยสงคราม,,1011570002,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,30 สุขุมวิท,10270,023951082,,,Thai National Curriculum,อ.1,ป.6,1581,,พื้นราบ,13.596087,100.597307
OBEC (Public),Public,วัดแพรกษา,,1011570015,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,- พุทธรักษา,10280,023826947,,,Thai National Curriculum,อ.2,ม.3,1723,,พื้นราบ,13.572811,100.638968
OBEC (Public),Public,นาคดีอนุสรณ์,,1011570016,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,92 พุทธรักษา,10280,027036409,,,Thai National Curriculum,อ.1,ม.3,2191,,พื้นราบ,13.578412,100.653895
OBEC (Public),Public,คลองใหม่,,1011570017,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,309 เทพารักษ์,10280,02-385 3654,,,Thai National Curriculum,อ.1,ม.3,857,,พื้นราบ,13.604188,100.661084
OBEC (Public),Public,วัดคลองเก้า,,1011570018,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,594 -,10280,021822063,,,Thai National Curriculum,อ.2,ป.6,610,,พื้นราบ,13.559709,100.691467
OBEC (Public),Public,วัดด่านสำโรง,,1011570008,สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,132 ซ.วัดด่านสำโรง,10270,02-3943792,,,Thai National Curriculum,อ.1,ป.6,1590,,พื้นราบ,13.647391,100.600511
OBEC (Public),Public,มหาภาพกระจาดทองอุปถัมภ์,,1011570009,สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,1999 ด่านสำโรงเหนือ,10270,027496644,,,Thai National Curriculum,อ.1,ม.6,744,,พื้นราบ,13.641199,100.619015
OBEC (Public),Public,คลองกระทุ่มราษฎร์อุทิศ,,1011570010,สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,360 ศรีนครินทร์,10270,023857537,,,Thai National Curriculum,อ.2,ม.3,487,,พื้นราบ,13.639358,100.632948
OBEC (Public),Public,วัดคันลัด,,1011570037,ทรงคนอง,พระประแดง,สมุทรปราการ,48 เพชรหึงษ์,10130,024633401,,,Thai National Curriculum,อ.2,ป.6,74,,พื้นราบ,13.665091,100.54138
OBEC (Public),Public,วัดป่าเกด,,1011570039,ทรงคนอง,พระประแดง,สมุทรปราการ,0 เพชรหึงษ์ 16,10130,024610827,,,Thai National Curriculum,ป.1,ป.6,130,,พื้นราบ,13.668429,100.55427
OBEC (Public),Public,วัดบางกระสอบ(เชยบุญปลูกราษฎร์อุปถัมภ์),,1011570055,บางกระสอบ,พระประแดง,สมุทรปราการ,38 เพชรหึงษ์,10130,024610685,,,Thai National Curriculum,อ.2,ป.6,73,,พื้นราบ,13.659422,100.557833
OBEC (Public),Public,วัดบางกอบัว(ขลิบราษฎร์บุรณะ),,1011570056,บางกอบัว,พระประแดง,สมุทรปราการ,104 เพชรหึงษ์,10130,021010117,,,Thai National Curriculum,ป.1,ม.3,150,,พื้นราบ,13.696457,100.57604
OBEC (Public),Public,วัดราษฎร์รังสรรค์,,1011570053,บางกะเจ้า,พระประแดง,สมุทรปราการ,14/4 เพชรหึงษ์ 33,10130,024610398,,,Thai National Curriculum,อ.2,ป.6,83,,พื้นราบ,13.688277,100.563816
OBEC (Public),Public,พลอยจาตุรจินดา,,1011570043,บางพึ่ง,พระประแดง,สมุทรปราการ,3 พระราชวีริยาภรณ์,10130,024626289,,,Thai National Curriculum,อ.2,ม.3,261,,พื้นราบ,13.668306,100.523415
OBEC (Public),Public,วัดครุนอก,,1011570047,บางครุ,พระประแดง,สมุทรปราการ,1/1 สุขสวัสดิ์47,10130,02-4633140,,,Thai National Curriculum,ป.1,ม.3,121,,พื้นราบ,13.637533,100.53379
OBEC (Public),Public,วัดครุใน (ปีตะนีลานนทศึกษา),,1011570048,บางครุ,พระประแดง,สมุทรปราการ,31/3 สุขสวัสดิ์,10130,024628100,,,Thai National Curriculum,อ.2,ป.6,355,,พื้นราบ,13.638919,100.525213
OBEC (Public),Public,อนุบาลสุขสวัสดิ์,,1011570046,บางจาก,พระประแดง,สมุทรปราการ,9 สุขสวัสดิ์,10130,024628103,,,Thai National Curriculum,อ.1,ป.6,747,,พื้นราบ,13.627519,100.532864
OBEC (Public),Public,วัดชมนิมิตร,,1011570044,บางจาก,พระประแดง,สมุทรปราการ,21 สุขสวัสดิ์ 74,10130,024627933,,,Thai National Curriculum,ป.1,ม.3,852,,พื้นราบ,13.621882,100.530825
OBEC (Public),Public,บ้านบางจาก,,1011570045,บางจาก,พระประแดง,สมุทรปราการ,0 สุขสวัสดิ์,10130,024626294,,,Thai National Curriculum,อ.1,ป.6,336,,พื้นราบ,13.616608,100.545155
OBEC (Public),Public,วัดบางน้ำผึ้งใน,,1011570057,บางน้ำผึ้ง,พระประแดง,สมุทรปราการ,21 เพชรหึงส์,10130,024610161,,,Thai National Curriculum,อ.2,ม.3,205,,พื้นราบ,13.68101,100.574478
OBEC (Public),Public,วัดบางน้ำผึ้งนอก,,1011570058,บางน้ำผึ้ง,พระประแดง,สมุทรปราการ,10 -,10130,024610237,,,Thai National Curriculum,ป.1,ป.6,66,,พื้นราบ,13.683023,100.58484
OBEC (Public),Public,วัดกลาง(ธรรมวิธานราษฎร์วิทยา),,1011570050,บางพึ่ง,พระประแดง,สมุทรปราการ,94 นครเขื่อนขันธ์,10130,024628155,,,Thai National Curriculum,อ.2,ป.6,150,,พื้นราบ,13.662046,100.529189
OBEC (Public),Public,วัดรวก(สายราษฎร์สงเคราะห์),,1011570051,บางพึ่ง,พระประแดง,สมุทรปราการ,19 พระราชวิริยาภรณ์,10130,024633400,,,Thai National Curriculum,อ.2,ป.6,25,,พื้นราบ,13.666916,100.520427
OBEC (Public),Public,วัดบางกะเจ้ากลาง(ศีลาทิราษฎร์รังสฤษฏ์),,1011570052,บางยอ,พระประแดง,สมุทรปราการ,44/1 ซอยเพชรหึงษ์ 25/4,10130,024610137,,,Thai National Curriculum,อ.2,ป.6,56,,พื้นราบ,13.687055,100.557077
OBEC (Public),Public,วัดกองแก้ว(ผาดกาบแก้ว),,1011570054,บางยอ,พระประแดง,สมุทรปราการ,1 เพชรหึงส์,10130,024610500,,,Thai National Curriculum,อ.2,ป.6,126,,พื้นราบ,13.68413,100.562505
OBEC (Public),Public,วัดบางขมิ้น(คำปุ่นราษฎร์บำรุง),,1011570038,บางยอ,พระประแดง,สมุทรปราการ,22/1 เพชรหึง 3,10130,024628102,,,Thai National Curriculum,อ.1,ป.6,80,,พื้นราบ,13.668862,100.546309
OBEC (Public),Public,วัดบางหญ้าแพรก,,1011570030,บางหญ้าแพรก,พระประแดง,สมุทรปราการ,20 เทศบาลสำโรงใต้,10130,023859191,,,Thai National Curriculum,อ.1,ป.6,561,,พื้นราบ,13.64641,100.543715
OBEC (Public),Public,วัดท้องคุ้ง,,1011570040,บางหญ้าแพรก,พระประแดง,สมุทรปราการ,3 ปู่เจ้าสมิงพราย,10130,023859203,,,Thai National Curriculum,อ.2,ป.6,61,,พื้นราบ,13.655287,100.54744
OBEC (Public),Public,ฉัตรทิพย์เทพวิทยา,,1011570041,บางหญ้าแพรก,พระประแดง,สมุทรปราการ,34/4 ปู่เจ้าสมิงพราย,10130,023859796,,,Thai National Curriculum,อ.2,ป.6,72,,พื้นราบ,13.64932,100.545829
OBEC (Public),Public,วัดแหลม,,1011570042,บางหญ้าแพรก,พระประแดง,สมุทรปราการ,72/4 ปู่เจ้าสมิงพราย,10130,023859113,,,Thai National Curriculum,อ.1,ป.6,168,,พื้นราบ,13.656539,100.537488
OBEC (Public),Public,วัดบางฝ้าย,,1011570036,บางหัวเสือ,พระประแดง,สมุทรปราการ,41/1  ปู่เจ้าสมิงพราย,10130,023830199,,,Thai National Curriculum,อ.1,ป.6,223,,พื้นราบ,13.626533,100.556218
OBEC (Public),Public,วัดบางหัวเสือ,,1011570035,บางหัวเสือ,พระประแดง,สมุทรปราการ,1/2 -,10130,023859406,,,Thai National Curriculum,อ.2,ป.6,174,,พื้นราบ,13.633014,100.549156
OBEC (Public),Public,วัดโยธินประดิษฐ์,,1011570034,สำโรง,พระประแดง,สมุทรปราการ,30/5 วัดโยธินประดิษฐ์,10130,021737197,,,Thai National Curriculum,อ.2,ม.3,343,,พื้นราบ,13.666386,100.580822
OBEC (Public),Public,วัดมหาวงษ์,,1011570029,สำโรงกลาง,พระประแดง,สมุทรปราการ,55/1 ปู่เจ้าสมิงพราย,10130,021832066,,,Thai National Curriculum,อ.2,ป.6,301,,พื้นราบ,13.650073,100.582016
OBEC (Public),Public,วัดสำโรงเหนือ,,1011570032,สำโรงกลาง,พระประแดง,สมุทรปราการ,19/3 สลักภัณฑ์,10130,023940773,,,Thai National Curriculum,อ.1,ป.6,278,,พื้นราบ,13.657257,100.570908
OBEC (Public),Public,วัดปุณหังสนาวาส(ทิพย์สมบัติบุญ-ชุ่มอุทิศ),,1011570033,สำโรงกลาง,พระประแดง,สมุทรปราการ,32/1 ปู่เจ้าสมิงพราย,10130,021834488,,,Thai National Curriculum,อ.2,ป.6,133,,พื้นราบ,13.654267,100.56423
OBEC (Public),Public,วัดสวนส้ม(สุขประนุกูล),,1011570031,สำโรงใต้,พระประแดง,สมุทรปราการ,2 วัดสวนส้ม/ปู่เจ้าสมิงพราย,10130,023830386,,,Thai National Curriculum,อ.2,ป.6,636,,พื้นราบ,13.63553,100.573538
OBEC (Public),Public,ชุมชนวัดสาขลา,,1011570119,นาเกลือ,พระสมุทรเจดีย์,สมุทรปราการ,19 -,10290,,,,Thai National Curriculum,อ.1,ป.6,190,,พื้นราบ,13.545626,100.500364
OBEC (Public),Public,วัดศรีคงคาราม,,1011570120,นาเกลือ,พระสมุทรเจดีย์,สมุทรปราการ,2 -,10290,024907249,,,Thai National Curriculum,ป.1,ป.6,28,,บนเกาะ,13.542995,100.47168
OBEC (Public),Public,บ้านขุนสมุทรไทย,,1011570125,นาเกลือ,พระสมุทรเจดีย์,สมุทรปราการ,299 สุขสวัสดิ์-นาเกลือ,10290,024649633,,,Thai National Curriculum,อ.1,ป.6,149,,พื้นราบ,13.547826,100.520999
OBEC (Public),Public,วัดคู่สร้าง,,1011570127,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,172 -,10290,028160228,,,Thai National Curriculum,อ.2,ป.6,320,,พื้นราบ,13.603628,100.549783
