Code,Nom,Directeur,Code commune,Adresse,Code postal,Ville,Latitude,Longitude,Tel,Email,Site web,Types,Statut
37491966,Henåns skola F-6,Ann Christine Holst,1421,Skolvägen 1,47332,HENÅN,58.23370083905968,11.671017978262975,0304-334222,larande@orust.se,www.orust.se,"GR,FKLASS,FTH",AKTIV
83388272,Astradskolan 1,Ulrik Hultgren,0781,Replösavägen 4,34138,Ljungby,56.830806502368496,13.95514618934753,0372-784252,ulrik.hultgren@skola.ljungby.se,http://www.ljungby.se,"GR,FKLASS,FTH",AKTIV
41621337,Malmaskolan,Cecilia Bingmark,0482,Skolgatan 1,64261,Malmköping,59.136514762340795,16.721091703207883,0157-431201,buk@flen.se,http://www.flen.se,"GR,FKLASS,FTH",AKTIV
15973939,Bruksskolan,Anna Paulina Anderek,1284,Centralgatan 10,26338,Höganäs,56.20137425291134,12.553969212709477,042-337100,kommunen@hoganas.se,www.hoganas.se,"GR,FKLASS,FTH",AKTIV
72616393,Alboskolan,Monika Blom,1440,Albotorget 6,44640,Skepplanda,57.98222037987047,12.21299271535972,0303-703000,kommun@ale.se,http://www.ale.se,"GR,FTH",AKTIV
79203245,Bovallstrands skola,Katarina Granqvist,1427,Skolgatan 4,45647,Bovallstrand,58.474664559044946,11.327465842906495,0523-664211,registrator.kommun@sotenas.se,http://www.sotenas.se,"GR,FKLASS,FTH",AKTIV
93176070,Hunnebostrands skola,Katarina Granqvist,1427,Parkgatan 2,45661,Hunnebostrand,58.43498818408672,11.298897254506294,0523-664226,registrator.kommun@sotenas.se,http://www.sotenas.se,"GR,FKLASS,FTH",AKTIV
11043800,Bohusskolan,Aida Jovicevic,1440,Skolvägen 12,44537,Bohus,57.84830040573842,12.018250151086399,0303-703000,kommun@ale.se,http://www.ale.se,"GR,FKLASS,FTH,OPPFTH",AKTIV
28173971,Kungshamns skola,Antje Karlsson,1427,Skolgatan 1,45632,Kungshamn,58.359001567600124,11.2552385005628,0523-664647,registrator.kommun@sotenas.se,http://www.sotenas.se,GR,AKTIV
33799734,"Särskolan ,Integrerade särskoleelever,",Antje Karlsson,1427,Åsenberget,45632,Kungshamn,58.35906597197583,11.257438304351759,0523-664620,registrator.kommun@sotenas.se,http://www.sotenas.se,"FKLASS,GRAN",AKTIV
71729095,Da Vinciskolan 2,Pär Holmertz,1440,Vitklövergatan 1,44980,Alafors,57.89231482751565,12.049117918195996,0303-703000,kommun@ale.se,http://www.ale.se,GR,AKTIV
97093265,Garnvindeskolan,Monika Blom,1440,Garnvindevägen 2,44641,Skepplanda,57.98057660091294,12.202800777438561,0303-703000,kommun@ale.se,http://www.ale.se,"GR,FKLASS,FTH",AKTIV
70803136,Kyrkskolan,Monica Hjerpe,0120,Klockargården,13935,Värmdö,59.35725644615952,18.507680672077928,08-57024891,kyrkskolan@varmdo.se,http://www.varmdo.se,"GR,FKLASS,FTH",AKTIV
20756773,Ekebackenskolan,Nina Alm Elgan,0781,Ekebacksvägen 4,34142,Ljungby,56.82230559605864,13.938965500232241,0733-754191,nina.almelgan@skola.ljungby.se,http://www.skola.ljungby.se,"GR,FKLASS,FTH",AKTIV
62324914,Hamnedaskolan,Ulrika Linder,0781,Hamnedavägen 10,34175,Hamneda,56.69750793830141,13.858263281106282,0372-784371,ulrika.linder@skola.ljungby.se,http://www.skola.ljungby.se,"GR,FKLASS,FTH",AKTIV
54807007,Himlaskolan,Aneta Frelek,1440,Björkvägen 9B,44951,Alafors,57.92878675764133,12.086394351441534,0303-703000,kommun@ale.se,http://www.ale.se,"GR,FKLASS,FTH",AKTIV
69611652,Kronaskolan F-6 2,Kajsa Fröman,1440,Nytorpsvägen 31,44632,Älvängen,57.95346339226463,12.123719273260749,0303-703000,kommun@ale.se,http://www.ale.se,"GR,FKLASS,FTH",AKTIV
87575198,Hjortsbergskolan 1,Helena Bergenholtz,0781,Ågårdsvägen 33,34141,Ljungby,56.83677289120182,13.954108533055644,0372-784162,helena.bergenholtz@skola.ljungby.se,http://ljungby.se,"GR,FKLASS,FTH",AKTIV
44551665,Bergetskolan,Lena Helgesson,2034,Gillevägen 1,79433,Orsa,61.11313629781129,14.643247988670822,0250-552100,orsa.kommun@orsa.se,http://www.orsa.se,"GR,FKLASS,FTH",AKTIV
16944234,Kyrkbyskolan,Nina Lundahl,1440,Vitklövergatan,44931,Nödinge,57.89246668351131,12.050624399978389,0303-703000,kommun@ale.se,http://www.ale.se,"GR,FTH",AKTIV
19694910,Orsaskolan,Anna Karin Alfredsson,2034,Järnvägsgatan 20,79430,Orsa,61.126233006514745,14.622671718890109,0250-552100,orsa.kommun@orsa.se,http://www.orsa.se,GR,AKTIV
22564015,Nödingeskolan,Nina Lundahl,1440,Vitklövergatan 2,44931,Nödinge,57.89246668351131,12.050624399978389,0303-703000,kommun@ale.se,http://www.ale.se,"GR,FKLASS,FTH",AKTIV
49533653,Årsta Gårds anpassade grundskola,Kristin Asmundsson,0180,Svärdlångsvägen 16,12060,Årsta,59.30305974990847,18.042180319401457,08-7221600,info@arstagard.se,http://www.arstagard.se,"FKLASS,FTH,GRAN",AKTIV
39894929,Hjortsbergskolan 2,Anna Halldén,0781,Hjortstigen 2B,34141,Ljungby,56.83635226123166,13.951565738369906,0733-754251,anna.hallden@skola.ljungby.se,,GR,AKTIV
56562631,Fredrika skola,Susanne Sjölund,2463,Viskavägen 11,91993,Fredrika,64.07740431081237,18.40180523116264,0941-14100,bou@asele.se,http://www.asele.se,"GR,FKLASS,FTH",AKTIV
13342436,Överkalix Friskola,Ann Bergdahl,2513,Yrkesvägen 2,95631,Överkalix,66.32176580469837,22.85866554349016,070-2807832,info@okms.se,http://www.okms.se,"GR,FKLASS,FTH",AKTIV
85966004,Slottshöjdens Skola,Kristina Ljung,1283,Hebsackersgatan 41,25437,Helsingborg,56.052447976328764,12.70258874178472,+46735027314,kristina.ljung@slottshojdens.se,http://www.slottshojdens.se,"GR,FKLASS,FTH",AKTIV
60712249,Strömskolan 4-6,Linda Nerman,1463,Rektorsgatan 2,51154,KINNA,57.509446972181266,12.691997887195035,0320-217432,stromskolan@mark.se,http://mark.se,"GR,FTH",AKTIV
42179975,Farsta Strandsskolan,Andreas Jälmestål,0180,Nordmarksvägen 6A,12372,Farsta,59.23355050188057,18.1060248238993,076-1161975,andreas@farstastrandskolan.se,http://www.mavatterosen.se,"GR,FKLASS,FTH",AKTIV
45813524,Örbyskolan 4-6,Hanna Emma Holmén Löfqvist,1463,Månsavägen 6,51131,ÖRBY,57.482752858002684,12.703537918507886,0320-217335,orbyskolan@mark.se,http://mark.se,"GR,FTH",AKTIV
94648037,Kungshögsskolan 1,Viktoria Henriksson,0781,Märta Ljungbergsvägen 29,34135,Ljungby,56.83849498831923,13.938917384765801,0372-784201,victoria.henriksson@skola.ljungby.se,http://www.skola.ljungby.se,"GR,FKLASS,FTH,GRAN",AKTIV
96533068,Lunds Waldorfskola,Madeleine Arderup,1281,Hardeberga 361,24791,Södra Sandby,55.6943472,13.296682799999985,046-99175,waldorf-lund@telia.com,http://www.lundswaldorfskola.se,"GR,FKLASS,FTH",AKTIV
87262274,Kungshögsskolan 2,Micael Emihl,0781,Märta Ljungbergsvägen 29,34010,Ljungby,56.83849498831923,13.938917384765801,0372-784203,micael.emihl@skola.ljungby.se,http://www.skola.ljungby.se,"GR,GRAN",AKTIV
78832667,Mistelskolan,Anneli Vedin Magnusson,1980,Irsta Kyrkby 4,72597,Västerås,59.59784252461858,16.71568626417892,072-2299777,misteln@mistelskolan.se,http://www.mistelskolan.se,"GR,FKLASS,FTH",AKTIV
96958960,Kungshögsskolan 3,Petra Caroline Skogsborn,0781,Märta Ljungbergsvägen 29,34176,Ljungby,56.83849498831923,13.938917384765801,0372-784202,petra.skogsborn@skola.ljungby.se,http://www.skola.ljungby.se,GR,AKTIV
32676873,Lidhults skolan,Emilia Lundgren Rückert,0781,Prästgårdsvägen 2,34171,Lidhult,56.82945456786662,13.448457499363457,0733-754284,emilia.lundgren@skola.ljungby.se,http://www.skola.ljungby.se,"GR,FKLASS,FTH",AKTIV
71858612,Vännäsby skola F-2,Lena Mari Strinnholm,2460,Umevägen 194,91135,Vännäsby,63.9142867680589,19.8143177688734,0935-14418,barn.utbildningsnamnden@vannas.se,http://www.vannas.se,"GR,FKLASS,FTH",AKTIV
83046070,Anpassad grundskola,Lena Lidberg,1495,Hindsbogatan 53,53232,Skara,58.385172565724254,13.419098656277185,0511-32939,lena.lidberg@skara.se,http://skara.se,GRAN,AKTIV
60102425,Gällkvistskolan,Marie Tell,1495,Jarlagatan 21,53236,Skara,58.37872162481988,13.439515914955173,0511-32250,marie.tell@skara.se,http://www.skara.se,"GR,FKLASS,FTH",AKTIV
45880570,Källeskolan,Erika Måneving,1495,Bommagatan 13,53231,Skara,58.387656257039744,13.442183174413929,0511-32264,erika.maneving@skara.se,http://skara.se,"GR,FKLASS,FTH",AKTIV
51508215,Valleskolan,Ida Modin,1495,Hedvägen,53272,Axvall,58.39361585273387,13.577659619282104,0511-32944,ida.modin@skara.se,http://www.skara.se,"GR,FKLASS,FTH",AKTIV
62958817,Klockarbergsskolan,Stina Grufman Nyman,1904,Köpingsvägen 11-13,73931,Skinnskatteberg,59.82853804881729,15.68742946124071,0222-515500,klockarbergsskolan@skinnskatteberg.se,http://www.skinnskatteberg.se,"GR,FKLASS,FTH,GRAN",AKTIV
96360048,Ekholmsskolan,Anna Samuelsson,0580,Ekholmsvägen 48,58925,Linköping,58.379813497806644,15.674573355002094,013-207743,anna.samuelsson@utb.linkoping.se,http://www.linkoping.se,GR,AKTIV
24672136,Björketorpskolan 4-6,Kajsa Envall,1463,Lundaliden 12,51930,Horred,57.35739768820663,12.473825777996094,0320-217000,bun@mark.se,mark.se,"GR,FTH",AKTIV
81439850,Surteskolan,Jon Alette,1440,Skolstigen 3,44556,Surte,57.83281616269305,12.017542005973509,0303-703000,kommun@ale.se,http://www.ale.se,"GR,FKLASS,FTH",AKTIV
36154153,Torskolan LM,Katja Halén,0834,"Allfargatan 40 (To 4-6), Kalmarvägen 11 (ToF-3)",38531,Torsås,56.414122931536056,15.998378309244892,0486-33512,info.bildning@torsas.se,http://www.torsas.se,"GR,FKLASS,FTH",AKTIV
17530071,Fittjaskolan AGR,Camilla Bejmo Samuelsson,0127,Stökhagsvägen 1,14550,NORSBORG,59.245956470237026,17.861146887529298,07-03342905,fittjaskolan@botkyrka.se,,GRAN,AKTIV
96671986,Väsjöskolan,Helena Patel,0163,Slalomvägen 24,19254,SOLLENTUNA,59.45316566364346,17.964004094441854,08-5792100,vasjoskolan@edu.sollentuna.se,,"GR,FKLASS,FTH",AKTIV
50494263,Hols skola,Maria Sandwall,1442,Hols Kyrkväg 3,44193,Alingsås,57.976999172386456,12.676581658281814,0322-600954,maria.sandwall@vargarda.se,http://www.vargarda.se,"GR,FKLASS,FTH",AKTIV
76684659,Änge F-6,Frida Landgren,2309,Skolvägen 3,83597,Offerdal,63.45918855402776,14.069796760703808,0640-16100,frida.landgren@krokom.se,http://krokom.se,"GR,FKLASS,FTH",AKTIV
99636909,Torskolan H,Mikael Espelund,0834,Kalmarvägen 7,38531,Torsås,56.41413972370561,15.998524626504482,0486-33511,info.bildning@torsas.se,http://www.torsas.se,GR,AKTIV
27091573,Ryssbyskolan,Ulrik Hultgren,0781,Kyrkogatan 3,34135,Ryssby,56.865440019787385,14.159811468999719,0733-754154,ulrik.hultgren@skola.ljungby.se,http://www.skola.ljungby.se,"GR,FKLASS,FTH",AKTIV
89498184,Resursskolan UngArt,Aleksandra Kellgren Broman,1280,Jacob Möllersgatan 3,21157,Malmö,55.59896078588073,13.015070461214975,040-222302,info@ungart.se,http://www.ungart.se,GR,AKTIV
79210663,Parkskolan,Pia Haglind,1470,Skolgatan 20,53431,Vara,58.263213453335155,12.956920868562653,0512-31148,pia.haglind@vara.se,http://vara.se,GR,AKTIV
16685490,Stensbergskolan 2,Carina Jonasson,0781,Björkstigen 9,34133,Ljungby,56.83234975146268,13.915917126877856,0372-784172,carin.jonasson@ljungby.se,http://ljungby.se,GR,AKTIV
19742982,Viktoriaskolan,Per Philip Eriksson,1880,Granrisvägen 33,70235,Örebro,59.24007557864076,15.246197373479893,019-305050,info@viktoriaskolan.se,http://www.viktoriaskolan.se,"GR,FKLASS,FTH",AKTIV
39721946,Almekärrsskolan skolenhet 2,Thomas Blomqvist,1441,Almekärrsvägen 189,44339,Lerum,57.75744093619449,12.262424301600433,0302-521509,enhetalmekarr@lerum.se,https://lerum.se/almekarrsskolan,"GR,FTH",AKTIV
85886913,Ekkälleskolan,Maria Risthammar,0580,Bataljonsgatan 24,58752,Linköping,58.39396205787983,15.626363393404647,013-294789,maria.risthammar@utb.linkoping.se,http://www.linkoping.se,"GR,FKLASS,FTH,OPPFTH",AKTIV
73451967,Rättviksskolan,Anna Kalles,2031,Centralgatan 3,79530,Rättvik,60.88857503239131,15.122720342154947,0248-70252,rattviksskolan@rattvik.se,http://www.rattvik.se,GR,AKTIV
13436901,Lena skola,Malin Olsson Asp,1442,Lena skola,44192,Alingsås,58.00883816533138,12.627924567186644,0322-600569,malin.olssonasp@vargarda.se,http://www.vargarda.se,"GR,FKLASS,FTH",AKTIV
68870324,Åbyskolan 1,Faton Gurgurovci,0781,Gunnarsforsgatan 7,34151,Lagan,56.91517744670601,14.00464454206474,0733-754121,faton.gurgurovci@skola.ljungby.se,http://www.skola.ljungby.se,"GR,FKLASS,FTH",AKTIV
75853223,Åbyskolan 2,Faton Gurgurovci,0781,Gunnarsforsgatan 7,34151,Lagan,56.91517744670601,14.00464454206474,0372-784121,faton.gurgurovci@skola.ljungby.se,http://www.skola.ljungby.se,GR,AKTIV
34231336,Carl Johanskolan,Christer Daggberg,1446,Kungsgatan 16,54630,Karlsborg,58.531126735707424,14.510442027655802,0505-17000,boukontoret@karlsborg.se,http://www.karlsborg.se,GR,AKTIV
39704815,Vittarydskolan,Faton Gurgurovci,0781,Skolvägen 2,34155,Vittaryd,56.96960270488165,13.946427539728832,0733-754121,faton.gurgurovci@skola.ljungby.se,http://www.skola.ljungby.se,"GR,FKLASS,FTH",AKTIV
50936464,Bäckagårdsskolan,Eric Mattsson,2284,Genesmon 111,89243,Domsjö,63.24999440000001,18.69895919999999,0660-705858004,eric.mattsson@impius.se,http://www.impius.se,GR,AKTIV
87088456,Tranmursskolan GKS,Thérèse Elfving,2180,Pukslagarvägen 20,80432,Gävle,60.66255720999714,17.24113254239886,+46706117758,info@gks.nu,http://www.gks.nu,"GR,FKLASS,FTH",AKTIV
72757148,Mölltorpskolan,Sofia Andersson,1446,Skolgatan 2,54672,Mölltorp,58.494410794999624,14.40332935130641,0505-17000,boukontoret@karlsborg.se,http://www.karlsborg.se,"FTH,GR,FKLASS,GRAN",AKTIV
22891571,Strandskolan,Kent Börje Stefan Larsson,1446,Västra vägen 39,54631,Karlsborg,58.53385459580981,14.503937819488634,0505-17000,boukontoret@karlsborg.se,http://www.karlsborg.se,"GR,FKLASS,FTH",AKTIV
97948729,Nibbleskolan anpassad grundskola,Ingela Lundgren,1961,Häradsvägen 8,73432,Hallstahammar,59.61268941477292,16.2496575903531,0220-24000,barnochutbildingsnamnden@hallstahammar.se,www.hallstahammar.se,"GRAN,FTH",AKTIV
98570516,Nibbleskolan,Tommy Jonsson,1961,Häradsvägen 8,73432,Hallstahammar,59.61304470337318,16.250437759584752,0220-24262,barnochutbildningsnamnden@hallstahammar.se,http://www.hallstahammar.se,"GR,FKLASS,FTH",AKTIV
29298956,Bärnstenen - Vellinge resursskola,Jenny Ljung,1233,Krondalsvägen 41,23633,Höllviken,55.41697123925073,12.969353877860124,040-425805,vellinge.kommun@vellinge.se,http://www.vellinge.se,GR,AKTIV
92463571,Blåklintskolan F-3,Camilla Agnebrink,0586,Mårtensgatan 12,59532,Mjölby,58.32407051075129,15.118840697120083,010-2345251,blaklintskolan@mjolby.se,http://www.mjolby.se,"GR,FKLASS,FTH",AKTIV
75656508,Vasastans Montessoriskola,Anne-Charlotte Häggström,0180,Hälsingegatan 23-25,11331,Stockholm,59.34359724699811,18.041392054407613,08-40900850,info@vmskola.se,http://www.vasastansmontessoriskola.se,"GR,FKLASS,FTH",AKTIV
87726834,Bäckskolan,Linda Falebrant,0513,Plantgatan 12,59037,Kisa,57.985220924400124,15.618232857366145,0494-19253,linda.falebrant@kinda.se,http://www.kinda.se,"GR,FKLASS,FTH",AKTIV
22106796,Stjärneboskolan,Frida Nellbert,0513,Storgatan 38C,59036,Kisa,57.992556197919924,15.638893781009367,0494-19000,frida.nellbert@kinda.se,http://www.kinda.se,"FTH,GRAN",AKTIV
25244415,Värgårdsskolans anpassade skola,Frida Nellbert,0513,Östgötagatan 8,59038,Kisa,57.98902404365921,15.63931291579716,0494-19210,frida.nellbert@kinda.se,https://www.kinda.se/utbildningochbarnomsorg/grundskola/vargardsskolan79kisa.4.15d59a7c151bb4254b79ded3.html,GRAN,AKTIV
70245250,Ljungaskolan,Ellen Karlsson,1257,Kungsvägen 18B,28634,Örkelljunga,56.2813037490073,13.269760965726253,0435-55360,utbildning@orkelljunga.se,www.orkelljunga.se,GR,AKTIV
86440798,Haninge Montessoriskola,Cecilia Dahlin,0136,Eskilsvägen 8,13643,Handen,59.16699810000001,18.1483311,08-7778388,rektor@haningemontessoriskola.se,http://www.haningemontessoriskola.se,"GR,FKLASS,FTH",AKTIV
66379524,Lustigkulla skola,Cecilia von Platen,0761,Stora vägen 73,36543,Kosta,56.84814190474804,15.393508290093898,0478-12764,cecilia.vonPlaten@lessebo.se,http://www.lessebo.se,"GR,FKLASS,FTH",AKTIV
50014733,Vendels skola,Tobias Tengelin,0360,Hovgårdsberg,74895,Örbyhus,60.16738664462732,17.60583467481999,0293-219661,OrbyhusskolaVendelskola@tierp.se,http://www.tierp.se,"GR,FKLASS,FTH",AKTIV
15416514,Aspenskolan,Karin Ann-Sofi Herbertsson,0360,Palmgatan 7-9,81538,Tierp,60.34529285711222,17.507023424010917,0293-218348,aspenskolan@tierp.se,http://www.tierp.se,"GR,FKLASS,FTH",AKTIV
81215860,Vebomarks Byaskola,Lillemor Normark,2482,Vebomark 69,93294,Lövånger,64.40230031025438,21.01058307802377,072-5640029,kontakt@veboskolan.se,http://www.veboskolan.se,"GR,FKLASS",AKTIV
74218950,Bikupan,Patrik Gustavsson,0761,Herrgårdsgatan 9,36532,Lessebo,56.752304815317984,15.275204913212853,0478-12625,Patrik.Gustavsson@lessebo.se,http://www.lessebo.se,GR,AKTIV
38786895,Stenungsunds Montessoriskola,Daniel Magnusson,1415,Kyrkvägen 1,44431,Stenungsund,58.072583037880605,11.821447905918426,0703-770715,rektor@stenungsundsmontessori.se,http://www.stenungsundsmontessori.se,"GR,FKLASS,FTH",AKTIV
32381603,Kvarndammskolan,Roger Wisberg,0761,Skolgatan 3,36541,Hovmantorp,56.7895218918582,15.134947579435675,0478-12763,roger.wisberg@lessebo.se,http://www.lessebo.se,"GR,FKLASS,FTH",AKTIV
